dataset,kir,method,n_seeds,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,id_recall_mean,id_recall_std,false_accept_rate_mean,false_accept_rate_std,accuracy_mean,accuracy_std,auroc_mean,auroc_std
stackoverflow,0.25,fixed_k2,5,0.8666146611474034,0.04798142689533388,0.767990693403829,0.04449410575340561,0.8521333333333333,0.01548045362527998,0.19471111111111106,0.0830995832765769,0.8107666666666666,0.06143329716041616,0.9027892444444445,0.021474209164574497
stackoverflow,0.25,mogb_minilm,5,0.8944000569448456,0.005949655171098951,0.5407038655227719,0.04633819785305142,0.3261333333333333,0.048486882533091163,0.00937777777777774,0.005384935548750563,0.8243333333333334,0.011034667593040079,0.8672337777777779,0.021979970916551548
stackoverflow,0.25,mogb_partition_ours_boundary,5,0.9259960799998362,0.005335538584498718,0.7345093038010513,0.03907579262030327,0.5910666666666666,0.050757812753856484,0.020311111111111037,0.012352437656162561,0.8820333333333334,0.008784772178162713,0.9164517333333334,0.007589087824444525
stackoverflow,0.25,trainable_k1,5,0.9547969095009252,0.012101466328903058,0.8763726851882936,0.02371170428517426,0.8429333333333332,0.005899152481501018,0.038488888888888836,0.0213913562790392,0.9304666666666666,0.01758566335273009,0.9529569185185185,0.01608608413019215
stackoverflow,0.5,fixed_k2,5,0.6352945072329975,0.043018765630415005,0.7275883031957765,0.02335923330481866,0.8688666666666667,0.012801041624284595,0.4716666666666667,0.05844940832321006,0.6692666666666666,0.02745769473207829,0.8259930444444444,0.010133263774005866
stackoverflow,0.5,mogb_minilm,5,0.729199427573284,0.006249432392941418,0.43298039378929865,0.033995539719519276,0.27093333333333336,0.02369880447054943,0.007933333333333282,0.002575525836277584,0.6305666666666667,0.012082241329966726,0.8476909333333333,0.03540406497216226
stackoverflow,0.5,mogb_partition_ours_boundary,5,0.7924706249591658,0.014867493644347068,0.63344181949998,0.055016434166417376,0.5038666666666667,0.049077376548557365,0.01859999999999998,0.0070134790859379655,0.7407333333333334,0.02383816967246714,0.8663389555555556,0.03989250123356979
stackoverflow,0.5,trainable_k1,5,0.8767066651336372,0.01657004865929603,0.8655077750537565,0.0129768949886664,0.8389333333333333,0.003569936196130745,0.09339999999999998,0.03261168842949139,0.8681333333333333,0.015964109050547667,0.9235181333333333,0.014917396867995555
stackoverflow,0.75,fixed_k2,5,0.43634697678645706,0.07858109845039464,0.7446586353568032,0.019022613164624596,0.8802222222222221,0.008217716483155831,0.6166666666666667,0.0937052115235149,0.6810333333333334,0.02357299537842212,0.7757786962962963,0.026485343989206774
stackoverflow,0.75,mogb_minilm,5,0.4558840331344416,0.004201451885150507,0.33093232311807846,0.02076337155778205,0.21173333333333327,0.014546986451317507,0.006666666666666619,0.004784233364802465,0.40553333333333336,0.010516785524949054,0.8032848592592592,0.04412659084290659
stackoverflow,0.75,mogb_partition_ours_boundary,5,0.5156718868278516,0.009972097867131942,0.4958398225235195,0.036438517307757885,0.3906666666666666,0.029805956816186842,0.01799999999999996,0.010488088481701538,0.5346666666666667,0.021047895117775793,0.792292325925926,0.04256059459285866
stackoverflow,0.75,trainable_k1,5,0.7630378449085173,0.029114150514437897,0.87280021593395,0.0068391139890120346,0.8411555555555555,0.0067263990696690345,0.08799999999999997,0.059708551406905785,0.8443999999999999,0.011747694809337423,0.9290362370370371,0.010096025236218888
