dataset,kir,seed,representation,gold_is_oos,n,score_mean,score_p10,score_p50,score_p90,score_p95,score_p99,score_leq_1_rate
banking77,0.5,123,trainable,1,1560,1.1374198006901182,0.9215213933683485,1.13276521927403,1.3621442041770178,1.420190149442932,1.5471105498134055,0.2076923076923077
banking77,0.75,13,frozen,0,2320,0.8378616397134983,0.6445255204552195,0.8255425669296708,1.0498850293083821,1.1213140599851585,1.2652580715747879,0.8517241379310345
banking77,0.75,13,frozen,1,760,1.0417149896877358,0.8727139600881546,1.026148692146236,1.2429780012508693,1.3367045653013985,1.4586588627999795,0.4026315789473684
banking77,0.75,13,trainable,0,2320,0.8475122448583104,0.6524307497223867,0.8366692765389325,1.0624845428104874,1.132921592303462,1.2779326715405697,0.8271551724137931
banking77,0.75,13,trainable,1,760,1.0884536505849427,0.919433089571409,1.072392003186243,1.3006669875207548,1.3707174044754438,1.4273542374374275,0.24736842105263157
banking77,0.75,42,frozen,0,2320,0.8344878616928342,0.6369839661682608,0.8247297170464487,1.0422416277822388,1.115305614523042,1.2307775108113614,0.8530172413793103
banking77,0.75,42,frozen,1,760,1.0621938984143957,0.905376837088019,1.0581171197100436,1.2324338042793361,1.2940570506602709,1.4060771587540892,0.30526315789473685
banking77,0.75,42,trainable,0,2320,0.8422059928650953,0.6343701824691608,0.8300991233614459,1.0722903735299651,1.147328767151238,1.2934384086038633,0.8297413793103449
banking77,0.75,42,trainable,1,760,1.146038725040458,0.9701369093100535,1.143340923210606,1.3344228394146884,1.3871989189542173,1.47568475380965,0.13157894736842105
banking77,0.75,87,frozen,0,2320,0.8361905431711452,0.6410194571108682,0.8240727305330663,1.0455108778545585,1.1153273482487525,1.2383676955116676,0.85
banking77,0.75,87,frozen,1,760,1.0502035535501753,0.8650541338715494,1.0533488100940211,1.2269171547878037,1.2755890469782727,1.3576510925638603,0.3368421052631579
banking77,0.75,87,trainable,0,2320,0.8425798182402618,0.6275089041212488,0.8250749328638782,1.0806019591282874,1.172747719503467,1.328159221293737,0.821551724137931
banking77,0.75,87,trainable,1,760,1.1522434776414086,0.944180437534136,1.153303601541542,1.3650818345452596,1.4186143000609586,1.4743528555882808,0.17105263157894737
banking77,0.75,100,frozen,0,2320,0.8396610785101493,0.6482606784024655,0.832004285154059,1.0458072547302195,1.1176859570104563,1.2375968232789587,0.8521551724137931
banking77,0.75,100,frozen,1,760,1.0447300830869752,0.8664667174989539,1.04536289890556,1.2250327011203062,1.2950255262740662,1.3683251149117952,0.3684210526315789
banking77,0.75,100,trainable,0,2320,0.8427166886455,0.6404585530394595,0.8258646625568555,1.0725772437109988,1.1564052124824018,1.3178957359873247,0.821551724137931
banking77,0.75,100,trainable,1,760,1.1413714662876657,0.9199713044402472,1.1420371741232516,1.3536125086670807,1.4109933308630895,1.5260795114290058,0.20394736842105263
banking77,0.75,123,frozen,0,2320,0.8341678445038999,0.6372136477327542,0.8240727305330663,1.0418869671020046,1.1082707159095462,1.255325165013197,0.8586206896551725
banking77,0.75,123,frozen,1,760,1.057385665343498,0.8727447377555773,1.043777392833955,1.2783242616556176,1.3403268360873979,1.436473927538067,0.3526315789473684
banking77,0.75,123,trainable,0,2320,0.8413963966008022,0.6329846222970509,0.8279232367132541,1.072398610004096,1.1384732155911077,1.2898078973739209,0.8206896551724138
banking77,0.75,123,trainable,1,760,1.1163931580730593,0.9019574497377866,1.1150744414920057,1.3179466983420507,1.4027439524967222,1.4894432438605978,0.22631578947368422
clinc150,0.25,13,frozen,0,1140,0.9058012147083166,0.7223470353811117,0.9076940343892953,1.0846085811325286,1.1457852448598616,1.2196078418181242,0.7596491228070176
clinc150,0.25,13,frozen,1,4560,1.1586343685413696,1.0692386846356905,1.175435208670558,1.230008251516326,1.2423089228052435,1.2600498919838898,0.043859649122807015
clinc150,0.25,13,trainable,0,1140,0.8937154110264884,0.6671483553594694,0.8701887965688415,1.1414963337851507,1.2435065720030152,1.4295993593992893,0.7368421052631579
clinc150,0.25,13,trainable,1,4560,1.4396584428642212,1.1797394368373992,1.4593760875024522,1.6742841395597554,1.7267649532179876,1.8110175526876866,0.030263157894736843
clinc150,0.25,42,frozen,0,1140,0.9103618543922884,0.7107739940091562,0.9194875617687518,1.0870051615224239,1.1575154114886712,1.2521559849712196,0.7298245614035088
clinc150,0.25,42,frozen,1,4560,1.1656831690802931,1.0527972081649277,1.1800315745148655,1.2626290377296576,1.2788233935670654,1.3031582576865075,0.0462719298245614
clinc150,0.25,42,trainable,0,1140,0.9089366867430766,0.6981810036535533,0.9021919033122703,1.1148043383560646,1.1886492650246316,1.3392701279298922,0.7263157894736842
clinc150,0.25,42,trainable,1,4560,1.2462978022705822,1.087769618275379,1.2621756678345681,1.3887236444997015,1.4135671659896578,1.4506790907837996,0.03728070175438596
clinc150,0.25,87,frozen,0,1140,0.8916465615485525,0.682719517133153,0.8946849311683734,1.08686441441325,1.1515648709799315,1.2325404852915323,0.75
clinc150,0.25,87,frozen,1,4560,1.1657311646779838,1.0433089211890696,1.181094778224367,1.265909901698307,1.2831013947253616,1.3135719533936001,0.055043859649122805
clinc150,0.25,87,trainable,0,1140,0.8897912879894245,0.6750196345836442,0.8778521360394542,1.1003811606202993,1.1782597292863188,1.2916365469498898,0.7368421052631579
clinc150,0.25,87,trainable,1,4560,1.2547377345815771,1.081024443203635,1.2695116086064826,1.4082742751687878,1.438235453093957,1.4868326992907335,0.04078947368421053
clinc150,0.25,100,frozen,0,1140,0.8945578051799343,0.6941999331402124,0.9032101483552276,1.0731204278944038,1.1201514229951663,1.2321252497890594,0.7526315789473684
clinc150,0.25,100,frozen,1,4560,1.1763832687744178,1.0800999029458245,1.1847221059190156,1.2634594928307399,1.2799844307308543,1.3046409588148864,0.026096491228070177
clinc150,0.25,100,trainable,0,1140,0.8816466296336921,0.6596877466232008,0.8605680862736926,1.1177032361343127,1.203968528537927,1.3245139733635352,0.7491228070175439
