dataset,seed,split,intent,is_known,count,accepted_count,rejected_count,near_boundary_count,median_score
clinc150,13,test,find_phone,True,30,29,1,0,0.6544193221599408
clinc150,13,test,flight_status,False,30,1,29,6,1.0502606384701143
clinc150,13,test,flip_coin,True,30,30,0,2,0.6578435436621806
clinc150,13,test,food_last,True,30,21,9,11,0.8241344996763892
clinc150,13,test,freeze_account,True,30,27,3,4,0.786939371187037
clinc150,13,test,fun_fact,False,30,1,29,0,1.13966577980273
clinc150,13,test,gas,True,30,23,7,5,0.7247367141696243
clinc150,13,test,gas_type,True,30,28,2,0,0.5423444431289937
clinc150,13,test,goodbye,False,30,2,28,6,0.9686927679196793
clinc150,13,test,greeting,True,30,27,3,2,0.6993957928488082
clinc150,13,test,how_busy,True,30,18,12,5,0.8125108931478717
clinc150,13,test,how_old_are_you,False,30,0,30,1,1.1728383837333425
clinc150,13,test,improve_credit_score,False,30,1,29,0,1.2469919338565987
clinc150,13,test,income,False,30,1,29,4,1.1784705175421428
clinc150,13,test,ingredient_substitution,True,30,22,8,5,0.8399328367790643
clinc150,13,test,ingredients_list,True,30,25,5,7,0.7475496507752484
clinc150,13,test,insurance,True,30,28,2,4,0.7058649157986507
clinc150,13,test,insurance_change,False,30,0,30,0,1.1903874314893046
clinc150,13,test,interest_rate,False,30,11,19,6,0.9740001281620599
clinc150,13,test,international_fees,True,30,25,5,9,0.7931685138816138
clinc150,13,test,international_visa,False,30,0,30,0,1.219270983043439
clinc150,13,test,jump_start,False,30,0,30,0,1.181205977373001
clinc150,13,test,last_maintenance,False,30,8,22,2,1.0462268715322076
clinc150,13,test,lost_luggage,True,30,28,2,2,0.6868823337505313
clinc150,13,test,make_call,False,30,0,30,1,1.046849709807885
clinc150,13,test,maybe,False,30,3,27,7,1.006212871794393
clinc150,13,test,meal_suggestion,True,30,19,11,4,0.8190108497623436
clinc150,13,test,meaning_of_life,False,30,0,30,0,1.0253755280120875
clinc150,13,test,measurement_conversion,False,30,0,30,0,1.188555486054747
clinc150,13,test,meeting_schedule,True,30,30,0,2,0.7500199059407631
clinc150,13,test,min_payment,False,30,6,24,8,0.9760107288727924
clinc150,13,test,mpg,False,30,3,27,2,1.1237182515700552
clinc150,13,test,new_card,True,30,24,6,5,0.7176890039313242
clinc150,13,test,next_holiday,True,30,30,0,2,0.6770072582026032
clinc150,13,test,next_song,True,30,24,6,6,0.7613527137424925
clinc150,13,test,no,False,30,21,9,7,0.8471977347677878
clinc150,13,test,nutrition_info,False,30,0,30,0,1.1145969624612826
clinc150,13,test,oil_change_how,False,30,0,30,0,1.0610107965553484
clinc150,13,test,oil_change_when,True,30,27,3,0,0.6320425656552344
clinc150,13,test,oos,False,1000,19,981,14,1.1867602892927407
clinc150,13,test,order,False,30,0,30,0,1.1150034611998456
clinc150,13,test,order_checks,False,30,0,30,0,1.167576677863639
clinc150,13,test,order_status,True,30,24,6,3,0.7733870116216988
clinc150,13,test,pay_bill,True,30,29,1,1,0.7006062868120924
clinc150,13,test,payday,True,30,26,4,0,0.7180617014521025
clinc150,13,test,pin_change,False,30,1,29,1,1.1632151316389092
clinc150,13,test,play_music,False,30,0,30,2,1.1561229002957578
clinc150,13,test,plug_type,True,30,26,4,1,0.7235211658980272
clinc150,13,test,pto_balance,True,30,30,0,1,0.6170649898640371
clinc150,13,test,pto_request,False,30,3,27,5,1.0233494968395989
clinc150,13,test,pto_request_status,True,30,26,4,5,0.7471317809085303
