dataset,k,radius_lambda,threshold,acceptance_mode,seed_count,oos_f1_mean,oos_f1_std,oos_f1_min,known_f1_mean,known_f1_std,known_f1_min,accuracy_mean,accuracy_std,accuracy_min,known_recall_mean,known_recall_std,known_recall_min,false_accept_rate_mean,false_accept_rate_std,false_accept_rate_min,false_reject_rate_mean,false_reject_rate_std,false_reject_rate_min,auroc_mean,auroc_std,auroc_min,aupr_oos_mean,aupr_oos_std,aupr_oos_min,paper_oos_f1,delta_oos_f1_pp,beats_paper_oos_f1_mean
banking77_oos,2,1.5,0.8,normalized_union,3,0.914774264564557,0.0004650026155429768,0.9142590866728798,0.6419631017722974,0.010867691408150658,0.6279974841427503,0.8573529411764705,0.0022552571473598384,0.8541666666666666,0.591,0.007118052168020881,0.585,0.04512987012987013,0.0021699066727016696,0.04285714285714286,0.40900000000000003,0.007118052168020855,0.399,0.9134462121212121,0.006690183480847369,0.9040558441558441,0.9692806492796594,0.0030040157880353757,0.9650758319659272,88.23,3.247426456455699,True
banking77_oos,2,1.5,0.8,nearest_sphere,3,0.9145817925049267,0.0010715208243996343,0.913266097750194,0.6409367644949685,0.01195335010932585,0.6247860227359244,0.8571078431372549,0.0029615308758810426,0.8529411764705882,0.5876666666666667,0.008178562764256872,0.578,0.04458874458874459,0.0022546176034631675,0.04188311688311688,0.4123333333333333,0.008178562764256849,0.402,0.9131016233766234,0.006709886256786901,0.9036198051948052,0.9690690314603138,0.0030493763201073195,0.964763971577144,88.23,3.2281792504926585,True
banking77_oos,1,1.5,0.85,nearest_sphere,3,0.9144530027603007,0.0008918957494594423,0.9136990696182227,0.6949770223047086,0.015810187071641234,0.6800755065458891,0.8592320261437908,0.0031088721553007665,0.8561274509803921,0.7153333333333333,0.01995550606279437,0.694,0.07976190476190477,0.0038628935709036265,0.07532467532467532,0.2846666666666667,0.019955506062794347,0.258,0.9138081168831169,0.00327268923266905,0.9103818181818182,0.9695488957191447,0.0015885288557380237,0.9678079041920373,88.23,3.2153002760300637,True
banking77_oos,1,0.5,1.0,nearest_sphere,3,0.9142990767483102,0.0019354174588244414,0.9116173856842785,0.7012406691769505,0.014743653454342157,0.688757226192023,0.8590686274509803,0.003106724402260089,0.8551470588235294,0.7356666666666666,0.02366901396810233,0.712,0.08560606060606062,0.005409090476017231,0.07987012987012987,0.26433333333333336,0.023669013968102295,0.232,0.9163786796536796,0.0034579165814404254,0.9116613636363635,0.9702406643181168,0.0015518549558262325,0.9681798823038013,88.23,3.1999076748310245,True
banking77_oos,1,0.5,1.0,normalized_union,3,0.9142990767483102,0.0019354174588244414,0.9116173856842785,0.7004522475566374,0.014864334736924771,0.6875466300196986,0.8588235294117647,0.003106724402260089,0.8549019607843137,0.7356666666666666,0.02366901396810233,0.712,0.08560606060606062,0.005409090476017231,0.07987012987012987,0.26433333333333336,0.023669013968102295,0.232,0.9164687229437228,0.003558470000333991,0.9116152597402597,0.9703094453403901,0.0016245753138962459,0.9681573719765709,88.23,3.1999076748310245,True
banking77_oos,2,2.5,0.7,normalized_union,3,0.9142252195516093,0.0022206198948165213,0.9120571783716594,0.6392225555795051,0.01590057754402826,0.6167462694631451,0.8565359477124184,0.004564939557091198,0.8504901960784313,0.5926666666666666,0.010656244908763863,0.579,0.04664502164502165,0.0018807518611453217,0.04415584415584416,0.4073333333333333,0.01065624490876384,0.395,0.9124524891774892,0.004920592103559622,0.9061431818181818,0.9689588020527128,0.002363550579958595,0.9658731200169332,88.23,3.1925219551609274,True
banking77_oos,2,2.5,0.7,nearest_sphere,3,0.9141321775250036,0.002874836758785375,0.9111765617733685,0.6358891873964888,0.01751996195621513,0.6114182713751382,0.8562091503267973,0.005423015286037961,0.8492647058823529,0.5856666666666667,0.013912424503139483,0.568,0.04491341991341991,0.0022073677548020724,0.04188311688311688,0.4143333333333333,0.013912424503139462,0.398,0.9126265151515152,0.005359067713574941,0.90505,0.9689119019961702,0.0026505492779595337,0.9651634793358037,88.23,3.1832177525003544,True
banking77_oos,2,1.0,0.9,nearest_sphere,3,0.9140710569058182,0.00508515596177785,0.9068838843635202,0.6727666990454866,0.010142346696699714,0.6608009362677649,0.856454248366013,0.0062048488712573915,0.8477941176470588,0.6783333333333333,0.01717232916318831,0.658,0.07034632034632034,0.006023774913452706,0.06363636363636363,0.3216666666666667,0.01717232916318836,0.3,0.9124890692640694,0.00767814945498289,0.9016337662337662,0.9688196436313635,0.0033565938576960337,0.9640846865511312,88.23,3.1771056905818256,True
banking77_oos,2,1.0,0.9,normalized_union,3,0.9140168688835487,0.005193717563447882,0.9066794503036114,0.6742341688067949,0.012376602017672784,0.6591007030184283,0.8566176470588235,0.0066943628841900586,0.8473039215686274,0.6803333333333335,0.01798765008430936,0.659,0.07099567099567099,0.006023774913452706,0.06428571428571428,0.3196666666666667,0.017987650084309404,0.297,0.9127093073593073,0.007787154901819236,0.9017035714285715,0.9689497017287384,0.0033829420237985255,0.9641790746719169,88.23,3.17168688835487,True
banking77_oos,1,0.25,0.95,nearest_sphere,3,0.9140142934895984,0.0006165302966258528,0.9134585771481367,0.6363158622629389,0.013785312568882852,0.6236367812601235,0.8567810457516339,0.002014514380055214,0.8541666666666666,0.5583333333333333,0.011145502331533616,0.549,0.03766233766233766,0.0037396434076127708,0.03344155844155844,0.44166666666666665,0.011145502331533668,0.426,0.9163714285714285,0.003538040936428994,0.9114149350649351,0.9701463048556199,0.00153783633572708,0.9680384913306744,88.23,3.1714293489598333,True
