dataset,kir,seed,comparator,comparator_label,trainable_oos_f1,comparator_oos_f1,delta_oos_f1,trainable_f1_all,comparator_f1_all,delta_f1_all,trainable_known_recall,comparator_known_recall,delta_known_recall,trainable_false_accept_rate,comparator_false_accept_rate,delta_false_accept_rate
stackoverflow,0.75,42,random_partition,Random K=2,0.748558246828143,0.7363723302518329,0.012185916576310074,0.871379383978064,0.8150305094887604,0.05634887448930359,0.8511111111111112,0.8928888888888888,-0.04177777777777769,0.1346666666666666,0.23,-0.09533333333333341
stackoverflow,0.75,87,random_partition,Random K=2,0.7736311631707982,0.6660262568043548,0.10760490636644338,0.867446594850703,0.8235608177007242,0.043885777149978766,0.8331111111111111,0.8704444444444445,-0.03733333333333333,0.0533333333333333,0.3066666666666666,-0.2533333333333333
stackoverflow,0.75,100,random_partition,Random K=2,0.7201610583836641,0.6161011310711909,0.10405992731247315,0.8677509570516391,0.8107619099947612,0.056989047056877906,0.8388888888888889,0.8711111111111112,-0.03222222222222226,0.1653333333333333,0.3826666666666666,-0.2173333333333333
stackoverflow,0.75,123,random_partition,Random K=2,0.7946912242686891,0.6353814989871708,0.15930972528151832,0.8842356034374308,0.8002166481086175,0.08401895532881332,0.8388888888888889,0.8842222222222222,-0.04533333333333334,0.022,0.3726666666666666,-0.35066666666666657
banking77,0.25,13,fixed_k2,Frozen K=2,0.9154867256637168,0.8445179584120983,0.07096876725161849,0.7691237472003842,0.6942125342425277,0.07491121295785652,0.8276315789473684,0.8355263157894737,-0.007894736842105288,0.1081896551724137,0.2297413793103448,-0.1215517241379311
banking77,0.25,42,fixed_k2,Frozen K=2,0.9191208791208793,0.875835061045842,0.043285818075037286,0.7939882940487182,0.7328515645102931,0.06113672953842508,0.8171052631578948,0.8421052631578947,-0.02499999999999991,0.0987068965517241,0.180603448275862,-0.0818965517241379
banking77,0.25,87,fixed_k2,Frozen K=2,0.9304952215464812,0.852015847121883,0.07847937442459818,0.8149099652712799,0.7161514662165342,0.09875849905474565,0.8131578947368421,0.8118421052631579,0.001315789473684159,0.0767241379310344,0.2120689655172414,-0.13534482758620697
banking77,0.25,100,fixed_k2,Frozen K=2,0.9308176100628932,0.900088809946714,0.030728800116179178,0.7976710049892831,0.7293712113173935,0.06829979367188965,0.8092105263157895,0.7934210526315789,0.015789473684210575,0.075,0.1262931034482758,-0.0512931034482758
banking77,0.25,123,fixed_k2,Frozen K=2,0.8867710460630814,0.8164344065353195,0.07033663952776192,0.7498148479796339,0.6824006303254772,0.06741421765415678,0.825,0.8118421052631579,0.013157894736842035,0.1577586206896551,0.2676724137931034,-0.10991379310344832
banking77,0.5,13,fixed_k2,Frozen K=2,0.8462021343377275,0.7343804537521815,0.11182168058554598,0.8199086432567366,0.748752682890136,0.07115596036660066,0.8171052631578948,0.8335526315789474,-0.016447368421052655,0.1358974358974359,0.3256410256410256,-0.1897435897435897
banking77,0.5,42,fixed_k2,Frozen K=2,0.8414403032217309,0.7649456521739131,0.07649465104781783,0.8168639763258652,0.7704182899538378,0.046445686372027395,0.8197368421052631,0.8302631578947368,-0.010526315789473717,0.1461538461538461,0.2782051282051282,-0.1320512820512821
