cluster_id,intent,k,radius,sample_count
28,ingredients_list,1,21.47853692854849,100
29,insurance,1,21.77868644933577,100
30,international_fees,1,21.730041038024236,100
31,last_maintenance,1,21.588133036697958,100
32,lost_luggage,1,22.394529257418103,100
33,maybe,1,21.632192767666446,100
34,meaning_of_life,1,24.35309456388414,100
35,measurement_conversion,1,21.88171343676772,100
36,meeting_schedule,1,23.41413755058681,100
37,nutrition_info,1,21.277781467528378,100
38,oil_change_how,1,23.549344231638642,100
39,order,1,22.25013431897433,100
40,payday,1,22.52400197031264,100
41,plug_type,1,21.527500381122923,100
42,pto_request_status,1,22.642067833876236,100
43,pto_used,1,22.16644277065075,100
44,redeem_rewards,1,23.305082080493644,100
45,reminder_update,1,21.813241885726075,100
46,repeat,1,21.905337103142266,100
47,replacement_card_duration,1,23.29281343576049,100
48,reset_settings,1,22.740771308993516,100
49,restaurant_reservation,1,21.15357199707133,100
50,restaurant_suggestion,1,22.035198198291365,100
51,rewards_balance,1,21.838794349071232,100
52,rollover_401k,1,23.58873050322358,100
53,routing,1,22.566823665508423,100
54,schedule_meeting,1,22.24134380124488,100
55,share_location,1,21.37210014766878,100
56,shopping_list,1,24.296615190366545,100
57,shopping_list_update,1,21.404227861544648,100
58,spelling,1,21.09571201437238,100
59,sync_device,1,22.416418051313727,100
60,tell_joke,1,22.112741749599095,100
61,timezone,1,21.098880069433182,100
62,tire_pressure,1,22.594435411228186,100
63,todo_list_update,1,22.03388290152702,100
64,transfer,1,21.624504401236624,100
65,travel_alert,1,23.09901006987245,100
66,travel_notification,1,22.207082336225014,100
67,travel_suggestion,1,21.225837070102088,100
68,uber,1,22.012740387863282,100
69,user_name,1,21.6157935434062,100
70,vaccines,1,21.669583796476772,100
71,what_are_your_hobbies,1,23.61477249121338,100
72,what_is_your_name,1,21.651103287893182,100
73,what_song,1,22.239173974024894,100
74,whisper_mode,1,24.253768561379594,100
0,application_status,2,21.722614769351075,27
1,application_status,2,23.596826476213977,73
2,apr,2,23.590138548778462,79
3,apr,2,24.104712348077072,21
4,bill_due,2,21.881207096993812,38
5,bill_due,2,22.578324754452158,62
6,book_flight,2,22.022931629783574,37
7,book_flight,2,21.615745661916957,63
