dataset,kir,native_method,metric,n_seeds,mean_delta,mean_better_delta,std_better_delta,ci95_low,ci95_high,wins,ties,losses,effect_size
banking77,0.5,knn,f1_all,3,0.047559615037076876,0.047559615037076876,0.011042468143272052,0.03563850341844588,0.0574382604353737,3,0,0,4.306973261775174
banking77,0.5,knn,known_recall,3,-0.1287280701754386,-0.1287280701754386,0.00475932772241479,-0.13421052631578967,-0.12565789473684208,0,0,3,-27.047532274185247
banking77,0.5,knn,false_accept_rate,3,-0.3318376068376068,0.3318376068376068,0.015522000533046164,-0.3429487179487179,-0.3141025641025641,3,0,0,21.37853340045494
banking77,0.5,knn,false_reject_rate,3,0.1287280701754386,-0.1287280701754386,0.0047593277224146505,0.1256578947368421,0.1342105263157895,0,0,3,-27.047532274186043
banking77,0.5,knn,auroc,3,-0.0005921052631578938,-0.0005921052631578938,0.009137594823321177,-0.010998228744939276,0.0061209514170039725,2,0,1,-0.06479880916219981
banking77,0.5,knn,aupr_oos,3,-0.004558218291320896,-0.004558218291320896,0.00908223398358481,-0.0150107346864089,0.0014067210894105342,1,0,2,-0.5018829397656348
banking77,0.5,knn,accuracy,3,0.11038961038961041,0.11038961038961041,0.010205346523053141,0.09870129870129862,0.1175324675324676,3,0,0,10.816840970588137
banking77,0.5,lof,oos_f1,3,0.2711101202873519,0.2711101202873519,0.029726885241769533,0.2379983530540789,0.29550155488617835,3,0,0,9.120031179937158
banking77,0.5,lof,f1_all,3,0.07717975340575263,0.07717975340575263,0.005908162697180343,0.0704200441117413,0.08135718823787819,3,0,0,13.063241038129584
banking77,0.5,lof,known_recall,3,-0.13135964912280698,-0.13135964912280698,0.011054458913270561,-0.14342105263157878,-0.12171052631578949,0,0,3,-11.882956022850967
banking77,0.5,lof,false_accept_rate,3,-0.439957264957265,0.439957264957265,0.029195416468290974,-0.4596153846153846,-0.4064102564102565,3,0,0,15.069395068746521
banking77,0.5,lof,false_reject_rate,3,0.13135964912280698,-0.13135964912280698,0.011054458913270624,0.12171052631578953,0.1434210526315789,0,0,3,-11.882956022850902
banking77,0.5,lof,auroc,3,0.02278051900584806,0.02278051900584806,0.010497312286985033,0.013382464574898778,0.0341091008771931,3,0,0,2.1701287322939047
banking77,0.5,lof,aupr_oos,3,0.026610575063490922,0.026610575063490922,0.006690765630056932,0.020010298086636014,0.033388299293197865,3,0,0,3.9772092664475065
banking77,0.5,lof,accuracy,3,0.16493506493506493,0.16493506493506493,0.012860585922297626,0.15097402597402598,0.1762987012987013,3,0,0,12.82484841138546
stackoverflow,0.5,msp,oos_f1,3,0.4109637460735964,0.4109637460735964,0.042176509160190064,0.36376664915126455,0.4449634221908199,3,0,0,9.743901386260305
stackoverflow,0.5,msp,f1_all,3,0.14699383637976937,0.14699383637976937,0.0060684341059458755,0.1401045546397448,0.151547188360996,3,0,0,24.2226963024521
stackoverflow,0.5,msp,known_recall,3,-0.11677777777777783,-0.11677777777777783,0.0013471506281091388,-0.1180000000000001,-0.1153333333333334,0,0,3,-86.68501898832736
stackoverflow,0.5,msp,false_accept_rate,3,-0.5790000000000001,0.5790000000000001,0.028112867753634297,-0.5976666666666667,-0.5466666666666667,3,0,0,20.59555094393206
stackoverflow,0.5,msp,false_reject_rate,3,0.1167777777777778,-0.1167777777777778,0.0013471506281090896,0.1153333333333334,0.118,0,0,3,-86.68501898833051
stackoverflow,0.5,msp,auroc,3,0.034846074074074064,0.034846074074074064,0.015245027693868995,0.023778888888888794,0.05223500000000003,3,0,0,2.285733733897244
stackoverflow,0.5,msp,aupr_oos,3,0.04461189680560825,0.04461189680560825,0.02468305203186598,0.016242437612653315,0.061170104110481516,3,0,0,1.8073898133834505
stackoverflow,0.5,msp,accuracy,3,0.24244444444444443,0.24244444444444443,0.013420893054129098,0.22716666666666663,0.2523333333333333,3,0,0,18.064702808272024
stackoverflow,0.5,energy,oos_f1,3,0.43761614406446253,0.43761614406446253,0.02241123678328549,0.41227809680923144,0.4548405002952198,3,0,0,19.526639618159795
stackoverflow,0.5,energy,f1_all,3,0.15850483841195043,0.15850483841195043,0.000961310394170063,0.15773319067952363,0.1595817031645952,3,0,0,164.88414082820137
stackoverflow,0.5,energy,known_recall,3,-0.11733333333333344,-0.11733333333333344,0.006173419725817348,-0.1243333333333334,-0.1126666666666668,0,0,3,-19.006213499892677
stackoverflow,0.5,energy,false_accept_rate,3,-0.6028888888888889,0.6028888888888889,0.008694400070884279,-0.6103333333333334,-0.5933333333333334,3,0,0,69.3422069347645
