dataset,kir,seed,comparison,native_method,metric,raw_delta,better_delta
banking77,0.5,87,trainable_gate_minus_native,knn,aupr_oos,-7.064127696432276e-05,-7.064127696432276e-05
banking77,0.5,13,trainable_gate_minus_native,knn,accuracy,0.1175324675324676,0.1175324675324676
banking77,0.5,42,trainable_gate_minus_native,knn,accuracy,0.09870129870129862,0.09870129870129862
banking77,0.5,87,trainable_gate_minus_native,knn,accuracy,0.114935064935065,0.114935064935065
banking77,0.5,13,trainable_gate_minus_native,lof,oos_f1,0.2798304529217983,0.2798304529217983
banking77,0.5,42,trainable_gate_minus_native,lof,oos_f1,0.29550155488617835,0.29550155488617835
banking77,0.5,87,trainable_gate_minus_native,lof,oos_f1,0.2379983530540789,0.2379983530540789
banking77,0.5,13,trainable_gate_minus_native,lof,f1_all,0.08135718823787819,0.08135718823787819
banking77,0.5,42,trainable_gate_minus_native,lof,f1_all,0.07976202786763842,0.07976202786763842
banking77,0.5,87,trainable_gate_minus_native,lof,f1_all,0.0704200441117413,0.0704200441117413
banking77,0.5,13,trainable_gate_minus_native,lof,known_recall,-0.14342105263157878,-0.14342105263157878
banking77,0.5,42,trainable_gate_minus_native,lof,known_recall,-0.1289473684210527,-0.1289473684210527
banking77,0.5,87,trainable_gate_minus_native,lof,known_recall,-0.12171052631578949,-0.12171052631578949
banking77,0.5,13,trainable_gate_minus_native,lof,false_accept_rate,-0.4538461538461539,0.4538461538461539
banking77,0.5,42,trainable_gate_minus_native,lof,false_accept_rate,-0.45961538461538465,0.45961538461538465
banking77,0.5,87,trainable_gate_minus_native,lof,false_accept_rate,-0.4064102564102565,0.4064102564102565
banking77,0.5,13,trainable_gate_minus_native,lof,false_reject_rate,0.1434210526315789,-0.1434210526315789
banking77,0.5,42,trainable_gate_minus_native,lof,false_reject_rate,0.1289473684210526,-0.1289473684210526
banking77,0.5,87,trainable_gate_minus_native,lof,false_reject_rate,0.12171052631578952,-0.12171052631578952
banking77,0.5,13,trainable_gate_minus_native,lof,auroc,0.013382464574898778,0.013382464574898778
banking77,0.5,42,trainable_gate_minus_native,lof,auroc,0.0341091008771931,0.0341091008771931
banking77,0.5,87,trainable_gate_minus_native,lof,auroc,0.020849991565452308,0.020849991565452308
banking77,0.5,13,trainable_gate_minus_native,lof,aupr_oos,0.020010298086636014,0.020010298086636014
banking77,0.5,42,trainable_gate_minus_native,lof,aupr_oos,0.033388299293197865,0.033388299293197865
banking77,0.5,87,trainable_gate_minus_native,lof,aupr_oos,0.02643312781063889,0.02643312781063889
banking77,0.5,13,trainable_gate_minus_native,lof,accuracy,0.16753246753246753,0.16753246753246753
banking77,0.5,42,trainable_gate_minus_native,lof,accuracy,0.1762987012987013,0.1762987012987013
banking77,0.5,87,trainable_gate_minus_native,lof,accuracy,0.15097402597402598,0.15097402597402598
stackoverflow,0.5,13,trainable_gate_minus_native,msp,oos_f1,0.44496342219081997,0.44496342219081997
stackoverflow,0.5,42,trainable_gate_minus_native,msp,oos_f1,0.36376664915126455,0.36376664915126455
stackoverflow,0.5,87,trainable_gate_minus_native,msp,oos_f1,0.42416116687870464,0.42416116687870464
stackoverflow,0.5,13,trainable_gate_minus_native,msp,f1_all,0.151547188360996,0.151547188360996
stackoverflow,0.5,42,trainable_gate_minus_native,msp,f1_all,0.1401045546397448,0.1401045546397448
stackoverflow,0.5,87,trainable_gate_minus_native,msp,f1_all,0.1493297661385673,0.1493297661385673
stackoverflow,0.5,13,trainable_gate_minus_native,msp,known_recall,-0.1180000000000001,-0.1180000000000001
stackoverflow,0.5,42,trainable_gate_minus_native,msp,known_recall,-0.11699999999999999,-0.11699999999999999
stackoverflow,0.5,87,trainable_gate_minus_native,msp,known_recall,-0.1153333333333334,-0.1153333333333334
stackoverflow,0.5,13,trainable_gate_minus_native,msp,false_accept_rate,-0.5976666666666667,0.5976666666666667
stackoverflow,0.5,42,trainable_gate_minus_native,msp,false_accept_rate,-0.5466666666666667,0.5466666666666667
stackoverflow,0.5,87,trainable_gate_minus_native,msp,false_accept_rate,-0.5926666666666667,0.5926666666666667
stackoverflow,0.5,13,trainable_gate_minus_native,msp,false_reject_rate,0.118,-0.118
stackoverflow,0.5,42,trainable_gate_minus_native,msp,false_reject_rate,0.117,-0.117
stackoverflow,0.5,87,trainable_gate_minus_native,msp,false_reject_rate,0.1153333333333334,-0.1153333333333334
stackoverflow,0.5,13,trainable_gate_minus_native,msp,auroc,0.023778888888888794,0.023778888888888794
stackoverflow,0.5,42,trainable_gate_minus_native,msp,auroc,0.028524333333333374,0.028524333333333374
stackoverflow,0.5,87,trainable_gate_minus_native,msp,auroc,0.05223500000000003,0.05223500000000003
stackoverflow,0.5,13,trainable_gate_minus_native,msp,aupr_oos,0.016242437612653315,0.016242437612653315
stackoverflow,0.5,42,trainable_gate_minus_native,msp,aupr_oos,0.05642314869368992,0.05642314869368992
stackoverflow,0.5,87,trainable_gate_minus_native,msp,aupr_oos,0.061170104110481516,0.061170104110481516
stackoverflow,0.5,13,trainable_gate_minus_native,msp,accuracy,0.2523333333333333,0.2523333333333333
stackoverflow,0.5,42,trainable_gate_minus_native,msp,accuracy,0.22716666666666663,0.22716666666666663
stackoverflow,0.5,87,trainable_gate_minus_native,msp,accuracy,0.24783333333333335,0.24783333333333335
stackoverflow,0.5,13,trainable_gate_minus_native,energy,oos_f1,0.4548405002952198,0.4548405002952198
stackoverflow,0.5,42,trainable_gate_minus_native,energy,oos_f1,0.41227809680923144,0.41227809680923144
stackoverflow,0.5,87,trainable_gate_minus_native,energy,oos_f1,0.4457298350889364,0.4457298350889364
stackoverflow,0.5,13,trainable_gate_minus_native,energy,f1_all,0.1581996213917325,0.1581996213917325
stackoverflow,0.5,42,trainable_gate_minus_native,energy,f1_all,0.15773319067952363,0.15773319067952363
stackoverflow,0.5,87,trainable_gate_minus_native,energy,f1_all,0.1595817031645952,0.1595817031645952
stackoverflow,0.5,13,trainable_gate_minus_native,energy,known_recall,-0.1150000000000001,-0.1150000000000001
stackoverflow,0.5,42,trainable_gate_minus_native,energy,known_recall,-0.1243333333333334,-0.1243333333333334
stackoverflow,0.5,87,trainable_gate_minus_native,energy,known_recall,-0.1126666666666668,-0.1126666666666668
stackoverflow,0.5,13,trainable_gate_minus_native,energy,false_accept_rate,-0.605,0.605
stackoverflow,0.5,42,trainable_gate_minus_native,energy,false_accept_rate,-0.5933333333333334,0.5933333333333334
stackoverflow,0.5,87,trainable_gate_minus_native,energy,false_accept_rate,-0.6103333333333334,0.6103333333333334
stackoverflow,0.5,13,trainable_gate_minus_native,energy,false_reject_rate,0.11499999999999999,-0.11499999999999999
stackoverflow,0.5,42,trainable_gate_minus_native,energy,false_reject_rate,0.1243333333333334,-0.1243333333333334
stackoverflow,0.5,87,trainable_gate_minus_native,energy,false_reject_rate,0.1126666666666667,-0.1126666666666667
stackoverflow,0.5,13,trainable_gate_minus_native,energy,auroc,0.025971888888888794,0.025971888888888794
stackoverflow,0.5,42,trainable_gate_minus_native,energy,auroc,0.025401555555555455,0.025401555555555455
stackoverflow,0.5,87,trainable_gate_minus_native,energy,auroc,0.05233455555555555,0.05233455555555555
stackoverflow,0.5,13,trainable_gate_minus_native,energy,aupr_oos,0.023894844179881747,0.023894844179881747
stackoverflow,0.5,42,trainable_gate_minus_native,energy,aupr_oos,0.05255124232919228,0.05255124232919228
stackoverflow,0.5,87,trainable_gate_minus_native,energy,aupr_oos,0.06516717160849783,0.06516717160849783
stackoverflow,0.5,13,trainable_gate_minus_native,energy,accuracy,0.25816666666666666,0.25816666666666666
stackoverflow,0.5,42,trainable_gate_minus_native,energy,accuracy,0.24983333333333335,0.24983333333333335
stackoverflow,0.5,87,trainable_gate_minus_native,energy,accuracy,0.25916666666666666,0.25916666666666666
stackoverflow,0.5,13,trainable_gate_minus_native,knn,oos_f1,0.2606526201935846,0.2606526201935846
stackoverflow,0.5,42,trainable_gate_minus_native,knn,oos_f1,0.13666004810046883,0.13666004810046883
stackoverflow,0.5,87,trainable_gate_minus_native,knn,oos_f1,0.13896461652067527,0.13896461652067527
stackoverflow,0.5,13,trainable_gate_minus_native,knn,f1_all,0.10815024245857185,0.10815024245857185
stackoverflow,0.5,42,trainable_gate_minus_native,knn,f1_all,0.07224853100314266,0.07224853100314266
stackoverflow,0.5,87,trainable_gate_minus_native,knn,f1_all,0.07262319869518652,0.07262319869518652
stackoverflow,0.5,13,trainable_gate_minus_native,knn,known_recall,-0.1120000000000001,-0.1120000000000001
stackoverflow,0.5,42,trainable_gate_minus_native,knn,known_recall,-0.126,-0.126
stackoverflow,0.5,87,trainable_gate_minus_native,knn,known_recall,-0.09933333333333338,-0.09933333333333338
stackoverflow,0.5,13,trainable_gate_minus_native,knn,false_accept_rate,-0.42333333333333334,0.42333333333333334
stackoverflow,0.5,42,trainable_gate_minus_native,knn,false_accept_rate,-0.29833333333333334,0.29833333333333334
stackoverflow,0.5,87,trainable_gate_minus_native,knn,false_accept_rate,-0.28166666666666673,0.28166666666666673
stackoverflow,0.5,13,trainable_gate_minus_native,knn,false_reject_rate,0.11199999999999999,-0.11199999999999999
stackoverflow,0.5,42,trainable_gate_minus_native,knn,false_reject_rate,0.126,-0.126
stackoverflow,0.5,87,trainable_gate_minus_native,knn,false_reject_rate,0.09933333333333341,-0.09933333333333341
stackoverflow,0.5,13,trainable_gate_minus_native,knn,auroc,-0.017418333333333424,-0.017418333333333424
stackoverflow,0.5,42,trainable_gate_minus_native,knn,auroc,-0.005949444444444341,-0.005949444444444341
stackoverflow,0.5,87,trainable_gate_minus_native,knn,auroc,-0.01285444444444439,-0.01285444444444439
stackoverflow,0.5,13,trainable_gate_minus_native,knn,aupr_oos,-0.02664221697446112,-0.02664221697446112
stackoverflow,0.5,42,trainable_gate_minus_native,knn,aupr_oos,-0.016725096022713215,-0.016725096022713215
stackoverflow,0.5,87,trainable_gate_minus_native,knn,aupr_oos,-0.01483866500830966,-0.01483866500830966
stackoverflow,0.5,13,trainable_gate_minus_native,knn,accuracy,0.16616666666666668,0.16616666666666668
stackoverflow,0.5,42,trainable_gate_minus_native,knn,accuracy,0.10299999999999998,0.10299999999999998
stackoverflow,0.5,87,trainable_gate_minus_native,knn,accuracy,0.10233333333333328,0.10233333333333328
stackoverflow,0.5,13,trainable_gate_minus_native,lof,oos_f1,0.3136946627040609,0.3136946627040609
stackoverflow,0.5,42,trainable_gate_minus_native,lof,oos_f1,0.21236054977016272,0.21236054977016272
stackoverflow,0.5,87,trainable_gate_minus_native,lof,oos_f1,0.1691915183372874,0.1691915183372874
stackoverflow,0.5,13,trainable_gate_minus_native,lof,f1_all,0.11129614412924282,0.11129614412924282
stackoverflow,0.5,42,trainable_gate_minus_native,lof,f1_all,0.09767423959707,0.09767423959707
stackoverflow,0.5,87,trainable_gate_minus_native,lof,f1_all,0.07874921285585301,0.07874921285585301
stackoverflow,0.5,13,trainable_gate_minus_native,lof,known_recall,-0.10966666666666669,-0.10966666666666669
stackoverflow,0.5,42,trainable_gate_minus_native,lof,known_recall,-0.1173333333333334,-0.1173333333333334
stackoverflow,0.5,87,trainable_gate_minus_native,lof,known_recall,-0.10333333333333339,-0.10333333333333339
