dataset,method,reference_method,metric,better_direction,paired_cells,pair_count,mean_delta,std_delta,ci95_low,ci95_high,win_rate,tie_rate
banking77_oos,msp,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.002150097465886927,0.01547080437534668,-0.012010721247563342,0.007139839181286573,0.3333333333333333,0.2222222222222222
banking77_oos,msp,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.06547270955165693,0.09731753018433874,0.005061403508771945,0.12460894249512666,0.2222222222222222,0.0
banking77_oos,multisphere_k2,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.03993246070941146,0.02796371591073742,-0.05805160117129213,-0.02451097065241198,0.0,0.0
banking77_oos,multisphere_k2,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.015199317738791426,0.015610301814298495,0.006158138401559466,0.024876303606237823,0.8888888888888888,0.0
banking77_oos,multisphere_k2,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.005351364522417147,0.0492047566670231,-0.03813982699805067,0.024094541910331384,0.4444444444444444,0.0
stackoverflow,diag_mahalanobis_centroid,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0076867818301059225,0.01912193017445104,-0.022159098079974567,0.001767633533998916,0.1111111111111111,0.6666666666666666
stackoverflow,diag_mahalanobis_centroid,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0016450924232218735,0.0027212459435354873,-0.003414235879165722,0.0,0.0,0.6666666666666666
stackoverflow,diag_mahalanobis_centroid,multisphere_selected_k,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.023724433818765784,0.04849832351676145,-0.05638234222817721,-0.0030410918261385544,0.3333333333333333,0.6666666666666666
stackoverflow,energy,multisphere_selected_k,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0017564966839163458,0.06428325816387018,-0.03923257683006425,0.040046657988080575,0.5555555555555556,0.0
stackoverflow,energy,multisphere_selected_k,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.014878867266302906,0.020698691901849663,0.002295532386180949,0.027018689405078292,0.7777777777777778,0.0
