dataset,kir,method,seed_count,data_seeds,distance,k_gate_values,validation_oos_f1_mean,validation_oos_f1_std,validation_id_recall_mean,validation_id_recall_std,validation_fpr95_mean,validation_fpr95_std,test_oos_precision_mean,test_oos_precision_std,test_oos_recall_mean,test_oos_recall_std,test_oos_f1_mean,test_oos_f1_std,test_id_recall_mean,test_id_recall_std,test_oos_rejection_mean,test_oos_rejection_std,test_auroc_mean,test_auroc_std,test_aupr_oos_mean,test_aupr_oos_std,test_fpr95_mean,test_fpr95_std,run_elapsed_seconds_mean,run_elapsed_seconds_std,test_scoring_seconds_mean,test_scoring_seconds_std,test_samples_per_second_mean,test_samples_per_second_std,process_peak_rss_mb_mean,process_peak_rss_mb_std
clinc150,25,diag_mahalanobis_centroid,3,13|42|87,mahalanobis_diag,1,0.9310956439181686,0.00814118648938992,0.8127192982456141,0.020901320276217307,0.24780701754385967,0.05024754051486667,0.9467828575766362,0.005540442531837113,0.9272935779816515,0.005636791618093807,0.9369273790830862,0.00423084206913156,0.8005847953216373,0.02177724699574905,0.9272935779816515,0.005636791618093807,0.9332418584688019,0.012503753128452975,0.9730175567776832,0.008284291613703405,0.2453216374269006,0.01572436217514474,2.035816748670186,0.03479842336304044,,,,,,
clinc150,25,energy,3,13|42|87,,,0.952255683724683,0.004025949156518155,0.8157894736842106,0.017406258625424907,0.16271929824561404,0.0190827279980764,0.9479687562486331,0.002175615157423081,0.9624617737003058,0.005438891869061904,0.9551550918267241,0.003072496536260637,0.797953216374269,0.008786537544629625,0.9624617737003058,0.005438891869061904,0.9659629674338751,0.0023863271522928634,0.9901183387309151,0.0010588483570054122,0.16374269005847952,0.018902101004554372,,,0.011506694679458937,0.0005120959536267701,478623.3560620995,21601.13789133187,1216.3098958333333,40.98500946907312
clinc150,25,entropy,3,13|42|87,,,0.9480948291626957,0.0013865077592121792,0.8254385964912281,0.018716305520484103,0.1763157894736842,0.008628208584607895,0.9485362137872378,0.00681079173358834,0.9577217125382264,0.003988012647016818,0.9531001368633228,0.004660616147596456,0.8011695906432749,0.027268335513530455,0.9577217125382264,0.003988012647016818,0.964461813938516,0.003580654551522899,0.9898548512748714,0.0011577234234213987,0.1730994152046784,0.03294246050797175,,,0.012619552998027453,0.004361941326805245,483697.58371371246,207911.1527677223,1218.8333333333333,42.486295457678146
clinc150,25,euclidean_centroid,3,13|42|87,euclidean,1,0.9283275832867105,0.007983381936499678,0.8175438596491228,0.01324532357065048,0.25833333333333336,0.04090250327029566,0.947623724536264,0.008949258114043152,0.9257645259938837,0.011246330689969967,0.9364946992656571,0.0017685299897035882,0.8038011695906433,0.03797681710635444,0.9257645259938837,0.011246330689969967,0.9426532405171951,0.004142471416534832,0.981146659879763,0.001806986908260192,0.2625730994152047,0.018902101004554358,1.2711688776665444,0.1409838453332964,,,,,,
clinc150,25,knn,3,13|42|87,,,0.9092773548764571,0.014012551574143862,0.8004385964912281,0.0007596714068284253,0.3385964912280702,0.05678257929306017,0.9462987338602412,0.007801650875057135,0.8931192660550459,0.019672696355707814,0.9188006422820778,0.0066246396930482974,0.8055555555555557,0.034538835508817,0.8931192660550459,0.019672696355707814,0.9337455737968776,0.013477405520238432,0.9782776973217088,0.007762584178284969,0.31432748538011696,0.023705859717788644,,,0.053805280661132805,0.0038588548194293673,102573.57124965976,7391.811292475871,1229.1966145833333,33.326191124277734
clinc150,25,lof,3,13|42|87,,,0.9086741830959874,0.011885964032219807,0.8004385964912281,0.0007596714068284253,0.3210526315789474,0.04444564672119615,0.9426437185472217,0.00990288845732207,0.8950305810397553,0.019876646644727325,0.9180638737038639,0.0064851800045794775,0.7909356725146198,0.043083780797958264,0.8950305810397553,0.019876646644727325,0.9248345538923761,0.005062883812554539,0.9758459345043543,0.004324455429792459,0.32105263157894737,0.032668814823747505,,,0.17897236932185479,0.03283398408235932,31394.085236121038,5441.605316416755,1239.1731770833333,16.100434904365176
clinc150,25,msp,3,13|42|87,,,0.9443088667369972,0.004016865295843961,0.8157894736842106,0.02510366319518273,0.19561403508771932,0.019531091296677475,0.9462319191228493,0.008521607461846608,0.954434250764526,0.003480902886187175,0.9503038113825161,0.005109636764468422,0.7923976608187134,0.03433774516174081,0.954434250764526,0.003480902886187175,0.9584015370996298,0.005533364147754483,0.9877123914431527,0.002174133260239689,0.1929824561403509,0.04167359129901651,,,0.011605613991074884,0.002798153703295194,494110.2524358291,126745.75812010487,1195.140625,73.79165486860333
clinc150,25,multisphere_k2,3,13|42|87,mahalanobis_diag,2,0.9317893203811428,0.006719107824957187,0.8144736842105263,0.012959023423415882,0.23421052631578945,0.025069156425339013,0.9519068900880407,0.004171859413598368,0.933256880733945,0.008939071224727086,0.9424684205954782,0.004454935719235348,0.8195906432748538,0.01710713739919306,0.933256880733945,0.008939071224727086,0.9333243467997211,0.016821146316688254,0.9748314795283318,0.009167897175243078,0.2134502923976608,0.02083833427204308,3.5959897003291794,0.0596151392342335,,,,,,
clinc150,25,multisphere_selected_k,3,13|42|87,mahalanobis_diag,1|2,0.9334914443424577,0.008344095804638902,0.8206140350877194,0.018808580388062768,0.22894736842105265,0.030661000520344848,0.9497561657417498,0.0031857826084915,0.931651376146789,0.0078887080375779,0.9405947455955009,0.002474071383063882,0.8114035087719298,0.014117085034588667,0.931651376146789,0.0078887080375779,0.9308773271098234,0.012771773089600522,0.9733122166960064,0.0066498581305895425,0.23479532163742692,0.016301005689785212,3.074683317997066,0.9173483541898554,,,,,,
clinc150,50,diag_mahalanobis_centroid,3,13|42|87,mahalanobis_diag,1,0.8514115970120816,0.007941490985389054,0.8064444444444444,0.002341256389522794,0.3297777777777778,0.06234788897195524,0.8674315653890146,0.013056880707040919,0.8865641025641026,0.0060790324154820306,0.8768776955146693,0.009211033053466287,0.8041481481481482,0.02104120981046633,0.8865641025641026,0.0060790324154820306,0.9046073618233619,0.005797976539363321,0.9048100969587772,0.0017202845736710092,0.3180740740740741,0.04433839198837984,3.5997501156671206,0.03842314409241619,,,,,,
