phase,dataset,distance,reference_k,target_k,metric,better_direction,paired_cells,pair_count,mean_delta,std_delta,ci95_low,ci95_high,win_rate,tie_rate
fixed,stackoverflow,euclidean,1,2,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.13763538141727147,0.10475859609991858,0.08002692370236265,0.20627196425418995,0.0,0.0
fixed,stackoverflow,euclidean,1,3,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.21238563856052542,0.049730758278877824,-0.24493917111937275,-0.18395070360636223,0.0,0.0
fixed,stackoverflow,euclidean,1,3,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0070148488551172354,0.012510149157699277,-0.013447777834077,0.001766313161011585,0.1111111111111111,0.0
fixed,stackoverflow,euclidean,1,3,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.22625819317681092,0.04040108963825677,0.20303898208764729,0.2503588567833813,0.0,0.0
fixed,stackoverflow,euclidean,1,4,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.2361336428464602,0.07060640630339336,-0.28301317720225994,-0.19873735883252505,0.0,0.0
fixed,stackoverflow,euclidean,1,4,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.016948883845441378,0.01121761849602638,-0.02305292756582014,-0.009636901210887207,0.1111111111111111,0.0
fixed,stackoverflow,euclidean,1,4,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.2515357443160405,0.06003117845955382,0.2162494692576847,0.2890953173465195,0.0,0.0
fixed,stackoverflow,euclidean,1,5,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.21287637946694246,0.07529732884945099,-0.2660543434442799,-0.17326388843359083,0.0,0.0
fixed,stackoverflow,euclidean,1,5,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.021153030587667945,0.010101166286124848,-0.027051014132620198,-0.014580180363132307,0.0,0.0
fixed,stackoverflow,euclidean,1,5,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.22826083416660461,0.0587699637208712,0.19402365949336894,0.26676253026024116,0.0,0.0
fixed,stackoverflow,mahalanobis_diag,1,2,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.0691494112931018,0.08205062762709373,-0.12674066468776385,-0.0301160103539809,0.0,0.0
fixed,stackoverflow,mahalanobis_diag,1,2,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.04150918809676607,0.016478539015961365,0.03074911253678225,0.051666495459493006,1.0,0.0
fixed,stackoverflow,mahalanobis_diag,1,2,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.08380661045084185,0.09801833333056753,0.03040674095195199,0.1555210568543847,0.0,0.0
fixed,stackoverflow,mahalanobis_diag,1,3,test_oos_f1,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,-0.12657080114935174,0.07540792172262532,-0.18097992967002158,-0.08801609717087071,0.0,0.0
fixed,stackoverflow,mahalanobis_diag,1,3,test_id_recall,higher,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.0711289997757661,0.01153254240212464,0.06450027802230755,0.07874627819282218,1.0,0.0
fixed,stackoverflow,mahalanobis_diag,1,3,test_fpr95,lower,kir25_seed13|kir25_seed42|kir25_seed87|kir50_seed13|kir50_seed42|kir50_seed87|kir75_seed13|kir75_seed42|kir75_seed87,9,0.14009441306215115,0.05773091268204698,0.1097527647430527,0.18126738790603603,0.0,0.0
