dataset,kir,data_seed,distance,method,bucket,validation_q20,validation_q80,known_test_count,bucket_oos_count,threshold,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95
banking77_oos,50,42,mahalanobis_diag,msp,near,0.31565642435359287,0.594621920726825,1000,447,0.5556448029925686,0.594855305466238,0.41387024608501116,0.48812664907651715,0.874,0.41387024608501116,0.7563199105145414,0.5177612670329849,0.76
banking77_oos,50,42,mahalanobis_diag,msp,medium,0.31565642435359287,0.594621920726825,1000,1479,0.5556448029925686,0.9109540636042402,0.8715348208248817,0.8908085694540429,0.874,0.8715348208248817,0.9345314401622717,0.9366925339650608,0.204
banking77_oos,50,42,mahalanobis_diag,msp,far,0.31565642435359287,0.594621920726825,1000,1154,0.5556448029925686,0.9002375296912114,0.9852686308492201,0.9408357467935458,0.874,0.9852686308492201,0.9828318890814558,0.9829973618955087,0.067
banking77_oos,50,42,mahalanobis_diag,energy,near,0.31565642435359287,0.594621920726825,1000,447,-4.280755370444492,0.5209125475285171,0.30648769574944074,0.38591549295774646,0.874,0.30648769574944074,0.7059038031319911,0.45402508271919073,0.741
banking77_oos,50,42,mahalanobis_diag,energy,medium,0.31565642435359287,0.594621920726825,1000,1479,-4.280755370444492,0.9053343350864012,0.8147396889790399,0.8576512455516014,0.874,0.8147396889790399,0.914473292765382,0.92265526853639,0.332
banking77_oos,50,42,mahalanobis_diag,energy,far,0.31565642435359287,0.594621920726825,1000,1154,-4.280755370444492,0.9008654602675059,0.9922010398613518,0.9443298969072165,0.874,0.9922010398613518,0.9909870017331023,0.9911036336934868,0.029
banking77_oos,50,42,mahalanobis_diag,entropy,near,0.31565642435359287,0.594621920726825,1000,447,0.6440398732691132,0.550185873605948,0.33109619686800895,0.4134078212290503,0.879,0.33109619686800895,0.7393937360178969,0.490195857250194,0.722
banking77_oos,50,42,mahalanobis_diag,entropy,medium,0.31565642435359287,0.594621920726825,1000,1479,0.6440398732691132,0.9107011070110701,0.8343475321162948,0.8708539167254764,0.879,0.8343475321162948,0.9316430020283976,0.9341207901105789,0.251
banking77_oos,50,42,mahalanobis_diag,entropy,far,0.31565642435359287,0.594621920726825,1000,1154,0.6440398732691132,0.9044233807266983,0.9922010398613518,0.9462809917355371,0.879,0.9922010398613518,0.9899930675909879,0.9900806257047623,0.043
banking77_oos,50,42,mahalanobis_diag,knn,near,0.31565642435359287,0.594621920726825,1000,447,0.7215454535783892,0.51171875,0.2930648769574944,0.37268847795163584,0.875,0.2930648769574944,0.7422125279642056,0.4617773407751917,0.751
banking77_oos,50,42,mahalanobis_diag,knn,medium,0.31565642435359287,0.594621920726825,1000,1479,0.7215454535783892,0.9080882352941176,0.835023664638269,0.8700246565692145,0.875,0.835023664638269,0.924395537525355,0.9352605456129378,0.273
banking77_oos,50,42,mahalanobis_diag,knn,far,0.31565642435359287,0.594621920726825,1000,1154,0.7215454535783892,0.9014972419227738,0.9913344887348353,0.9442839455220801,0.875,0.9913344887348353,0.9963015597920277,0.9971853566625782,0.003
banking77_oos,50,42,mahalanobis_diag,lof,near,0.31565642435359287,0.594621920726825,1000,447,1.1370340744094865,0.327683615819209,0.1297539149888143,0.1858974358974359,0.881,0.1297539149888143,0.584165548098434,0.35869867797712196,0.925
