phase,dataset,kir,data_seed,distance,k_gate,oos_source,bucket,validation_q20,validation_q80,known_test_count,bucket_oos_count,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95
tuned,banking77_oos,25,42,mahalanobis_diag,5,heldout_unknown,near,0.3592955193213403,0.6607622919844419,480,409,0.7534246575342466,0.5378973105134475,0.6276747503566333,0.85,0.5378973105134475,0.811730847595762,0.7085602048198602,0.575
tuned,banking77_oos,25,42,mahalanobis_diag,5,heldout_unknown,medium,0.3592955193213403,0.6607622919844419,480,975,0.9234856535600424,0.8912820512820513,0.907098121085595,0.85,0.8912820512820513,0.93408547008547,0.9560848265795304,0.2
tuned,banking77_oos,25,42,mahalanobis_diag,5,heldout_unknown,far,0.3592955193213403,0.6607622919844419,480,136,0.6521739130434783,0.9926470588235294,0.7871720116618076,0.85,0.9926470588235294,0.9881587009803922,0.9573122525259348,0.0354166666666666
tuned,banking77_oos,25,42,mahalanobis_diag,5,provided_oos,near,0.3592955193213403,0.6607622919844419,480,118,0.5167785234899329,0.652542372881356,0.5767790262172284,0.85,0.652542372881356,0.8375882768361582,0.4649810217782338,0.5729166666666666
tuned,banking77_oos,25,42,mahalanobis_diag,5,provided_oos,medium,0.3592955193213403,0.6607622919844419,480,861,0.9119804400977995,0.8664343786295006,0.8886241810601548,0.85,0.8664343786295006,0.9298635307781647,0.9511464507524962,0.25
tuned,banking77_oos,25,42,mahalanobis_diag,5,provided_oos,far,0.3592955193213403,0.6607622919844419,480,1101,0.9382504288164666,0.9936421435059036,0.9651521835024262,0.85,0.9936421435059036,0.9935002270663033,0.997030984139024,0.0208333333333333
tuned,banking77_oos,50,42,euclidean,1,combined,near,0.3156564243535928,0.594621920726825,1000,447,0.1587301587301587,0.0447427293064877,0.0698080279232111,0.894,0.0447427293064877,0.626317673378076,0.3497029186650257,0.786
tuned,banking77_oos,50,42,euclidean,1,combined,medium,0.3156564243535928,0.594621920726825,1000,1479,0.9062776304155614,0.6930358350236646,0.7854406130268199,0.894,0.6930358350236646,0.9158262339418526,0.902872877698871,0.211
tuned,banking77_oos,50,42,euclidean,1,combined,far,0.3156564243535928,0.594621920726825,1000,1154,0.9158730158730158,1.0,0.956089478044739,0.894,1.0,0.9945866551126517,0.994531910950208,0.027
tuned,banking77_oos,50,42,euclidean,1,heldout_unknown,near,0.3156564243535928,0.594621920726825,1000,288,0.0619469026548672,0.0243055555555555,0.0349127182044887,0.894,0.0243055555555555,0.6531284722222224,0.2682575455116811,0.65
