phase,dataset,kir,distance,k_gate,seed_count,intent_rows,fragmented_intent_rate,effective_k_mean,effective_k_std,wcss_per_sample_mean,wcss_per_sample_std,minimum_cluster_ratio_mean,minimum_cluster_ratio_std,silhouette_mean,silhouette_std,davies_bouldin_mean,davies_bouldin_std,calinski_harabasz_mean,calinski_harabasz_std
fixed,banking77_oos,75,mahalanobis_diag,1,3,114,0.0,1.0,0.0,0.45885921357193443,0.060273865942983146,1.0,0.0,,,,,,
fixed,banking77_oos,75,mahalanobis_diag,2,3,114,0.07017543859649122,2.0,0.0,0.38485868479532226,0.050459583150793644,0.3067688867274605,0.11277983163314681,0.20400309368294103,0.07099705623044723,2.0371656209657463,0.46097251408635714,22.15114993486838,5.227475076303961
fixed,banking77_oos,75,mahalanobis_diag,3,3,114,0.3333333333333333,3.0,0.0,0.3357298592455281,0.04625643110407845,0.147254073752198,0.07217567895105248,0.17883882488609126,0.04783857027190741,1.9393276046911416,0.3239650396322109,21.00838966148572,4.91759551190517
fixed,banking77_oos,75,mahalanobis_diag,4,3,114,0.6666666666666666,4.0,0.0,0.30367151532211917,0.043334378369959965,0.09233512502805297,0.03998227106038924,0.176539572990382,0.04649482160952993,1.884558926290335,0.2612582160164491,19.38841514572691,4.24903090418765
fixed,banking77_oos,75,mahalanobis_diag,5,3,114,0.7631578947368421,5.0,0.0,0.28137519197410205,0.04136426415506514,0.07655534011995549,0.02529061103025587,0.17497859389716836,0.038443519119225125,1.861606860703869,0.23483748345431105,17.82593046971483,3.7667038703151112
fixed,clinc150,25,euclidean,1,3,114,0.0,1.0,0.0,0.5013301315746866,0.12081845727936727,1.0,0.0,,,,,,
fixed,clinc150,25,euclidean,2,3,114,0.0,2.0,0.0,0.4376813871851469,0.11854227136031088,0.36719298245614035,0.0953104733069755,0.13472700343218402,0.06004280027082815,2.4813133393804656,0.6016419165260625,15.401735229698023,6.798835014455338
fixed,clinc150,25,euclidean,3,3,114,0.08771929824561403,3.0,0.0,0.3998017592638772,0.11470800462730854,0.20350877192982456,0.06827822384608319,0.13259086712248666,0.05937175752010353,2.4144012464874804,0.49072222028136603,13.432360954968068,6.595478543953732
fixed,clinc150,25,euclidean,4,3,114,0.23684210526315788,4.0,0.0,0.37412865554385977,0.11225158606500867,0.13298245614035087,0.048571265487756546,0.13636347354573033,0.06017366313912381,2.3431578131749093,0.4355293182965597,12.054329935214374,6.775065941050155
fixed,clinc150,25,euclidean,5,3,114,0.6140350877192983,5.0,0.0,0.35480062375241195,0.1092415991343783,0.0812280701754386,0.03863008939754461,0.1399853276884949,0.058533550515978576,2.2197112857352916,0.3956918915865417,10.88458503932091,5.7331340412332095
fixed,clinc150,25,mahalanobis_diag,1,3,114,0.0,1.0,0.0,0.5013301315746866,0.12081845727936727,1.0,0.0,,,,,,
fixed,clinc150,25,mahalanobis_diag,2,3,114,0.0,2.0,0.0,0.4376813871851469,0.11854227136031088,0.36719298245614035,0.0953104733069755,0.13472700343218402,0.06004280027082815,2.4813133393804656,0.6016419165260625,15.401735229698023,6.798835014455338
fixed,clinc150,25,mahalanobis_diag,3,3,114,0.08771929824561403,3.0,0.0,0.3998017592638772,0.11470800462730854,0.20350877192982456,0.06827822384608319,0.13259086712248666,0.05937175752010353,2.4144012464874804,0.49072222028136603,13.432360954968068,6.595478543953732
fixed,clinc150,25,mahalanobis_diag,4,3,114,0.23684210526315788,4.0,0.0,0.37412865554385977,0.11225158606500867,0.13298245614035087,0.048571265487756546,0.13636347354573033,0.06017366313912381,2.3431578131749093,0.4355293182965597,12.054329935214374,6.775065941050155
fixed,clinc150,25,mahalanobis_diag,5,3,114,0.6140350877192983,5.0,0.0,0.35480062375241195,0.1092415991343783,0.0812280701754386,0.03863008939754461,0.1399853276884949,0.058533550515978576,2.2197112857352916,0.3956918915865417,10.88458503932091,5.7331340412332095
fixed,clinc150,50,euclidean,1,3,225,0.0,1.0,0.0,0.47961677101214,0.11623443771473303,1.0,0.0,,,,,,
