phase,dataset,kir,distance,k_gate,seed_count,test_oos_f1_mean,test_oos_f1_std,test_id_recall_mean,test_id_recall_std,test_auroc_mean,test_auroc_std,test_aupr_oos_mean,test_aupr_oos_std,test_fpr95_mean,test_fpr95_std
fixed,stackoverflow,50,mahalanobis_diag,4,3,0.6502270768893686,0.0758050170862955,0.8943556403804706,0.002068634772705578,0.8538876318555602,0.04419619381342496,0.8275938020668518,0.03852915838504153,0.45942909678966465,0.15481375532950464
fixed,stackoverflow,50,mahalanobis_diag,5,3,0.6679785529463341,0.05459827614043359,0.8873415746048353,0.005051402400804251,0.8549879263424424,0.04475801440944797,0.8274656622065262,0.0365585666787477,0.4460695987129359,0.15799716304291514
fixed,stackoverflow,75,euclidean,1,3,0.6281487526289746,0.06317671211773135,0.8726531877712941,0.001335937022021446,0.878815716384359,0.012480664818218952,0.6048642599531928,0.05425817693335467,0.32421666704744323,0.07959557850054676
fixed,stackoverflow,75,euclidean,2,3,0.4269027924043833,0.11726594297794948,0.8716145680914301,0.0037431048784593037,0.7839724286514823,0.0843086488099653,0.44381849045888,0.08469434518676922,0.5008959151992604,0.18555838809369457
fixed,stackoverflow,75,euclidean,3,3,0.3836620414382146,0.04855153418774294,0.8575136440664961,0.004307779955309033,0.758048531374222,0.04186375592093061,0.40987929734489975,0.022222292367285585,0.5564973704363991,0.08582328271401797
fixed,stackoverflow,75,euclidean,4,3,0.34303550754535683,0.08591206610954057,0.8507602868851517,0.0029930909456504476,0.7331044216419739,0.06870686720007825,0.37721155912382676,0.05401642265949481,0.5869927818806658,0.1182910670721625
fixed,stackoverflow,75,euclidean,5,3,0.38685189640508355,0.10283650898020079,0.8457143449960154,0.001380056858239395,0.7464432610188853,0.07879323460798428,0.39907556144480494,0.0702939834692429,0.5622782688969369,0.13011403742564476
fixed,stackoverflow,75,mahalanobis_diag,1,3,0.6313391913113686,0.05386781235029621,0.8359178314918864,0.004415163782742022,0.8685312507822344,0.016835567983342094,0.6197708077223814,0.0518020394710956,0.3434378215589871,0.07731874834578241
fixed,stackoverflow,75,mahalanobis_diag,2,3,0.5256101545630185,0.11896440504774325,0.8905390307616082,0.010177887879215083,0.829315513761991,0.08312562486304866,0.5625646001702679,0.12604964810183766,0.45592129763231815,0.19947723031138134
fixed,stackoverflow,75,mahalanobis_diag,3,3,0.48631314793802954,0.11217861006645367,0.9154740967951186,0.009999752879016027,0.8273207998944688,0.06654919594517998,0.5703101002821358,0.10999983802501449,0.4917020693875985,0.13656834329879133
