dataset,kir,intent,observed_seeds,known_count_mean,known_recovery_rate_mean,known_recovery_rate_std,known_recovery_count_mean,extra_oos_accept_count_mean,extra_oos_accept_rate_mean,mean_ball_count,mean_radius,min_ball_support_mean,missing_selected_ball_ratio,positive_seed_ratio
banking77,0.5,get_disposable_virtual_card,3,40.0,0.35833333333333334,0.09464847243000456,14.333333333333334,3.0,0.0019230769230768666,3.0,0.3911785215431065,20.0,0.0,1.0
banking77,0.5,get_physical_card,2,40.0,0.5375,0.12374368670764585,21.5,5.5,0.003525641025641,3.0,0.44356186072199744,10.0,0.0,1.0
banking77,0.5,getting_spare_card,2,40.0,0.525,0.10606601717798213,21.0,0.0,0.0,3.0,0.5189117781069192,11.5,0.0,1.0
banking77,0.5,getting_virtual_card,2,40.0,0.4625,0.05303300858899105,18.5,0.5,0.0003205128205128,3.0,0.39829557656557923,15.0,0.0,1.0
banking77,0.5,lost_or_stolen_card,2,40.0,0.575,0.1414213562373096,23.0,5.0,0.00320512820512815,1.5,0.42609350571520843,16.0,0.0,1.0
banking77,0.5,lost_or_stolen_phone,3,40.0,0.46666666666666673,0.09464847243000461,18.666666666666668,0.0,0.0,1.6666666666666667,0.5832672092900119,31.0,0.0,1.0
banking77,0.5,order_physical_card,3,40.0,0.75,0.11456439237389601,30.0,3.6666666666666665,0.0023504273504273,2.0,0.4376291741166643,14.333333333333334,0.0,1.0
banking77,0.5,passcode_forgotten,3,40.0,0.325,0.06614378277661476,13.0,0.0,0.0,1.3333333333333333,0.5593988009065942,56.333333333333336,0.0,1.0
banking77,0.5,pending_card_payment,2,40.0,0.42500000000000004,0.14142135623730953,17.0,0.0,0.0,3.5,0.43837665485695615,11.0,0.0,1.0
banking77,0.5,pending_cash_withdrawal,4,40.0,0.425,0.08897565210026094,17.0,2.25,0.001442307692307675,3.0,0.46252118044580626,12.5,0.0,1.0
banking77,0.5,pending_transfer,4,40.0,0.65625,0.1599153421866291,26.25,10.25,0.0065705128205128,2.75,0.43716020183374305,34.5,0.0,1.0
banking77,0.5,pin_blocked,2,40.0,0.44999999999999996,0.0,18.0,1.5,0.00096153846153845,2.0,0.46917885341743737,13.0,0.0,1.0
banking77,0.5,receiving_money,3,40.0,0.5333333333333333,0.1842778698957999,21.333333333333332,8.333333333333334,0.0053418803418802995,2.0,0.5565245525796484,14.333333333333334,0.0,1.0
banking77,0.5,reverted_card_payment?,3,40.0,0.5166666666666667,0.05204164998665325,20.666666666666668,12.666666666666666,0.008119658119658067,3.0,0.4623735768988897,12.333333333333334,0.0,1.0
banking77,0.5,supported_cards_and_currencies,1,40.0,0.8,,32.0,8.0,0.0051282051282051,2.0,0.4170855055797912,11.0,0.0,1.0
banking77,0.5,terminate_account,2,40.0,0.375,0.03535533905932733,15.0,0.0,0.0,1.0,0.5924702082406406,94.0,0.0,1.0
banking77,0.5,top_up_by_bank_transfer_charge,2,40.0,0.5874999999999999,0.12374368670764581,23.5,4.5,0.0028846153846154004,3.0,0.4521593847958978,12.0,0.0,1.0
banking77,0.5,top_up_by_card_charge,2,40.0,0.6625,0.053033008588991036,26.5,1.0,0.0006410256410256,2.5,0.4731454026976277,12.5,0.0,1.0
banking77,0.5,top_up_by_cash_or_cheque,2,40.0,0.575,0.0,23.0,1.5,0.0009615384615384,2.5,0.5081048037782245,11.0,0.0,1.0
banking77,0.5,top_up_failed,1,40.0,0.42499999999999993,,17.0,18.0,0.0115384615384615,4.0,0.4660252021820632,10.0,0.0,1.0
banking77,0.5,top_up_limits,1,40.0,0.275,,11.0,2.0,0.0012820512820513,1.0,0.5453947214908536,79.0,0.0,1.0
banking77,0.5,top_up_reverted,2,40.0,0.475,0.1060660171779822,19.0,32.5,0.02083333333333335,1.5,0.5811350520056515,60.0,0.0,1.0
banking77,0.5,topping_up_by_card,4,40.0,0.625,0.04564354645876387,25.0,25.0,0.016025641025641,2.25,0.41542785984155084,11.0,0.0,1.0
banking77,0.5,transaction_charged_twice,2,40.0,0.625,0.07071067811865482,25.0,0.5,0.0003205128205128,4.0,0.48494781497779327,10.5,0.0,1.0
banking77,0.5,transfer_fee_charged,4,40.0,0.55,0.045643546458763805,22.0,5.0,0.00320512820512815,3.0,0.48425178882447334,32.75,0.0,1.0
banking77,0.5,transfer_into_account,3,40.0,0.3666666666666667,0.014433756729740661,14.666666666666666,2.0,0.0012820512820512333,1.3333333333333333,0.5143016602887144,41.666666666666664,0.0,1.0
banking77,0.5,transfer_not_received_by_recipient,1,40.0,0.725,,29.0,42.0,0.0269230769230769,2.0,0.4133804934847164,10.0,0.0,1.0
banking77,0.5,transfer_timing,2,40.0,0.5125,0.017677669529663664,20.5,8.5,0.0054487179487179,3.5,0.395542257556707,15.0,0.0,1.0
banking77,0.5,unable_to_verify_identity,3,40.0,0.43333333333333335,0.052041649986653324,17.333333333333332,8.666666666666666,0.005555555555555566,2.6666666666666665,0.42329502079433645,14.666666666666666,0.0,1.0
banking77,0.5,verify_my_identity,4,40.0,0.41874999999999996,0.12970318680227816,16.75,5.75,0.0036858974358974,2.0,0.4089157504844831,25.75,0.0,1.0
banking77,0.5,verify_source_of_funds,4,40.0,0.48125,0.07739239842086128,19.25,0.0,0.0,1.75,0.5218636727182021,47.5,0.0,1.0
banking77,0.5,verify_top_up,2,40.0,0.3875,0.053033008588991036,15.5,0.0,0.0,1.5,0.520883814039936,54.0,0.0,1.0
banking77,0.5,virtual_card_not_working,3,40.0,0.34166666666666673,0.08036375634160792,13.666666666666666,4.333333333333333,0.0027777777777777666,1.0,0.47965481380271596,23.0,0.0,1.0
banking77,0.5,visa_or_mastercard,4,40.0,0.28125,0.09655525188547054,11.25,0.0,0.0,2.0,0.4796770826443723,36.5,0.0,1.0
banking77,0.5,why_verify_identity,3,40.0,0.5166666666666666,0.028867513459481246,20.666666666666668,23.333333333333332,0.014957264957264899,3.3333333333333335,0.4710462049908453,15.333333333333334,0.0,1.0
banking77,0.5,wrong_amount_of_cash_received,2,40.0,0.4,0.14142135623730953,16.0,20.5,0.0131410256410256,3.5,0.515789058388598,10.5,0.0,1.0
banking77,0.5,wrong_exchange_rate_for_cash_withdrawal,5,40.0,0.5449999999999999,0.054198708471697034,21.8,2.6,0.0016666666666666399,3.0,0.4835616774999217,14.8,0.0,1.0
banking77,0.75,Refund_not_showing_up,5,40.0,0.395,0.15552331014995788,15.8,4.2,0.00552631578947366,2.0,0.5269920372276229,41.6,0.0,1.0
banking77,0.75,activate_my_card,4,40.0,0.35,0.10606601717798214,14.0,0.0,0.0,2.5,0.4431770018832778,43.5,0.0,1.0
banking77,0.75,age_limit,2,40.0,0.3125,0.017677669529663646,12.5,0.0,0.0,2.5,0.5419425229104033,20.5,0.0,1.0
banking77,0.75,apple_pay_or_google_pay,5,40.0,0.5149999999999999,0.06274950199005569,20.6,0.0,0.0,2.4,0.49805654061984334,24.8,0.0,1.0
banking77,0.75,atm_support,5,40.0,0.485,0.13181426326464066,19.4,0.2,0.00026315789473684004,2.8,0.4323695436412461,17.4,0.0,1.0
