dataset,seed,radius_lambda,delta_oos_f1_k2_minus_k1,delta_oos_precision_k2_minus_k1,delta_oos_recall_k2_minus_k1,delta_f1_all_k2_minus_k1,delta_f1_k_k2_minus_k1,delta_f1_u_k2_minus_k1,delta_accuracy_k2_minus_k1,delta_known_macro_f1_k2_minus_k1,delta_known_recall_k2_minus_k1,delta_false_accept_rate_k2_minus_k1,delta_false_reject_rate_k2_minus_k1,delta_auroc_k2_minus_k1,delta_aupr_oos_k2_minus_k1
clinc150,87,1.0,-0.0042230756382802825,-0.023388923593837707,0.01942028985507238,-0.017673294713639764,-0.017852630967977734,-0.0042230756382802825,-0.0059649122807017285,-0.027961269949806855,-0.052000000000000046,-0.01942028985507241,0.05200000000000002,-0.004997745571658774,-0.004214747123664986
clinc150,87,1.25,-0.0011512415973476964,-0.02355476799770606,0.02347826086956517,-0.012130421423802384,-0.01227681048815521,-0.0011512415973476964,-0.002105263157894721,-0.023668174756616422,-0.04799999999999993,-0.0234782608695652,0.048000000000000015,-0.0041084702093397985,-0.004012383536822761
clinc150,87,1.5,0.00229065644876969,-0.024034188397260126,0.028115942028985486,-0.007977414722051601,-0.008114322337662405,0.00229065644876969,0.0007017543859649811,-0.02330310037242156,-0.04533333333333334,-0.0281159420289855,0.04533333333333331,-0.0033905314009662346,-0.0038569288242383815
clinc150,87,2.0,0.011331283795643077,-0.02070484384901683,0.03536231884057972,-0.0007845324761164285,-0.0009460766930732278,0.011331283795643077,0.007719298245614015,-0.020295079375150182,-0.034222222222222154,-0.03536231884057969,0.03422222222222221,-0.0022579066022544447,-0.003605359491938409
banking77,13,0.0,-0.0006823371268095402,-0.004569344863627034,0.007051282051282026,-0.0070916471219254484,-0.007260313174428545,-0.0006823371268095402,-0.0029220779220778814,-0.010482878917098537,-0.013157894736842146,-0.0070512820512821026,0.013157894736842202,-0.01302083333333326,-0.02213678884600212
banking77,13,0.25,-0.001147115169892965,-0.00642986777288046,0.007692307692307887,-0.011294653711056646,-0.011561694198982009,-0.001147115169892965,-0.00551948051948048,-0.015915537135026026,-0.015131578947368274,-0.007692307692307707,0.015131578947368385,-0.009106359649122764,-0.017559501892685403
banking77,13,0.5,0.003809047313370839,-0.006122216681482162,0.017307692307692246,-0.003200918199149805,-0.003385390975795155,0.003809047313370839,0.00032467532467528315,-0.011927983711346846,-0.015789473684210464,-0.017307692307692316,0.01578947368421052,-0.005789895411606127,-0.01389287277021245
banking77,13,0.75,0.014675939003091165,-0.00042476757273468557,0.03076923076923077,0.007023415233016306,0.006822033028540564,0.014675939003091165,0.011363636363636354,-0.0047416266489469505,-0.009210526315789558,-0.030769230769230688,0.009210526315789502,-0.003168437921727274,-0.010779408780712596
banking77,13,1.0,0.003063445324359426,-0.020297394723906348,0.02179487179487183,-0.002397948704352726,-0.002541669599845253,0.003063445324359426,-0.00032467532467539417,-0.01197642476249594,-0.02763157894736845,-0.02179487179487183,0.027631578947368396,-0.0008076079622132415,-0.00794198508610422
banking77,13,1.25,0.008202345680481393,-0.022165243372677,0.02564102564102566,-1.748560211844996e-05,-0.00023379695166048098,0.008202345680481393,0.0016233766233766378,-0.012259103787559122,-0.025657894736842102,-0.025641025641025716,0.025657894736842088,0.0011546896086367386,-0.005765198633594704
