dataset,kir,metric,metric_label,n_seeds,trainable_mean,trainable_std,adb_mean,adb_std,delta_mean,delta_std,ci95_low,ci95_high,trainable_wins,ties,adb_wins
clinc150,0.75,false_reject_rate,False Rejection,5,0.24880952380952376,0.008669352180731851,0.08464285714285708,0.0017045025075329056,0.16416666666666666,0.008716733002700209,0.15755952380952382,0.17083333333333336,5,0,0
clinc150,0.75,accuracy,Accuracy,5,0.8305964912280702,0.006342050665849298,0.8673684210526316,0.009409300389816038,-0.036771929824561386,0.011968847426146415,-0.04568421052631577,-0.026947368421052654,0,0,5
stackoverflow,0.25,oos_f1,OOS F1,5,0.9547969095009252,0.012101466328903058,0.9313556999623411,0.017516883044561574,0.023441209538584085,0.011323502475179284,0.013195040675201964,0.03017221824804379,5,0,0
stackoverflow,0.25,f1_all,F1-All,5,0.8763726851882936,0.02371170428517426,0.8311761611180477,0.030543508503060025,0.04519652407024575,0.019265143251701648,0.028093648752942114,0.057171996050817867,5,0,0
stackoverflow,0.25,known_recall,Known Recall,5,0.8429333333333332,0.005899152481501018,0.8352,0.019795622411701682,0.007733333333333326,0.017528389670601364,-0.005866666666666687,0.021333333333333336,3,0,2
stackoverflow,0.25,false_accept_rate,False Acceptance,5,0.038488888888888836,0.0213913562790392,0.08031111111111106,0.027380537378957587,-0.04182222222222222,0.01819469465476808,-0.05328888888888887,-0.026533333333333343,0,0,5
stackoverflow,0.25,false_reject_rate,False Rejection,5,0.15706666666666663,0.005899152481501039,0.16479999999999997,0.01979562241170169,-0.0077333333333333195,0.017528389670601354,-0.021333333333333315,0.005866666666666675,2,0,3
stackoverflow,0.25,accuracy,Accuracy,5,0.9304666666666666,0.01758566335273009,0.8974666666666667,0.024837639447687732,0.03299999999999988,0.015808313565266126,0.018466666666666586,0.042266666666666564,5,0,0
stackoverflow,0.5,oos_f1,OOS F1,5,0.8767066651336372,0.01657004865929603,0.8721189792487543,0.011686969381661435,0.004587685884882964,0.013032973015290546,-0.006955989105631688,0.013759111989667972,3,0,2
stackoverflow,0.5,f1_all,F1-All,5,0.8655077750537565,0.0129768949886664,0.8580505106759599,0.011476033515163037,0.007457264377796769,0.008368217038433087,0.0001655295756364028,0.013032684924456462,4,0,1
stackoverflow,0.5,known_recall,Known Recall,5,0.8389333333333333,0.003569936196130745,0.8137333333333334,0.013323746553511956,0.0252,0.011814774178497356,0.016266666666666697,0.034466666666666625,5,0,0
stackoverflow,0.5,false_accept_rate,False Acceptance,5,0.09339999999999998,0.03261168842949139,0.08266666666666664,0.01803391865963196,0.010733333333333341,0.0251312112278294,-0.0073999999999999995,0.03140000000000002,3,0,2
stackoverflow,0.5,false_reject_rate,False Rejection,5,0.16106666666666664,0.003569936196130745,0.18626666666666664,0.013323746553511984,-0.025199999999999993,0.01181477417849738,-0.03446666666666665,-0.01626666666666668,0,0,5
stackoverflow,0.5,accuracy,Accuracy,5,0.8681333333333333,0.015964109050547667,0.8629666666666667,0.012231221434418446,0.005166666666666675,0.012204279759348506,-0.005466666666666642,0.013866666666666649,3,1,1
stackoverflow,0.75,oos_f1,OOS F1,5,0.7630378449085173,0.029114150514437897,0.7369953964853625,0.010011719038573586,0.02604244842315475,0.02100563637208236,0.00790325380443222,0.0405271327142277,4,0,1
stackoverflow,0.75,f1_all,F1-All,5,0.87280021593395,0.0068391139890120346,0.8598580811458512,0.003945772852671907,0.012942134788098757,0.005600359854543902,0.008193668609779613,0.017477968963667802,5,0,0
stackoverflow,0.75,known_recall,Known Recall,5,0.8411555555555555,0.0067263990696690345,0.8084444444444445,0.009370297174359107,0.032711111111111114,0.011790768517031532,0.023866666666666703,0.043022222222222205,5,0,0
stackoverflow,0.75,false_accept_rate,False Acceptance,5,0.08799999999999997,0.059708551406905785,0.08119999999999997,0.015480453625279994,0.0068000000000000005,0.051080328894790805,-0.030800000000000004,0.04365999999999913,2,0,3
stackoverflow,0.75,false_reject_rate,False Rejection,5,0.1588444444444444,0.006726399069669068,0.19155555555555553,0.009370297174359122,-0.03271111111111113,0.011790768517031583,-0.04248888888888895,-0.024400000000000005,0,0,5
stackoverflow,0.75,accuracy,Accuracy,5,0.8443999999999999,0.011747694809337423,0.8272,0.004188940465347067,0.017200000000000014,0.009749928774668626,0.008533333333333348,0.02456666666666669,5,0,0
