dataset,kir,seed,component,oos_f1,f1_all,id_recall,false_accept_rate,effective_cluster_count,base_oos_f1,base_f1_all,base_id_recall,base_false_accept_rate,base_effective_cluster_count,delta_oos_vs_mogb_default,delta_f1_all_vs_mogb_default,delta_id_recall_vs_mogb_default,delta_false_accept_vs_mogb_default
clinc150,0.25,42,euclidean_mean_std,0.9382165605095542,0.7014369878329456,0.6131578947368421,0.0309210526315789,77.0,0.9151038515829804,0.4129480678588679,0.2807017543859649,0.0048245614035087,77.0,0.0231127089265738,0.2884889199740777,0.3324561403508772,0.0260964912280702
clinc150,0.25,42,mahalanobis_diag_mean,0.9151038515829804,0.4129480678588679,0.2807017543859649,0.0048245614035087,77.0,0.9151038515829804,0.4129480678588679,0.2807017543859649,0.0048245614035087,77.0,0.0,0.0,0.0,0.0
clinc150,0.25,42,mahalanobis_diag_mean_std,0.9337242173594388,0.6447081265767621,0.5333333333333333,0.0221491228070175,77.0,0.9151038515829804,0.4129480678588679,0.2807017543859649,0.0048245614035087,77.0,0.018620365776458425,0.23176005871789424,0.25263157894736843,0.0173245614035088
clinc150,0.25,87,euclidean_mean,0.9232335573203012,0.5165800461524818,0.3614035087719298,0.0057017543859649,63.0,0.920892494929006,0.4866359455022254,0.3333333333333333,0.0043859649122807,63.0,0.002341062391295168,0.029944100650256378,0.028070175438596467,0.0013157894736841999
clinc150,0.25,87,euclidean_mean_std,0.9391545687446626,0.7158199971912693,0.6412280701754386,0.0353070175438596,63.0,0.920892494929006,0.4866359455022254,0.3333333333333333,0.0043859649122807,63.0,0.018262073815656588,0.22918405168904393,0.3078947368421053,0.030921052631578898
clinc150,0.25,87,mahalanobis_diag_mean,0.920892494929006,0.4866359455022254,0.3333333333333333,0.0043859649122807,63.0,0.920892494929006,0.4866359455022254,0.3333333333333333,0.0043859649122807,63.0,0.0,0.0,0.0,0.0
clinc150,0.25,87,mahalanobis_diag_mean_std,0.939911448450348,0.693603729332261,0.5894736842105264,0.0223684210526315,63.0,0.920892494929006,0.4866359455022254,0.3333333333333333,0.0043859649122807,63.0,0.019018953521341975,0.2069677838300356,0.25614035087719306,0.0179824561403508
clinc150,0.25,100,euclidean_mean,0.9265110590153908,0.5427412747637941,0.3807017543859649,0.0032894736842105,67.0,0.9215487532941417,0.4871604710235894,0.3333333333333333,0.0030701754385964,67.0,0.004962305721249116,0.05558080374020469,0.04736842105263156,0.00021929824561409995
clinc150,0.25,100,euclidean_mean_std,0.9507012324691884,0.7610828480453322,0.668421052631579,0.018859649122807,67.0,0.9215487532941417,0.4871604710235894,0.3333333333333333,0.0030701754385964,67.0,0.02915247917504671,0.2739223770217428,0.3350877192982457,0.0157894736842106
clinc150,0.25,100,mahalanobis_diag_mean,0.9215487532941417,0.4871604710235894,0.3333333333333333,0.0030701754385964,67.0,0.9215487532941417,0.4871604710235894,0.3333333333333333,0.0030701754385964,67.0,0.0,0.0,0.0,0.0
clinc150,0.25,100,mahalanobis_diag_mean_std,0.9469035853222584,0.7197737523748331,0.6070175438596491,0.0125,67.0,0.9215487532941417,0.4871604710235894,0.3333333333333333,0.0030701754385964,67.0,0.025354832028116725,0.2326132813512437,0.2736842105263158,0.0094298245614036
