dataset,method,gold_type,score_bin,sample_count,failure_rate,class_mass_rate,method_label
clinc150,S2C-partition-MOGB-boundary,OOS,>=2.0,276,0.0,0.016,S2C partition + MOGB boundary
stackoverflow,MOGB-MiniLM,Known,0.6–0.8,128,0.0,0.008533333333333334,MOGB-MiniLM
stackoverflow,MOGB-MiniLM,Known,0.8–1.0,3936,0.0,0.2624,MOGB-MiniLM
stackoverflow,MOGB-MiniLM,Known,1.0–1.2,7548,1.0,0.5032,MOGB-MiniLM
stackoverflow,MOGB-MiniLM,Known,1.2–1.4,3017,1.0,0.20113333333333333,MOGB-MiniLM
stackoverflow,MOGB-MiniLM,Known,1.4–1.6,349,1.0,0.023266666666666668,MOGB-MiniLM
stackoverflow,MOGB-MiniLM,Known,1.6–2.0,22,1.0,0.0014666666666666667,MOGB-MiniLM
stackoverflow,MOGB-MiniLM,OOS,0.8–1.0,119,1.0,0.007933333333333334,MOGB-MiniLM
stackoverflow,MOGB-MiniLM,OOS,1.0–1.2,3211,0.0,0.21406666666666666,MOGB-MiniLM
stackoverflow,MOGB-MiniLM,OOS,1.2–1.4,10287,0.0,0.6858,MOGB-MiniLM
stackoverflow,MOGB-MiniLM,OOS,1.4–1.6,1327,0.0,0.08846666666666667,MOGB-MiniLM
stackoverflow,MOGB-MiniLM,OOS,1.6–2.0,56,0.0,0.0037333333333333333,MOGB-MiniLM
stackoverflow,MOGB-partition-S2C-boundary,Known,0.4–0.6,4,0.0,0.0002666666666666667,MOGB partition + S2C boundary
stackoverflow,MOGB-partition-S2C-boundary,Known,0.6–0.8,547,0.0,0.03646666666666667,MOGB partition + S2C boundary
stackoverflow,MOGB-partition-S2C-boundary,Known,0.8–1.0,7007,0.0,0.46713333333333334,MOGB partition + S2C boundary
stackoverflow,MOGB-partition-S2C-boundary,Known,1.0–1.2,5376,1.0,0.3584,MOGB partition + S2C boundary
stackoverflow,MOGB-partition-S2C-boundary,Known,1.2–1.4,2066,1.0,0.13773333333333335,MOGB partition + S2C boundary
stackoverflow,MOGB-partition-S2C-boundary,OOS,0.6–0.8,12,1.0,0.0008,MOGB partition + S2C boundary
stackoverflow,MOGB-partition-S2C-boundary,OOS,0.8–1.0,267,1.0,0.0178,MOGB partition + S2C boundary
stackoverflow,MOGB-partition-S2C-boundary,OOS,1.0–1.2,6083,0.0,0.40553333333333336,MOGB partition + S2C boundary
stackoverflow,MOGB-partition-S2C-boundary,OOS,1.2–1.4,8638,0.0,0.5758666666666666,MOGB partition + S2C boundary
stackoverflow,S2C-Frozen-K1,Known,0.6–0.8,1683,0.0,0.1122,Frozen K=1
stackoverflow,S2C-Frozen-K1,Known,0.8–1.0,11389,0.0,0.7592666666666666,Frozen K=1
stackoverflow,S2C-Frozen-K1,Known,1.0–1.2,1928,1.0,0.12853333333333333,Frozen K=1
stackoverflow,S2C-Frozen-K1,OOS,0.6–0.8,25,1.0,0.0016666666666666668,Frozen K=1
stackoverflow,S2C-Frozen-K1,OOS,0.8–1.0,4431,1.0,0.2954,Frozen K=1
stackoverflow,S2C-Frozen-K1,OOS,1.0–1.2,10544,0.0,0.7029333333333333,Frozen K=1
stackoverflow,S2C-Frozen-K2,Known,0.6–0.8,1300,0.0,0.08666666666666667,Frozen K=2
stackoverflow,S2C-Frozen-K2,Known,0.8–1.0,11733,0.0,0.7822,Frozen K=2
stackoverflow,S2C-Frozen-K2,Known,1.0–1.2,1962,1.0,0.1308,Frozen K=2
stackoverflow,S2C-Frozen-K2,Known,1.2–1.4,5,1.0,0.0003333333333333333,Frozen K=2
stackoverflow,S2C-Frozen-K2,OOS,0.6–0.8,24,1.0,0.0016,Frozen K=2
stackoverflow,S2C-Frozen-K2,OOS,0.8–1.0,7051,1.0,0.4700666666666667,Frozen K=2
stackoverflow,S2C-Frozen-K2,OOS,1.0–1.2,7924,0.0,0.5282666666666667,Frozen K=2
stackoverflow,S2C-Frozen-K2,OOS,1.2–1.4,1,0.0,6.666666666666667e-05,Frozen K=2
stackoverflow,S2C-Trainable-K1,Known,<0.4,4,0.0,0.0002666666666666667,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,Known,0.4–0.6,1140,0.0,0.076,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,Known,0.6–0.8,7595,0.0,0.5063333333333333,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,Known,0.8–1.0,3845,0.0,0.25633333333333336,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,Known,1.0–1.2,1651,1.0,0.11006666666666666,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,Known,1.2–1.4,714,1.0,0.0476,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,Known,1.4–1.6,51,1.0,0.0034,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,OOS,0.4–0.6,10,1.0,0.0006666666666666666,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,OOS,0.6–0.8,218,1.0,0.014533333333333334,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,OOS,0.8–1.0,1173,1.0,0.0782,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,OOS,1.0–1.2,6580,0.0,0.43866666666666665,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,OOS,1.2–1.4,6135,0.0,0.409,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,OOS,1.4–1.6,871,0.0,0.05806666666666667,S2C Trainable K=1
stackoverflow,S2C-Trainable-K1,OOS,1.6–2.0,13,0.0,0.0008666666666666666,S2C Trainable K=1
stackoverflow,S2C-partition-MOGB-boundary,Known,0.6–0.8,141,0.0,0.0094,S2C partition + MOGB boundary
stackoverflow,S2C-partition-MOGB-boundary,Known,0.8–1.0,8033,0.0,0.5355333333333333,S2C partition + MOGB boundary
stackoverflow,S2C-partition-MOGB-boundary,Known,1.0–1.2,6651,1.0,0.4434,S2C partition + MOGB boundary
stackoverflow,S2C-partition-MOGB-boundary,Known,1.2–1.4,174,1.0,0.0116,S2C partition + MOGB boundary
stackoverflow,S2C-partition-MOGB-boundary,Known,1.4–1.6,1,1.0,6.666666666666667e-05,S2C partition + MOGB boundary
stackoverflow,S2C-partition-MOGB-boundary,OOS,0.6–0.8,3,1.0,0.0002,S2C partition + MOGB boundary
stackoverflow,S2C-partition-MOGB-boundary,OOS,0.8–1.0,2351,1.0,0.15673333333333334,S2C partition + MOGB boundary
stackoverflow,S2C-partition-MOGB-boundary,OOS,1.0–1.2,12164,0.0,0.8109333333333333,S2C partition + MOGB boundary
stackoverflow,S2C-partition-MOGB-boundary,OOS,1.2–1.4,482,0.0,0.03213333333333333,S2C partition + MOGB boundary
