dataset,seed,intent,train_count,two_mode_inertia_ratio,frozen_known_correct_rate,trainable_known_correct_rate,mogb_known_correct_rate,trainable_minus_mogb_known_gap_pp
banking77,42,visa_or_mastercard,121,1.1883020691837671,0.775,0.775,0.425,35.0
banking77,42,why_verify_identity,109,1.190707222639974,0.95,0.95,0.425,52.49999999999999
banking77,42,wrong_exchange_rate_for_cash_withdrawal,147,1.228010565825094,0.675,0.7,0.3,40.0
stackoverflow,42,ajax,600,1.0529095292702162,0.7066666666666667,0.7966666666666666,0.2866666666666667,51.0
stackoverflow,42,apache,600,1.0827083403854831,0.69,0.82,0.25333333333333335,56.666666666666664
stackoverflow,42,cocoa,600,1.0515322896907595,0.6933333333333334,0.78,0.3,48.00000000000001
stackoverflow,42,excel,600,1.05406825973899,0.8,0.8466666666666667,0.22333333333333333,62.33333333333333
stackoverflow,42,linq,600,1.0476189247510754,0.72,0.8466666666666667,0.4033333333333333,44.333333333333336
stackoverflow,42,oracle,600,1.0389798062130202,0.7733333333333333,0.8066666666666666,0.26,54.666666666666664
stackoverflow,42,sharepoint,600,1.0319281133586444,0.8333333333333334,0.84,0.0,84.0
stackoverflow,42,spring,600,1.0367179354132094,0.82,0.8633333333333333,0.4,46.33333333333333
stackoverflow,42,svn,600,1.055911246744923,0.6966666666666667,0.8366666666666667,0.41333333333333333,42.333333333333336
stackoverflow,42,visual-studio,600,1.0336658081701469,0.6266666666666667,0.79,0.25,54.0
