dataset,seed,method,gold_type,state,count,score_median,score_q25,score_q75,margin_median,margin_q25,margin_q75
banking77,42,trainable_k1,Known,Known rejected,274,1.0983508656984031,1.0501747520541134,1.1802695059269794,0.12503460524757648,0.016612633051719228,0.25492680119095723
banking77,42,trainable_k1,Known,Known wrong intent,40,0.885872366249201,0.7621162528383862,0.9476736413157644,-0.07695091213779265,-0.15492991350077312,-0.02911029968001483
banking77,42,trainable_k1,OOS,OOS accepted,228,0.9327313011249826,0.8661732773157363,0.9709984880539625,0.20697551615776932,0.11625170624498743,0.30395649660475266
banking77,42,trainable_k1,OOS,OOS rejected,1332,1.181598638195859,1.1099887397663988,1.2885128667745027,0.07546133960699641,0.02655862692912253,0.1427863816495738
banking77,42,mogb,Known,Known correct,465,0.8631184277548013,0.7868063786769426,0.9301110893965473,0.6998584187681086,0.6155616306381014,0.8083840186538503
banking77,42,mogb,Known,Known rejected,1054,1.3125391158884392,1.142324207508421,1.5447172729736192,0.24832503750336743,-0.039897303498168946,0.4431660297841015
banking77,42,mogb,Known,Known wrong intent,1,0.9405293743762378,0.9405293743762378,0.9405293743762378,-0.39757457800526674,-0.39757457800526674,-0.39757457800526674
banking77,42,mogb,OOS,OOS accepted,13,0.9465645935300881,0.8956398324585068,0.9661956867806717,0.49968092482747606,0.2205688930140045,0.593723521624252
banking77,42,mogb,OOS,OOS rejected,1547,1.642764502295821,1.4508730136971564,1.8155283793025778,0.15486918725447252,-0.0638342807177299,0.3759375751803221
banking77,87,trainable_k1,Known,Known correct,1217,0.778848398942615,0.6778324742442569,0.8702192273357796,0.4516422974183474,0.3480038650131536,0.5754913863848999
banking77,87,trainable_k1,Known,Known rejected,273,1.1259254170741015,1.0511653516271513,1.2126855978016369,0.13501438333593296,0.017108611049374778,0.28620525035453004
banking77,87,trainable_k1,Known,Known wrong intent,30,0.8199865300338676,0.7703251252051502,0.9046081835470874,-0.12818786279823569,-0.23293918606439382,-0.08043090030230723
banking77,87,trainable_k1,OOS,OOS accepted,190,0.934341928009045,0.884270527262927,0.9688309525006326,0.25517809717075646,0.19111372807955815,0.3593335900602064
banking77,87,trainable_k1,OOS,OOS rejected,1370,1.2203216559628698,1.1261243171769189,1.3262854526967347,0.08332697933249467,0.024722885329966027,0.15506115036638174
banking77,87,mogb,Known,Known correct,540,0.8711411020558165,0.7895873495486677,0.9323507818010869,0.7126625114340662,0.5984256777446886,0.8286296279833807
banking77,87,mogb,Known,Known rejected,978,1.2966424720682967,1.1441422303622053,1.5290583158952233,0.2170475359118499,-0.09901395176147137,0.4289631781896592
banking77,87,mogb,Known,Known wrong intent,2,0.9563448560762629,0.9383827828543434,0.9743069292981823,-0.8376703046331917,-0.9781316279463304,-0.6972089813200529
banking77,87,mogb,OOS,OOS accepted,7,0.8894825880333549,0.8416838496745562,0.9222897045796014,0.6407029898460164,0.353265952926979,0.7453800464592137
banking77,87,mogb,OOS,OOS rejected,1553,1.5822489294842057,1.424845524142192,1.7634453141392061,0.1207823729026174,-0.11970429376249903,0.42075045733435457
stackoverflow,13,trainable_k1,Known,Known correct,2497,0.7122163581045785,0.646397999119781,0.7904419033963522,0.532551238316592,0.4300353825856068,0.626396699433797
stackoverflow,13,trainable_k1,Known,Known rejected,472,1.1554373795989545,1.085673106842721,1.2390294987978225,0.04148671858881137,-0.13083980860535022,0.16043629684662603
stackoverflow,13,trainable_k1,Known,Known wrong intent,31,0.8773321483260212,0.7647640715072582,0.9327842639115785,-0.15377038471511517,-0.31409668638760807,-0.07453247930925272
stackoverflow,13,trainable_k1,OOS,OOS accepted,399,0.9214345773277784,0.8488461519120916,0.9628311942449611,0.3638918659482596,0.22520054311139776,0.5127703520523719
stackoverflow,13,trainable_k1,OOS,OOS rejected,2601,1.1876014689035093,1.111449019146353,1.2659778275450069,0.11294673339328676,0.0499109131810791,0.1837941293052694
stackoverflow,13,mogb,Known,Known correct,865,0.9461298031678137,0.9006573458058512,0.9785064228935605,0.29926200763774646,0.263802922423084,0.3419573625025125
stackoverflow,13,mogb,Known,Known rejected,2131,1.1085954028862206,1.0514547950313635,1.1977530207825635,0.14024192975547844,0.026481598490579072,0.19894690273086657
stackoverflow,13,mogb,Known,Known wrong intent,4,0.9723743590390443,0.9125666972177912,0.9914105910426857,-0.22805038530008664,-0.3506574710646594,-0.10503927402920468
stackoverflow,13,mogb,OOS,OOS accepted,32,0.9701517442641201,0.9408021516917807,0.9882333103611347,0.062265498648782946,-2.503187090066583e-05,0.08643302619647594
stackoverflow,13,mogb,OOS,OOS rejected,2968,1.2519620098350444,1.1962046462373603,1.3152844222810214,0.0362879464131608,-0.03275316089064595,0.09564325192132189
stackoverflow,42,trainable_k1,Known,Known correct,2468,0.728494480329472,0.6686913509847652,0.8039418380118011,0.4908353561614483,0.40023379779835866,0.573210033397695
stackoverflow,42,trainable_k1,Known,Known rejected,495,1.1291348983427028,1.0649795672975553,1.2049437827813594,0.016632402094905352,-0.10812559732005012,0.1405347687794658
stackoverflow,42,trainable_k1,Known,Known wrong intent,37,0.9299018988412223,0.8373622339490588,0.9662366179394862,-0.20029077680809027,-0.25702188560353434,-0.05343814347008358
stackoverflow,42,trainable_k1,OOS,OOS accepted,279,0.9393531605317651,0.8674454470201172,0.9810711275169175,0.2585339045568503,0.1749907316248095,0.40418866608012405
stackoverflow,42,trainable_k1,OOS,OOS rejected,2721,1.2150746213831527,1.1247877733646785,1.3124287686528975,0.10650957969311792,0.05032379224485961,0.18422031635730063
stackoverflow,42,mogb,Known,Known correct,837,0.9495903819042204,0.9088630401738583,0.9781239384219399,0.3377440767374774,0.296888130228941,0.3849826682254608
stackoverflow,42,mogb,Known,Known rejected,2156,1.121375672160697,1.0540573917482798,1.23514807560213,0.1660053551328089,0.01466836166680019,0.24364213959471176
stackoverflow,42,mogb,Known,Known wrong intent,7,0.974394972849186,0.9653184983093885,0.987125826732682,-0.39333586658686204,-0.41110084726624796,-0.2740405912432034
stackoverflow,42,mogb,OOS,OOS accepted,26,0.9508861320056363,0.9042315943213861,0.9709043707857669,0.10203556504403632,0.06749582134269555,0.3387123299785719
stackoverflow,42,mogb,OOS,OOS rejected,2974,1.285052301806789,1.2328234027318936,1.3329436604520526,0.03796472745010615,-0.0026011350641376163,0.08397625933325914
stackoverflow,87,trainable_k1,Known,Known correct,2486,0.7128917512438235,0.6394627378312003,0.7898220862538275,0.49581869511318577,0.388678786353043,0.6271195431835228
stackoverflow,87,trainable_k1,Known,Known rejected,480,1.1682253854484557,1.0945910437807482,1.267343369159371,0.02616147511511735,-0.12528351568905916,0.1590219028657242
stackoverflow,87,trainable_k1,Known,Known wrong intent,34,0.7955474903689144,0.7524546483203176,0.904318555933749,-0.1299260571491977,-0.33745326058219294,-0.05977706966845936
stackoverflow,87,trainable_k1,OOS,OOS accepted,325,0.9185100838104568,0.8540697853376584,0.9643149309553741,0.43045630545111935,0.2556140509795911,0.5208816123573672
stackoverflow,87,trainable_k1,OOS,OOS rejected,2675,1.236009825923521,1.1503395254698265,1.3290208134295403,0.09567321562437536,0.0380519067210896,0.17166568173033414
stackoverflow,87,mogb,Known,Known correct,835,0.9463984706978439,0.9039627637790577,0.9760717965024671,0.3026711482934895,0.25890890187601967,0.35077314359885364
stackoverflow,87,mogb,Known,Known rejected,2162,1.1036281897991127,1.0505994975741793,1.1797158748676255,0.14675657578921408,0.062397458975390896,0.2045049693908152
stackoverflow,87,mogb,Known,Known wrong intent,3,0.9077792974390025,0.8584563487232655,0.9526289878539402,-0.24706366913341282,-0.2902919964017071,-0.22490758683593381
stackoverflow,87,mogb,OOS,OOS accepted,25,0.9681331395019978,0.9422422988370026,0.9885383847374013,0.08773462112717545,0.04809177640601314,0.14012779975226486
stackoverflow,87,mogb,OOS,OOS rejected,2975,1.2222899472649915,1.1703790600166648,1.2790021904849405,0.03395220296594803,-0.02458475894506562,0.09197556880581859
