dataset,seed,gold_type,baseline,s2c_state,baseline_state,count,rate_within_gold_type
banking77,42,Known,mogb,Known wrong intent,Known rejected,39,0.025657894736842105
banking77,42,Known,mogb,Known rejected,Known correct,5,0.003289473684210526
banking77,42,Known,mogb,Known wrong intent,Known wrong intent,1,0.0006578947368421052
banking77,42,OOS,mogb,OOS rejected,OOS rejected,1331,0.8532051282051282
banking77,42,OOS,mogb,OOS accepted,OOS rejected,216,0.13846153846153847
banking77,42,OOS,mogb,OOS accepted,OOS accepted,12,0.007692307692307693
banking77,42,OOS,mogb,OOS rejected,OOS accepted,1,0.000641025641025641
banking77,42,Known,msp,Known correct,Known correct,1192,0.7842105263157895
banking77,42,Known,msp,Known rejected,Known correct,186,0.12236842105263158
banking77,42,Known,msp,Known rejected,Known rejected,76,0.05
banking77,42,Known,msp,Known wrong intent,Known wrong intent,23,0.015131578947368421
banking77,42,Known,msp,Known rejected,Known wrong intent,12,0.007894736842105263
banking77,42,Known,msp,Known correct,Known rejected,11,0.007236842105263158
banking77,42,Known,msp,Known wrong intent,Known rejected,10,0.006578947368421052
banking77,42,Known,msp,Known wrong intent,Known correct,7,0.004605263157894736
banking77,42,Known,msp,Known correct,Known wrong intent,3,0.001973684210526316
banking77,42,OOS,msp,OOS rejected,OOS rejected,910,0.5833333333333334
banking77,42,OOS,msp,OOS rejected,OOS accepted,422,0.2705128205128205
banking77,42,OOS,msp,OOS accepted,OOS accepted,197,0.12628205128205128
banking77,42,OOS,msp,OOS accepted,OOS rejected,31,0.01987179487179487
banking77,42,Known,energy,Known correct,Known correct,1189,0.7822368421052631
banking77,42,Known,energy,Known rejected,Known correct,157,0.10328947368421053
banking77,42,Known,energy,Known rejected,Known rejected,93,0.06118421052631579
banking77,42,Known,energy,Known wrong intent,Known wrong intent,25,0.01644736842105263
banking77,42,Known,energy,Known rejected,Known wrong intent,24,0.015789473684210527
banking77,42,Known,energy,Known wrong intent,Known correct,13,0.008552631578947369
banking77,42,Known,energy,Known correct,Known rejected,13,0.008552631578947369
banking77,42,Known,energy,Known correct,Known wrong intent,4,0.002631578947368421
banking77,42,Known,energy,Known wrong intent,Known rejected,2,0.0013157894736842105
banking77,42,OOS,energy,OOS rejected,OOS rejected,874,0.5602564102564103
banking77,42,OOS,energy,OOS rejected,OOS accepted,458,0.2935897435897436
banking77,42,OOS,energy,OOS accepted,OOS accepted,211,0.13525641025641025
banking77,42,OOS,energy,OOS accepted,OOS rejected,17,0.010897435897435897
banking77,42,Known,knn,Known correct,Known correct,1191,0.7835526315789474
banking77,42,Known,knn,Known rejected,Known correct,182,0.11973684210526316
banking77,42,Known,knn,Known rejected,Known rejected,67,0.04407894736842105
banking77,42,Known,knn,Known rejected,Known wrong intent,25,0.01644736842105263
banking77,42,Known,knn,Known wrong intent,Known wrong intent,21,0.01381578947368421
banking77,42,Known,knn,Known wrong intent,Known correct,19,0.0125
banking77,42,Known,knn,Known correct,Known wrong intent,12,0.007894736842105263
banking77,42,Known,knn,Known correct,Known rejected,3,0.001973684210526316
banking77,42,OOS,knn,OOS rejected,OOS rejected,839,0.5378205128205128
banking77,42,OOS,knn,OOS rejected,OOS accepted,493,0.316025641025641
banking77,42,OOS,knn,OOS accepted,OOS accepted,225,0.14423076923076922
banking77,42,OOS,knn,OOS accepted,OOS rejected,3,0.0019230769230769232
banking77,42,Known,lof,Known correct,Known correct,1178,0.775
banking77,42,Known,lof,Known rejected,Known correct,183,0.12039473684210526
banking77,42,Known,lof,Known rejected,Known rejected,62,0.04078947368421053
banking77,42,Known,lof,Known rejected,Known wrong intent,29,0.019078947368421053
banking77,42,Known,lof,Known wrong intent,Known wrong intent,21,0.01381578947368421
banking77,42,Known,lof,Known wrong intent,Known correct,19,0.0125
banking77,42,Known,lof,Known correct,Known rejected,16,0.010526315789473684
banking77,42,Known,lof,Known correct,Known wrong intent,12,0.007894736842105263
banking77,42,OOS,lof,OOS rejected,OOS accepted,735,0.47115384615384615
banking77,42,OOS,lof,OOS rejected,OOS rejected,597,0.38269230769230766
banking77,42,OOS,lof,OOS accepted,OOS accepted,210,0.1346153846153846
banking77,42,OOS,lof,OOS accepted,OOS rejected,18,0.011538461538461539
banking77,87,Known,frozen_k1,Known correct,Known correct,1158,0.7618421052631579
banking77,87,Known,frozen_k1,Known rejected,Known rejected,212,0.1394736842105263
banking77,87,Known,frozen_k1,Known rejected,Known correct,48,0.031578947368421054
banking77,87,Known,frozen_k1,Known correct,Known rejected,42,0.02763157894736842
banking77,87,Known,frozen_k1,Known wrong intent,Known wrong intent,27,0.017763157894736842
banking77,87,Known,frozen_k1,Known correct,Known wrong intent,17,0.01118421052631579
banking77,87,Known,frozen_k1,Known rejected,Known wrong intent,13,0.008552631578947369
banking77,87,Known,frozen_k1,Known wrong intent,Known rejected,2,0.0013157894736842105
banking77,87,Known,frozen_k1,Known wrong intent,Known correct,1,0.0006578947368421052
banking77,87,OOS,frozen_k1,OOS rejected,OOS rejected,1222,0.7833333333333333
banking77,87,OOS,frozen_k1,OOS accepted,OOS accepted,165,0.10576923076923077
banking77,87,OOS,frozen_k1,OOS rejected,OOS accepted,148,0.09487179487179487
banking77,87,OOS,frozen_k1,OOS accepted,OOS rejected,25,0.016025641025641024
banking77,87,Known,k2,Known correct,Known correct,1131,0.7440789473684211
banking77,87,Known,k2,Known rejected,Known rejected,190,0.125
banking77,87,Known,k2,Known correct,Known rejected,77,0.0506578947368421
banking77,87,Known,k2,Known rejected,Known correct,65,0.04276315789473684
banking77,87,Known,k2,Known wrong intent,Known wrong intent,26,0.017105263157894738
banking77,87,Known,k2,Known rejected,Known wrong intent,18,0.011842105263157895
banking77,87,Known,k2,Known correct,Known wrong intent,9,0.0059210526315789476
banking77,87,Known,k2,Known wrong intent,Known correct,4,0.002631578947368421
banking77,87,OOS,k2,OOS rejected,OOS rejected,1074,0.6884615384615385
banking77,87,OOS,k2,OOS rejected,OOS accepted,296,0.18974358974358974
banking77,87,OOS,k2,OOS accepted,OOS accepted,148,0.09487179487179487
banking77,87,OOS,k2,OOS accepted,OOS rejected,42,0.026923076923076925
banking77,87,Known,mogb,Known correct,Known rejected,681,0.44802631578947366
banking77,87,Known,mogb,Known correct,Known correct,536,0.3526315789473684
banking77,87,Known,mogb,Known rejected,Known rejected,269,0.1769736842105263
banking77,87,Known,mogb,Known wrong intent,Known rejected,28,0.018421052631578946
banking77,87,Known,mogb,Known rejected,Known correct,4,0.002631578947368421
banking77,87,Known,mogb,Known wrong intent,Known wrong intent,2,0.0013157894736842105
banking77,87,OOS,mogb,OOS rejected,OOS rejected,1370,0.8782051282051282
banking77,87,OOS,mogb,OOS accepted,OOS rejected,183,0.11730769230769231
banking77,87,OOS,mogb,OOS accepted,OOS accepted,7,0.004487179487179487
banking77,87,Known,msp,Known correct,Known correct,1205,0.7927631578947368
banking77,87,Known,msp,Known rejected,Known correct,175,0.11513157894736842
banking77,87,Known,msp,Known rejected,Known rejected,85,0.05592105263157895
banking77,87,Known,msp,Known wrong intent,Known wrong intent,21,0.01381578947368421
banking77,87,Known,msp,Known rejected,Known wrong intent,13,0.008552631578947369
banking77,87,Known,msp,Known correct,Known rejected,8,0.005263157894736842
banking77,87,Known,msp,Known wrong intent,Known correct,7,0.004605263157894736
banking77,87,Known,msp,Known correct,Known wrong intent,4,0.002631578947368421
banking77,87,Known,msp,Known wrong intent,Known rejected,2,0.0013157894736842105
banking77,87,OOS,msp,OOS rejected,OOS rejected,929,0.5955128205128205
banking77,87,OOS,msp,OOS rejected,OOS accepted,441,0.2826923076923077
banking77,87,OOS,msp,OOS accepted,OOS accepted,181,0.11602564102564103
banking77,87,OOS,msp,OOS accepted,OOS rejected,9,0.0057692307692307696
banking77,87,Known,energy,Known correct,Known correct,1194,0.7855263157894737
banking77,87,Known,energy,Known rejected,Known correct,166,0.10921052631578948
banking77,87,Known,energy,Known rejected,Known rejected,87,0.057236842105263155
banking77,87,Known,energy,Known wrong intent,Known wrong intent,22,0.014473684210526316
banking77,87,Known,energy,Known rejected,Known wrong intent,20,0.013157894736842105
banking77,87,Known,energy,Known correct,Known rejected,18,0.011842105263157895
banking77,87,Known,energy,Known wrong intent,Known correct,8,0.005263157894736842
banking77,87,Known,energy,Known correct,Known wrong intent,5,0.003289473684210526
banking77,87,OOS,energy,OOS rejected,OOS rejected,870,0.5576923076923077
banking77,87,OOS,energy,OOS rejected,OOS accepted,500,0.32051282051282054
banking77,87,OOS,energy,OOS accepted,OOS accepted,177,0.11346153846153846
banking77,87,OOS,energy,OOS accepted,OOS rejected,13,0.008333333333333333
banking77,87,Known,knn,Known correct,Known correct,1200,0.7894736842105263
banking77,87,Known,knn,Known rejected,Known correct,178,0.11710526315789474
banking77,87,Known,knn,Known rejected,Known rejected,76,0.05
banking77,87,Known,knn,Known rejected,Known wrong intent,19,0.0125
banking77,87,Known,knn,Known wrong intent,Known wrong intent,17,0.01118421052631579
banking77,87,Known,knn,Known wrong intent,Known correct,13,0.008552631578947369
banking77,87,Known,knn,Known correct,Known wrong intent,11,0.007236842105263158
banking77,87,Known,knn,Known correct,Known rejected,6,0.003947368421052632
banking77,87,OOS,knn,OOS rejected,OOS rejected,839,0.5378205128205128
banking77,87,OOS,knn,OOS rejected,OOS accepted,531,0.3403846153846154
banking77,87,OOS,knn,OOS accepted,OOS accepted,187,0.11987179487179488
banking77,87,OOS,knn,OOS accepted,OOS rejected,3,0.0019230769230769232
banking77,87,Known,lof,Known correct,Known correct,1195,0.7861842105263158
banking77,87,Known,lof,Known rejected,Known correct,178,0.11710526315789474
banking77,87,Known,lof,Known rejected,Known rejected,75,0.049342105263157895
banking77,87,Known,lof,Known rejected,Known wrong intent,20,0.013157894736842105
banking77,87,Known,lof,Known wrong intent,Known wrong intent,17,0.01118421052631579
banking77,87,Known,lof,Known correct,Known rejected,13,0.008552631578947369
banking77,87,Known,lof,Known wrong intent,Known correct,13,0.008552631578947369
banking77,87,Known,lof,Known correct,Known wrong intent,9,0.0059210526315789476
banking77,87,OOS,lof,OOS rejected,OOS rejected,714,0.4576923076923077
banking77,87,OOS,lof,OOS rejected,OOS accepted,656,0.4205128205128205
banking77,87,OOS,lof,OOS accepted,OOS accepted,168,0.1076923076923077
banking77,87,OOS,lof,OOS accepted,OOS rejected,22,0.014102564102564103
stackoverflow,13,Known,frozen_k1,Known correct,Known correct,2259,0.753
stackoverflow,13,Known,frozen_k1,Known rejected,Known rejected,325,0.10833333333333334
stackoverflow,13,Known,frozen_k1,Known correct,Known rejected,164,0.05466666666666667
stackoverflow,13,Known,frozen_k1,Known rejected,Known wrong intent,95,0.03166666666666667
stackoverflow,13,Known,frozen_k1,Known correct,Known wrong intent,74,0.024666666666666667
stackoverflow,13,Known,frozen_k1,Known rejected,Known correct,52,0.017333333333333333
stackoverflow,13,Known,frozen_k1,Known wrong intent,Known wrong intent,19,0.006333333333333333
stackoverflow,13,Known,frozen_k1,Known wrong intent,Known correct,7,0.0023333333333333335
stackoverflow,13,Known,frozen_k1,Known wrong intent,Known rejected,5,0.0016666666666666668
stackoverflow,13,OOS,frozen_k1,OOS rejected,OOS rejected,1842,0.614
stackoverflow,13,OOS,frozen_k1,OOS rejected,OOS accepted,759,0.253
stackoverflow,13,OOS,frozen_k1,OOS accepted,OOS accepted,282,0.094
stackoverflow,13,OOS,frozen_k1,OOS accepted,OOS rejected,117,0.039
stackoverflow,13,Known,k2,Known correct,Known correct,2328,0.776
stackoverflow,13,Known,k2,Known rejected,Known rejected,198,0.066
stackoverflow,13,Known,k2,Known rejected,Known correct,163,0.05433333333333333
stackoverflow,13,Known,k2,Known correct,Known rejected,149,0.049666666666666665
stackoverflow,13,Known,k2,Known rejected,Known wrong intent,111,0.037
stackoverflow,13,Known,k2,Known correct,Known wrong intent,20,0.006666666666666667
stackoverflow,13,Known,k2,Known wrong intent,Known wrong intent,17,0.005666666666666667
stackoverflow,13,Known,k2,Known wrong intent,Known rejected,8,0.0026666666666666666
stackoverflow,13,Known,k2,Known wrong intent,Known correct,6,0.002
stackoverflow,13,OOS,k2,OOS rejected,OOS rejected,1307,0.43566666666666665
stackoverflow,13,OOS,k2,OOS rejected,OOS accepted,1294,0.43133333333333335
stackoverflow,13,OOS,k2,OOS accepted,OOS accepted,326,0.10866666666666666
stackoverflow,13,OOS,k2,OOS accepted,OOS rejected,73,0.024333333333333332
stackoverflow,13,Known,mogb,Known correct,Known rejected,1631,0.5436666666666666
stackoverflow,13,Known,mogb,Known correct,Known correct,864,0.288
stackoverflow,13,Known,mogb,Known rejected,Known rejected,471,0.157
stackoverflow,13,Known,mogb,Known wrong intent,Known rejected,29,0.009666666666666667
stackoverflow,13,Known,mogb,Known correct,Known wrong intent,2,0.0006666666666666666
stackoverflow,13,Known,mogb,Known rejected,Known wrong intent,1,0.0003333333333333333
stackoverflow,13,Known,mogb,Known wrong intent,Known correct,1,0.0003333333333333333
stackoverflow,13,Known,mogb,Known wrong intent,Known wrong intent,1,0.0003333333333333333
stackoverflow,13,OOS,mogb,OOS rejected,OOS rejected,2600,0.8666666666666667
stackoverflow,13,OOS,mogb,OOS accepted,OOS rejected,368,0.12266666666666666
stackoverflow,13,OOS,mogb,OOS accepted,OOS accepted,31,0.010333333333333333
stackoverflow,13,OOS,mogb,OOS rejected,OOS accepted,1,0.0003333333333333333
stackoverflow,13,Known,msp,Known correct,Known correct,2496,0.832
stackoverflow,13,Known,msp,Known rejected,Known correct,276,0.092
stackoverflow,13,Known,msp,Known rejected,Known rejected,118,0.03933333333333333
stackoverflow,13,Known,msp,Known rejected,Known wrong intent,78,0.026
stackoverflow,13,Known,msp,Known wrong intent,Known wrong intent,27,0.009
stackoverflow,13,Known,msp,Known wrong intent,Known correct,4,0.0013333333333333333
stackoverflow,13,Known,msp,Known correct,Known wrong intent,1,0.0003333333333333333
stackoverflow,13,OOS,msp,OOS rejected,OOS accepted,1797,0.599
stackoverflow,13,OOS,msp,OOS rejected,OOS rejected,804,0.268
stackoverflow,13,OOS,msp,OOS accepted,OOS accepted,395,0.13166666666666665
stackoverflow,13,OOS,msp,OOS accepted,OOS rejected,4,0.0013333333333333333
stackoverflow,13,Known,energy,Known correct,Known correct,2496,0.832
stackoverflow,13,Known,energy,Known rejected,Known correct,263,0.08766666666666667
stackoverflow,13,Known,energy,Known rejected,Known rejected,127,0.042333333333333334
stackoverflow,13,Known,energy,Known rejected,Known wrong intent,82,0.027333333333333334
stackoverflow,13,Known,energy,Known wrong intent,Known wrong intent,27,0.009
stackoverflow,13,Known,energy,Known wrong intent,Known correct,4,0.0013333333333333333
stackoverflow,13,Known,energy,Known correct,Known wrong intent,1,0.0003333333333333333
stackoverflow,13,OOS,energy,OOS rejected,OOS accepted,1820,0.6066666666666667
stackoverflow,13,OOS,energy,OOS rejected,OOS rejected,781,0.26033333333333336
stackoverflow,13,OOS,energy,OOS accepted,OOS accepted,394,0.13133333333333333
stackoverflow,13,OOS,energy,OOS accepted,OOS rejected,5,0.0016666666666666668
stackoverflow,13,Known,knn,Known correct,Known correct,2491,0.8303333333333334
stackoverflow,13,Known,knn,Known rejected,Known correct,267,0.089
stackoverflow,13,Known,knn,Known rejected,Known rejected,136,0.04533333333333334
stackoverflow,13,Known,knn,Known rejected,Known wrong intent,69,0.023
stackoverflow,13,Known,knn,Known wrong intent,Known wrong intent,19,0.006333333333333333
stackoverflow,13,Known,knn,Known wrong intent,Known correct,12,0.004
stackoverflow,13,Known,knn,Known correct,Known wrong intent,6,0.002
stackoverflow,13,OOS,knn,OOS rejected,OOS rejected,1331,0.44366666666666665
stackoverflow,13,OOS,knn,OOS rejected,OOS accepted,1270,0.42333333333333334
stackoverflow,13,OOS,knn,OOS accepted,OOS accepted,399,0.133
stackoverflow,13,Known,lof,Known correct,Known correct,2488,0.8293333333333334
stackoverflow,13,Known,lof,Known rejected,Known correct,253,0.08433333333333333
stackoverflow,13,Known,lof,Known rejected,Known rejected,140,0.04666666666666667
stackoverflow,13,Known,lof,Known rejected,Known wrong intent,79,0.026333333333333334
stackoverflow,13,Known,lof,Known wrong intent,Known wrong intent,19,0.006333333333333333
stackoverflow,13,Known,lof,Known wrong intent,Known correct,12,0.004
stackoverflow,13,Known,lof,Known correct,Known wrong intent,6,0.002
stackoverflow,13,Known,lof,Known correct,Known rejected,3,0.001
stackoverflow,13,OOS,lof,OOS rejected,OOS accepted,1431,0.477
stackoverflow,13,OOS,lof,OOS rejected,OOS rejected,1170,0.39
stackoverflow,13,OOS,lof,OOS accepted,OOS accepted,398,0.13266666666666665
stackoverflow,13,OOS,lof,OOS accepted,OOS rejected,1,0.0003333333333333333
stackoverflow,42,Known,frozen_k1,Known correct,Known correct,2159,0.7196666666666667
stackoverflow,42,Known,frozen_k1,Known rejected,Known rejected,306,0.102
stackoverflow,42,Known,frozen_k1,Known correct,Known rejected,170,0.056666666666666664
stackoverflow,42,Known,frozen_k1,Known rejected,Known wrong intent,146,0.048666666666666664
stackoverflow,42,Known,frozen_k1,Known correct,Known wrong intent,139,0.04633333333333333
stackoverflow,42,Known,frozen_k1,Known rejected,Known correct,43,0.014333333333333333
stackoverflow,42,Known,frozen_k1,Known wrong intent,Known wrong intent,21,0.007
stackoverflow,42,Known,frozen_k1,Known wrong intent,Known rejected,10,0.0033333333333333335
stackoverflow,42,Known,frozen_k1,Known wrong intent,Known correct,6,0.002
stackoverflow,42,OOS,frozen_k1,OOS rejected,OOS rejected,2299,0.7663333333333333
stackoverflow,42,OOS,frozen_k1,OOS rejected,OOS accepted,422,0.14066666666666666
stackoverflow,42,OOS,frozen_k1,OOS accepted,OOS accepted,157,0.052333333333333336
stackoverflow,42,OOS,frozen_k1,OOS accepted,OOS rejected,122,0.04066666666666666
stackoverflow,42,Known,k2,Known correct,Known correct,2251,0.7503333333333333
stackoverflow,42,Known,k2,Known rejected,Known rejected,196,0.06533333333333333
stackoverflow,42,Known,k2,Known correct,Known rejected,187,0.06233333333333333
stackoverflow,42,Known,k2,Known rejected,Known correct,160,0.05333333333333334
stackoverflow,42,Known,k2,Known rejected,Known wrong intent,139,0.04633333333333333
stackoverflow,42,Known,k2,Known correct,Known wrong intent,30,0.01
stackoverflow,42,Known,k2,Known wrong intent,Known wrong intent,20,0.006666666666666667
stackoverflow,42,Known,k2,Known wrong intent,Known rejected,10,0.0033333333333333335
stackoverflow,42,Known,k2,Known wrong intent,Known correct,7,0.0023333333333333335
stackoverflow,42,OOS,k2,OOS rejected,OOS rejected,1556,0.5186666666666667
stackoverflow,42,OOS,k2,OOS rejected,OOS accepted,1165,0.3883333333333333
stackoverflow,42,OOS,k2,OOS accepted,OOS accepted,247,0.08233333333333333
stackoverflow,42,OOS,k2,OOS accepted,OOS rejected,32,0.010666666666666666
stackoverflow,42,Known,mogb,Known correct,Known rejected,1630,0.5433333333333333
stackoverflow,42,Known,mogb,Known correct,Known correct,836,0.2786666666666667
stackoverflow,42,Known,mogb,Known rejected,Known rejected,495,0.165
stackoverflow,42,Known,mogb,Known wrong intent,Known rejected,31,0.010333333333333333
stackoverflow,42,Known,mogb,Known wrong intent,Known wrong intent,5,0.0016666666666666668
stackoverflow,42,Known,mogb,Known correct,Known wrong intent,2,0.0006666666666666666
stackoverflow,42,Known,mogb,Known wrong intent,Known correct,1,0.0003333333333333333
stackoverflow,42,OOS,mogb,OOS rejected,OOS rejected,2721,0.907
stackoverflow,42,OOS,mogb,OOS accepted,OOS rejected,253,0.08433333333333333
stackoverflow,42,OOS,mogb,OOS accepted,OOS accepted,26,0.008666666666666666
stackoverflow,42,Known,msp,Known correct,Known correct,2461,0.8203333333333334
stackoverflow,42,Known,msp,Known rejected,Known correct,277,0.09233333333333334
stackoverflow,42,Known,msp,Known rejected,Known rejected,142,0.04733333333333333
stackoverflow,42,Known,msp,Known rejected,Known wrong intent,76,0.025333333333333333
stackoverflow,42,Known,msp,Known wrong intent,Known wrong intent,30,0.01
stackoverflow,42,Known,msp,Known wrong intent,Known correct,7,0.0023333333333333335
stackoverflow,42,Known,msp,Known correct,Known wrong intent,5,0.0016666666666666668
stackoverflow,42,Known,msp,Known correct,Known rejected,2,0.0006666666666666666
stackoverflow,42,OOS,msp,OOS rejected,OOS accepted,1647,0.549
stackoverflow,42,OOS,msp,OOS rejected,OOS rejected,1074,0.358
stackoverflow,42,OOS,msp,OOS accepted,OOS accepted,272,0.09066666666666667
stackoverflow,42,OOS,msp,OOS accepted,OOS rejected,7,0.0023333333333333335
stackoverflow,42,Known,energy,Known correct,Known correct,2462,0.8206666666666667
stackoverflow,42,Known,energy,Known rejected,Known correct,280,0.09333333333333334
stackoverflow,42,Known,energy,Known rejected,Known rejected,120,0.04
stackoverflow,42,Known,energy,Known rejected,Known wrong intent,95,0.03166666666666667
stackoverflow,42,Known,energy,Known wrong intent,Known wrong intent,29,0.009666666666666667
stackoverflow,42,Known,energy,Known wrong intent,Known correct,7,0.0023333333333333335
stackoverflow,42,Known,energy,Known correct,Known wrong intent,5,0.0016666666666666668
stackoverflow,42,Known,energy,Known correct,Known rejected,1,0.0003333333333333333
stackoverflow,42,Known,energy,Known wrong intent,Known rejected,1,0.0003333333333333333
stackoverflow,42,OOS,energy,OOS rejected,OOS accepted,1786,0.5953333333333334
stackoverflow,42,OOS,energy,OOS rejected,OOS rejected,935,0.31166666666666665
stackoverflow,42,OOS,energy,OOS accepted,OOS accepted,273,0.091
stackoverflow,42,OOS,energy,OOS accepted,OOS rejected,6,0.002
stackoverflow,42,Known,knn,Known correct,Known correct,2452,0.8173333333333334
stackoverflow,42,Known,knn,Known rejected,Known correct,279,0.093
stackoverflow,42,Known,knn,Known rejected,Known rejected,117,0.039
stackoverflow,42,Known,knn,Known rejected,Known wrong intent,99,0.033
stackoverflow,42,Known,knn,Known wrong intent,Known wrong intent,23,0.007666666666666666
stackoverflow,42,Known,knn,Known correct,Known wrong intent,16,0.005333333333333333
stackoverflow,42,Known,knn,Known wrong intent,Known correct,14,0.004666666666666667
stackoverflow,42,OOS,knn,OOS rejected,OOS rejected,1826,0.6086666666666667
stackoverflow,42,OOS,knn,OOS rejected,OOS accepted,895,0.29833333333333334
stackoverflow,42,OOS,knn,OOS accepted,OOS accepted,279,0.093
stackoverflow,42,Known,lof,Known correct,Known correct,2452,0.8173333333333334
stackoverflow,42,Known,lof,Known rejected,Known correct,253,0.08433333333333333
stackoverflow,42,Known,lof,Known rejected,Known rejected,142,0.04733333333333333
stackoverflow,42,Known,lof,Known rejected,Known wrong intent,100,0.03333333333333333
stackoverflow,42,Known,lof,Known wrong intent,Known wrong intent,22,0.007333333333333333
stackoverflow,42,Known,lof,Known correct,Known wrong intent,16,0.005333333333333333
stackoverflow,42,Known,lof,Known wrong intent,Known correct,14,0.004666666666666667
stackoverflow,42,Known,lof,Known wrong intent,Known rejected,1,0.0003333333333333333
stackoverflow,42,OOS,lof,OOS rejected,OOS rejected,1554,0.518
stackoverflow,42,OOS,lof,OOS rejected,OOS accepted,1167,0.389
stackoverflow,42,OOS,lof,OOS accepted,OOS accepted,274,0.09133333333333334
stackoverflow,42,OOS,lof,OOS accepted,OOS rejected,5,0.0016666666666666668
stackoverflow,87,Known,frozen_k1,Known correct,Known correct,2351,0.7836666666666666
stackoverflow,87,Known,frozen_k1,Known rejected,Known rejected,378,0.126
stackoverflow,87,Known,frozen_k1,Known correct,Known rejected,103,0.034333333333333334
stackoverflow,87,Known,frozen_k1,Known rejected,Known correct,61,0.02033333333333333
stackoverflow,87,Known,frozen_k1,Known rejected,Known wrong intent,41,0.013666666666666667
stackoverflow,87,Known,frozen_k1,Known correct,Known wrong intent,32,0.010666666666666666
stackoverflow,87,Known,frozen_k1,Known wrong intent,Known wrong intent,24,0.008
stackoverflow,87,Known,frozen_k1,Known wrong intent,Known correct,5,0.0016666666666666668
stackoverflow,87,Known,frozen_k1,Known wrong intent,Known rejected,5,0.0016666666666666668
stackoverflow,87,OOS,frozen_k1,OOS rejected,OOS rejected,2141,0.7136666666666667
stackoverflow,87,OOS,frozen_k1,OOS rejected,OOS accepted,534,0.178
stackoverflow,87,OOS,frozen_k1,OOS accepted,OOS accepted,235,0.07833333333333334
stackoverflow,87,OOS,frozen_k1,OOS accepted,OOS rejected,90,0.03
stackoverflow,87,Known,k2,Known correct,Known correct,2337,0.779
stackoverflow,87,Known,k2,Known rejected,Known rejected,249,0.083
stackoverflow,87,Known,k2,Known rejected,Known correct,148,0.04933333333333333
stackoverflow,87,Known,k2,Known correct,Known rejected,135,0.045
stackoverflow,87,Known,k2,Known rejected,Known wrong intent,83,0.027666666666666666
stackoverflow,87,Known,k2,Known wrong intent,Known wrong intent,22,0.007333333333333333
stackoverflow,87,Known,k2,Known correct,Known wrong intent,14,0.004666666666666667
stackoverflow,87,Known,k2,Known wrong intent,Known correct,9,0.003
stackoverflow,87,Known,k2,Known wrong intent,Known rejected,3,0.001
stackoverflow,87,OOS,k2,OOS rejected,OOS rejected,1607,0.5356666666666666
stackoverflow,87,OOS,k2,OOS rejected,OOS accepted,1068,0.356
stackoverflow,87,OOS,k2,OOS accepted,OOS accepted,282,0.094
stackoverflow,87,OOS,k2,OOS accepted,OOS rejected,43,0.014333333333333333
stackoverflow,87,Known,mogb,Known correct,Known rejected,1653,0.551
stackoverflow,87,Known,mogb,Known correct,Known correct,833,0.2776666666666667
stackoverflow,87,Known,mogb,Known rejected,Known rejected,478,0.15933333333333333
stackoverflow,87,Known,mogb,Known wrong intent,Known rejected,31,0.010333333333333333
stackoverflow,87,Known,mogb,Known wrong intent,Known wrong intent,3,0.001
stackoverflow,87,Known,mogb,Known rejected,Known correct,2,0.0006666666666666666
stackoverflow,87,OOS,mogb,OOS rejected,OOS rejected,2674,0.8913333333333333
stackoverflow,87,OOS,mogb,OOS accepted,OOS rejected,301,0.10033333333333333
stackoverflow,87,OOS,mogb,OOS accepted,OOS accepted,24,0.008
stackoverflow,87,OOS,mogb,OOS rejected,OOS accepted,1,0.0003333333333333333
stackoverflow,87,Known,msp,Known correct,Known correct,2484,0.828
stackoverflow,87,Known,msp,Known rejected,Known correct,285,0.095
stackoverflow,87,Known,msp,Known rejected,Known rejected,133,0.044333333333333336
stackoverflow,87,Known,msp,Known rejected,Known wrong intent,62,0.020666666666666667
stackoverflow,87,Known,msp,Known wrong intent,Known wrong intent,25,0.008333333333333333
stackoverflow,87,Known,msp,Known wrong intent,Known correct,8,0.0026666666666666666
stackoverflow,87,Known,msp,Known correct,Known wrong intent,2,0.0006666666666666666
stackoverflow,87,Known,msp,Known wrong intent,Known rejected,1,0.0003333333333333333
stackoverflow,87,OOS,msp,OOS rejected,OOS accepted,1790,0.5966666666666667
stackoverflow,87,OOS,msp,OOS rejected,OOS rejected,885,0.295
stackoverflow,87,OOS,msp,OOS accepted,OOS accepted,313,0.10433333333333333
stackoverflow,87,OOS,msp,OOS accepted,OOS rejected,12,0.004
stackoverflow,87,Known,energy,Known correct,Known correct,2482,0.8273333333333334
stackoverflow,87,Known,energy,Known rejected,Known correct,271,0.09033333333333333
stackoverflow,87,Known,energy,Known rejected,Known rejected,140,0.04666666666666667
stackoverflow,87,Known,energy,Known rejected,Known wrong intent,69,0.023
stackoverflow,87,Known,energy,Known wrong intent,Known wrong intent,25,0.008333333333333333
stackoverflow,87,Known,energy,Known wrong intent,Known correct,9,0.003
stackoverflow,87,Known,energy,Known correct,Known wrong intent,2,0.0006666666666666666
stackoverflow,87,Known,energy,Known correct,Known rejected,2,0.0006666666666666666
stackoverflow,87,OOS,energy,OOS rejected,OOS accepted,1839,0.613
stackoverflow,87,OOS,energy,OOS rejected,OOS rejected,836,0.2786666666666667
stackoverflow,87,OOS,energy,OOS accepted,OOS accepted,317,0.10566666666666667
