dataset,seed,comparison,gold_type,transition,count,rate_within_gold_type,mean_embedding_movement_norm,median_embedding_movement_norm,mean_delta_score,mean_delta_distance,mean_delta_radius
stackoverflow,13,trainable_vs_frozen,OOS,both_wrong,282,0.094,0.6700770251490994,0.6708389701547427,-0.06718440057236687,0.8320985605819933,2.5440493916701676
stackoverflow,13,trainable_vs_frozen,OOS,trainable_only_correct,759,0.253,0.6235844275553877,0.6225548469048642,0.16743824407371685,6.700832988765556,2.9120930884736587
stackoverflow,13,trainable_vs_mogb,Known,baseline_only_correct,1,0.0003333333333333333,0.6251267692185228,0.6251267692185228,0.09202507772692992,2.901052704597914,1.1351141388669745
stackoverflow,13,trainable_vs_mogb,Known,both_correct,864,0.288,0.6077946338617382,0.6027318217156373,-0.167814108298721,-2.06009454191106,2.4217113263232317
stackoverflow,13,trainable_vs_mogb,Known,both_wrong,502,0.16733333333333333,0.6141253934720873,0.6141980257024979,0.141213309702427,6.52820797416765,3.2182299368947374
stackoverflow,13,trainable_vs_mogb,Known,trainable_only_correct,1633,0.5443333333333333,0.6796277868007654,0.666216713439835,-0.15776581847511287,-1.2896564873033936,2.644224550744525
stackoverflow,13,trainable_vs_mogb,OOS,baseline_only_correct,368,0.12266666666666666,0.6971604298575235,0.6999129441177327,-0.06608012784068498,1.1471457149317867,2.740061948267162
stackoverflow,13,trainable_vs_mogb,OOS,both_correct,2600,0.8666666666666667,0.6057524951543624,0.6052955345700464,0.17671058801092432,7.164173364810603,3.0396645149759838
stackoverflow,13,trainable_vs_mogb,OOS,both_wrong,31,0.010333333333333333,0.6275016873886134,0.6307002113676597,-0.12622937325562145,-1.0423452156115247,2.33850103319187
stackoverflow,13,trainable_vs_mogb,OOS,trainable_only_correct,1,0.0003333333333333333,0.6425426028283634,0.6425426028283634,0.11622081678961793,5.264363632159789,2.8432850991752154
stackoverflow,42,trainable_vs_frozen,Known,baseline_only_correct,49,0.01633333333333333,0.5832668126590993,0.5989013117908576,0.1155895839405963,5.091969194117816,2.5237387501779573
stackoverflow,42,trainable_vs_frozen,Known,both_correct,2159,0.7196666666666667,0.6380919477319503,0.6286080758383379,-0.14675796376545794,-1.51107943377233,2.2072171700534247
stackoverflow,42,trainable_vs_frozen,Known,both_wrong,483,0.161,0.5970521677233254,0.5961787589684153,0.12442924671862332,6.042982996629689,3.144066484428354
stackoverflow,42,trainable_vs_frozen,Known,trainable_only_correct,309,0.103,0.6822076153892965,0.6641825511091674,-0.1343724372207547,0.27185284671469123,3.436024318189805
stackoverflow,42,trainable_vs_frozen,OOS,baseline_only_correct,122,0.04066666666666666,0.6892203338882162,0.6787352442434771,-0.059551329770145815,2.039725565077993,3.3630786096777614
stackoverflow,42,trainable_vs_frozen,OOS,both_correct,2299,0.7663333333333333,0.5643844703090176,0.5617753905764338,0.20971828541149373,7.923563680696476,2.999330231410138
