dataset,seed,source_center_id,source_intent,source_boundary,radial_level,method,direction_count,acceptance_rate,score_median
clinc150,13,14,car_rental,frozen_k2,1.01,frozen_k2,24,0.0,1.01
clinc150,13,14,car_rental,frozen_k2,1.01,mogb,24,0.0,1.1193282152399595
clinc150,13,14,car_rental,frozen_k2,1.15,frozen_k1,24,0.0,3.786373028825783
clinc150,13,14,car_rental,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,14,car_rental,frozen_k2,1.15,mogb,24,0.0,1.267538947491108
clinc150,13,14,car_rental,frozen_k2,1.35,frozen_k1,24,0.0,4.440784881333766
clinc150,13,14,car_rental,frozen_k2,1.35,frozen_k2,24,0.0,1.35
clinc150,13,14,car_rental,frozen_k2,1.35,mogb,24,0.0,1.480435914243583
clinc150,13,15,car_rental,frozen_k2,0.75,frozen_k1,24,0.0,2.4486462137187166
clinc150,13,15,car_rental,frozen_k2,0.75,frozen_k2,24,1.0,0.7499999999999999
clinc150,13,15,car_rental,frozen_k2,0.75,mogb,24,1.0,0.8984761049890702
clinc150,13,15,car_rental,frozen_k2,0.9,frozen_k1,24,0.0,2.9348116860122784
clinc150,13,15,car_rental,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,15,car_rental,frozen_k2,0.9,mogb,24,0.0,1.0492924897393385
clinc150,13,15,car_rental,frozen_k2,0.99,frozen_k1,24,0.0,3.226759132404061
clinc150,13,15,car_rental,frozen_k2,0.99,frozen_k2,24,1.0,0.99
clinc150,13,15,car_rental,frozen_k2,0.99,mogb,24,0.0,1.14278590854706
clinc150,13,15,car_rental,frozen_k2,1.01,frozen_k1,24,0.0,3.291655143843937
clinc150,13,15,car_rental,frozen_k2,1.01,frozen_k2,24,0.0,1.0100000000000002
clinc150,13,15,car_rental,frozen_k2,1.01,mogb,24,0.0,1.1633966419517838
clinc150,13,15,car_rental,frozen_k2,1.15,frozen_k1,24,0.0,3.7460771980771446
clinc150,13,15,car_rental,frozen_k2,1.15,frozen_k2,24,0.0,1.15
clinc150,13,15,car_rental,frozen_k2,1.15,mogb,24,0.0,1.316368596998767
clinc150,13,15,car_rental,frozen_k2,1.35,frozen_k1,24,0.0,4.395585789738693
clinc150,13,15,car_rental,frozen_k2,1.35,frozen_k2,24,0.0,1.35
clinc150,13,15,car_rental,frozen_k2,1.35,mogb,24,0.0,1.5839770680006686
clinc150,13,16,card_declined,frozen_k2,0.75,frozen_k1,24,0.041666666666666664,2.376697550311355
clinc150,13,16,card_declined,frozen_k2,0.75,frozen_k2,24,1.0,0.7499999999999999
clinc150,13,16,card_declined,frozen_k2,0.75,mogb,24,0.0,1.118153474463134
clinc150,13,16,card_declined,frozen_k2,0.9,frozen_k1,24,0.0,2.8420171563488417
clinc150,13,16,card_declined,frozen_k2,0.9,frozen_k2,24,1.0,0.9
clinc150,13,16,card_declined,frozen_k2,0.9,mogb,24,0.0,1.297484829438444
clinc150,13,16,card_declined,frozen_k2,0.99,frozen_k1,24,0.0,3.121751436815248
