dataset,kir,variant,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.5,select_095,reference,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_100,reference,oos_f1,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_100,reference,f1_all,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_100,reference,id_recall,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_100,reference,false_accept_rate,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_100,reference,false_reject_rate,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,select_100,reference,effective_cluster_count,5,0.0,0.0,0.0,0.0,0.0,0,5,0,nan,1.0,0.0
clinc150,0.5,min_get_10,reference,oos_f1,5,0.0011362633648416497,0.000749193863198161,0.0008714087139153013,0.0004703549874182533,0.0018129203909136526,5,0,0,0.043429974725937216,0.0625,1.3039384925775388
clinc150,0.5,min_get_10,reference,f1_all,5,0.008260019525748586,0.0064001820747626725,0.004990877008365278,0.004739162679575614,0.012546809213399767,5,0,0,0.020821842770098863,0.0625,1.6550236585481575
clinc150,0.5,min_get_10,reference,id_recall,5,0.005066666666666686,0.004444444444444473,0.004451106118597032,0.0016888888888889398,0.008711111111111114,4,0,1,0.06362171443143579,0.125,1.1382938379064473
clinc150,0.5,min_get_10,reference,false_accept_rate,5,-5.7971014492753586e-05,0.0005797101449275359,0.0012021125422218967,-0.0011014492753623185,0.0008115942028985506,3,0,2,0.9193207410538924,1.0,-0.04822428221704119
clinc150,0.5,min_get_10,reference,false_reject_rate,5,-0.005066666666666686,-0.004444444444444473,0.004451106118597032,-0.008711111111111114,-0.0016888888888889398,1,0,4,0.06362171443143579,0.125,-1.1382938379064473
clinc150,0.5,min_get_10,reference,effective_cluster_count,5,3.0,2.0,3.4641016151377544,0.4,5.8,3,2,0,0.12487982574290814,0.25,0.8660254037844387
clinc150,0.5,min_get_20,reference,oos_f1,5,0.001571448930678554,0.0014808895052428328,0.0014964106990020872,0.0004145948285379397,0.0027951261231537127,4,0,1,0.07867018857089332,0.125,1.0501454792634854
