dataset,kir,component,n_seeds,mean_oos_f1,std_oos_f1,mean_f1_all,std_f1_all,mean_id_recall,std_id_recall,mean_false_accept_rate,std_false_accept_rate,mean_false_reject_rate,std_false_reject_rate
banking77,0.75,mahalanobis_diag_mean_std,5,0.5313316683894659,0.005918725520325329,0.5860713489392462,0.023848313965377732,0.45862068965517244,0.024356308956183896,0.04052631578947368,0.01930223244304447,0.5413793103448276,0.024356308956183896
clinc150,0.25,euclidean_mean,5,0.9238361040438378,0.002953427786593938,0.5224035964713533,0.032761230904904334,0.37105263157894736,0.02669320009597006,0.006578947368421052,0.00217647294312272,0.6289473684210527,0.02669320009597006
clinc150,0.25,euclidean_mean_std,5,0.9436326807582848,0.005310729051824136,0.7380475306719918,0.028637691708179924,0.6601754385964913,0.033128409799704966,0.030833333333333334,0.007174438548249614,0.3398245614035088,0.033128409799704946
clinc150,0.25,mahalanobis_diag_mean,5,0.9199555090496478,0.0028252728347433797,0.47425988769849514,0.03602418827574281,0.3275438596491228,0.028516193366005433,0.005043859649122807,0.0015506727657599727,0.6724561403508772,0.028516193366005433
clinc150,0.25,mahalanobis_diag_mean_std,5,0.9413139384002536,0.004982739043636005,0.7016229766010627,0.034783684884718016,0.6017543859649124,0.04404784186583785,0.02236842105263158,0.006138392544858949,0.39824561403508774,0.04404784186583785
clinc150,0.5,euclidean_mean,5,0.8131951016346013,0.0029937394053626528,0.44953800389890197,0.017795263450771044,0.3157333333333333,0.013693649965685416,0.009043478260869566,0.0015255301295003792,0.6842666666666666,0.013693649965685416
clinc150,0.5,euclidean_mean_std,5,0.8676835206897643,0.004208014953633079,0.7030255934576071,0.01617997634383556,0.6036444444444444,0.015777464785627866,0.035652173913043476,0.003845362075774377,0.39635555555555557,0.015777464785627894
clinc150,0.5,mahalanobis_diag_mean,5,0.8069911983389402,0.0031636230614300043,0.40733427876929273,0.016819739385673823,0.2793777777777778,0.014286659580717554,0.005681159420289855,0.0010165610386521843,0.7206222222222223,0.014286659580717554
clinc150,0.5,mahalanobis_diag_mean_std,5,0.8555543863002324,0.004191319483426519,0.645981713026754,0.021726743482571444,0.5334222222222222,0.0189773093879227,0.024985507246376812,0.0032497394592867165,0.46657777777777776,0.018977309387922678
clinc150,0.75,euclidean_mean,5,0.6593154230507091,0.0041875520903020096,0.4179709109786165,0.015527783903498838,0.29196428571428573,0.012156927538988163,0.00829059829059829,0.0033595288900912044,0.7080357142857142,0.012156927538988163
