dataset,kir,variant,reference,metric,n_pairs,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,paired_t_p,wilcoxon_p,cohen_dz
clinc150,0.25,min_select_20,single,false_accept_rate,5,-0.05403508771929825,-0.05701754385964913,0.01256867867339094,-0.06324561403508772,-0.04324561403508772,0,0,5,0.0006545893545998941,0.0625,-4.299186026109137
clinc150,0.25,min_select_20,single,false_reject_rate,5,0.42666666666666664,0.42280701754385963,0.02615888898765843,0.407719298245614,0.44824561403508767,5,0,0,3.374116421068344e-06,0.0625,16.310580578095838
clinc150,0.25,min_select_20,single,effective_cluster_count,5,7.0,6.0,2.5495097567963922,5.2,9.2,5,0,0,0.0035685055818888258,0.0625,2.745625891934577
clinc150,0.25,default_mean_std,single,oos_f1,5,0.0015604296236177762,0.0029600506624780643,0.003204365041272654,-0.0012500089614269961,0.0038503300918682815,4,0,1,0.3374093918009573,0.3125,0.4869699935928748
clinc150,0.25,default_mean_std,single,f1_all,5,-0.04634239754100444,-0.05419790965756399,0.022150141323138584,-0.06335414950971234,-0.029330645572296542,0,0,5,0.009459752078211965,0.0625,-2.092194215149049
clinc150,0.25,default_mean_std,single,id_recall,5,-0.11929824561403504,-0.1210526315789473,0.0312790339117113,-0.14421052631578943,-0.09438596491228064,0,0,5,0.001037274934062793,0.0625,-3.8140003284873876
clinc150,0.25,default_mean_std,single,false_accept_rate,5,-0.02951754385964912,-0.028728070175438596,0.007359735377868969,-0.03543859649122807,-0.023991228070175438,0,0,5,0.0008554042801951123,0.0625,-4.010680050862916
clinc150,0.25,default_mean_std,single,false_reject_rate,5,0.11929824561403508,0.12105263157894736,0.03127903391171128,0.09438596491228071,0.14421052631578946,5,0,0,0.0010372749340627893,0.0625,3.8140003284873916
clinc150,0.25,default_mean_std,single,effective_cluster_count,5,28.8,28.0,6.180614856144977,24.8,34.2,5,0,0,0.00047924668549872236,0.0625,4.65973057217213
clinc150,0.25,default_mahalanobis_mean,single,oos_f1,5,-0.02211674208501919,-0.022077831454570984,0.006693338904868644,-0.027775885265199963,-0.01757308073420518,0,0,5,0.001789121346265756,0.0625,-3.3042913857136047
clinc150,0.25,default_mahalanobis_mean,single,f1_all,5,-0.31013004051450105,-0.2922205489061725,0.033202054560581166,-0.3394204546697895,-0.2865633373638409,0,0,5,3.105187430807349e-05,0.0625,-9.34068823809175
clinc150,0.25,default_mahalanobis_mean,single,id_recall,5,-0.4519298245614035,-0.45614035087719296,0.023062002421270145,-0.4701754385964912,-0.4336842105263158,0,0,5,1.6218432500217997e-06,0.0625,-19.59629594629595
clinc150,0.25,default_mahalanobis_mean,single,false_accept_rate,5,-0.05530701754385965,-0.05964912280701755,0.012819478436857094,-0.06429824561403509,-0.043991228070175435,0,0,5,0.000645780199251814,0.0625,-4.31429545408394
clinc150,0.25,default_mahalanobis_mean,single,false_reject_rate,5,0.4519298245614035,0.45614035087719296,0.023062002421270166,0.4336842105263158,0.4701754385964912,5,0,0,1.6218432500218054e-06,0.0625,19.596295946295932
clinc150,0.25,default_mahalanobis_mean,single,effective_cluster_count,5,28.8,28.0,6.180614856144977,24.8,34.2,5,0,0,0.00047924668549872236,0.0625,4.65973057217213
clinc150,0.5,get_085,single,oos_f1,5,-0.0784123505287948,-0.07706528747672303,0.0036098415741222497,-0.0812255881226811,-0.07564020227488175,0,0,5,1.0749782414258768e-06,0.0625,-21.721825991175567
clinc150,0.5,get_085,single,f1_all,5,-0.3786746371271984,-0.3791956413642133,0.01686862189579063,-0.3927304217718288,-0.3662210388253361,0,0,5,9.425764384785994e-07,0.0625,-22.44846315641779
clinc150,0.5,get_085,single,id_recall,5,-0.47964444444444443,-0.48177777777777775,0.006436009805945152,-0.48417777777777776,-0.47457777777777777,0,0,5,7.77850442684371e-09,0.0625,-74.52512642248948
clinc150,0.5,get_085,single,false_accept_rate,5,-0.07814492753623188,-0.07855072463768115,0.0054866127578603015,-0.08243478260869566,-0.07373913043478261,0,0,5,5.79396925755965e-06,0.0625,-14.242836333633878
clinc150,0.5,get_085,single,false_reject_rate,5,0.47964444444444443,0.48177777777777775,0.006436009805945152,0.47457777777777777,0.48417777777777776,5,0,0,7.77850442684371e-09,0.0625,74.52512642248948
clinc150,0.5,get_085,single,effective_cluster_count,5,34.8,32.0,5.540758070878027,30.8,39.6,5,0,0,0.00014915320162464272,0.0625,6.280729018454571
clinc150,0.5,get_090,single,oos_f1,5,-0.06575994500754183,-0.06377277872084453,0.004889960177189855,-0.06963113766613693,-0.06203160199176605,0,0,5,7.284363517020422e-06,0.0625,-13.447951031235702
clinc150,0.5,get_090,single,f1_all,5,-0.2965853702847582,-0.3004275681330149,0.019344220712025413,-0.31143408886145985,-0.28173665170805656,0,0,5,4.318748920368344e-06,0.0625,-15.331988540659314
clinc150,0.5,get_090,single,id_recall,5,-0.4205333333333333,-0.4244444444444444,0.012465854598229418,-0.4299555555555556,-0.4106666666666666,0,0,5,1.8509262556969963e-07,0.0625,-33.73481777920493
clinc150,0.5,get_090,single,false_accept_rate,5,-0.07739130434782607,-0.07855072463768115,0.0053249777017025605,-0.08110144927536231,-0.0731014492753623,0,0,5,5.345364209321398e-06,0.0625,-14.533639140513522
clinc150,0.5,get_090,single,false_reject_rate,5,0.4205333333333333,0.4244444444444444,0.012465854598229418,0.4106666666666666,0.4299555555555556,5,0,0,1.8509262556969963e-07,0.0625,33.73481777920493
clinc150,0.5,get_090,single,effective_cluster_count,5,57.2,58.0,11.903780911962384,48.2,66.4,5,0,0,0.0004253001301640419,0.0625,4.80519596446188
clinc150,0.5,get_095,single,oos_f1,5,-0.07184630877303155,-0.07057908988130324,0.004512648417430459,-0.0753691514432108,-0.06836281393089508,0,0,5,3.7156809547962275e-06,0.0625,-15.92109602323982
clinc150,0.5,get_095,single,f1_all,5,-0.33046616105426585,-0.32870546557085656,0.019349091197976922,-0.3452568414698131,-0.31489538212592205,0,0,5,2.807779603591885e-06,0.0625,-17.07915672488113
clinc150,0.5,get_095,single,id_recall,5,-0.4507555555555555,-0.4488888888888889,0.01008311141476032,-0.45813333333333334,-0.44320000000000004,0,0,5,6.005310325338921e-08,0.0625,-44.70401416924839
clinc150,0.5,get_095,single,false_accept_rate,5,-0.07866666666666666,-0.08028985507246376,0.004756626834720221,-0.08202898550724638,-0.07449275362318841,0,0,5,3.1924966099047043e-06,0.0625,-16.538330501869975
