dataset,kir,seed,workpoint,target_calibration_coverage,radius_multiplier,calibration_known_recall,selected_using_test_oos,selected_using_test_known,selected_split,selected_balls,mean_balls_per_intent,minimum_ball_size,fit_and_score_seconds,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,false_accept_rate,false_reject_rate,accuracy,f1_all,f1_k,f1_u
banking77,0.75,100,calibration_coverage_0.80,0.8,1.5432374296923776,0.7997275204359673,False,False,calibration_known,140,2.456140350877193,10,0.5949089140049182,0.4882226980728051,0.6,0.538370720188902,0.7939655172413793,0.6,0.7946920372050815,0.5009837538229381,0.5547413793103448,0.4,0.2060344827586206,0.6987012987012987,0.746542015620452,0.7501311758865132,0.538370720188902
banking77,0.75,100,calibration_coverage_0.85,0.85,1.6525670494966576,0.8501362397820164,False,False,calibration_known,140,2.456140350877193,10,0.6093528409837745,0.4984848484848485,0.4328947368421053,0.4633802816901408,0.8573275862068965,0.4328947368421053,0.7946920372050815,0.5009837538229381,0.5547413793103448,0.5671052631578948,0.1426724137931034,0.6847402597402598,0.7432851895496058,0.7481111362368379,0.4633802816901408
banking77,0.75,100,calibration_coverage_0.90,0.9,1.7472465778454396,0.8991825613079019,False,False,calibration_known,140,2.456140350877193,10,0.6233523070113733,0.5010799136069114,0.3052631578947368,0.3793949304987735,0.9004310344827586,0.3052631578947368,0.7946920372050815,0.5009837538229381,0.5547413793103448,0.6947368421052632,0.0995689655172413,0.6733766233766234,0.7413462873246572,0.7475868279595862,0.3793949304987735
banking77,0.75,100,calibration_coverage_0.95,0.95,1.9174406399906627,0.9495912806539508,False,False,calibration_known,140,2.456140350877193,10,0.6374166440218687,0.5420560747663551,0.1526315789473684,0.2381930184804928,0.9577586206896552,0.1526315789473684,0.7946920372050815,0.5009837538229381,0.5547413793103448,0.8473684210526315,0.0422413793103448,0.6545454545454545,0.7304674996036536,0.7389549906575013,0.2381930184804928
banking77,0.75,123,default_radius,,1.0,0.2560646900269542,False,False,paper_default_radius,147,2.534482758620689,10,0.6023969890084118,0.3127062706270627,0.9973684210526316,0.4761306532663316,0.2818965517241379,0.9973684210526316,0.8194243421052633,0.49228640796684,0.4512931034482759,0.0026315789473684,0.718103448275862,0.4577922077922078,0.4190987558031048,0.4181154472261526,0.4761306532663316
banking77,0.75,123,calibration_coverage_0.80,0.8,1.5813517191741877,0.7991913746630728,False,False,calibration_known,147,2.534482758620689,10,0.6163903099950403,0.5176470588235295,0.6368421052631579,0.5710914454277286,0.805603448275862,0.6368421052631579,0.8194243421052633,0.49228640796684,0.4512931034482759,0.3631578947368421,0.1943965517241379,0.6987012987012987,0.7371926853173886,0.7400564997982448,0.5710914454277286
banking77,0.75,123,calibration_coverage_0.85,0.85,1.6822318861189969,0.8490566037735849,False,False,calibration_known,147,2.534482758620689,10,0.6306999570224434,0.5208333333333334,0.4934210526315789,0.5067567567567568,0.8512931034482758,0.4934210526315789,0.8194243421052633,0.49228640796684,0.4512931034482759,0.506578947368421,0.1487068965517241,0.6840909090909091,0.7368109694879238,0.7407774214315646,0.5067567567567568
banking77,0.75,123,calibration_coverage_0.90,0.9,1.8251471598770723,0.898921832884097,False,False,calibration_known,147,2.534482758620689,10,0.6455995599972084,0.522673031026253,0.2881578947368421,0.371501272264631,0.9137931034482758,0.2881578947368421,0.8194243421052633,0.49228640796684,0.4512931034482759,0.7118421052631579,0.0862068965517241,0.6561688311688312,0.7249698975969807,0.7310641842406419,0.371501272264631
banking77,0.75,123,calibration_coverage_0.95,0.95,1.9909977987927576,0.9487870619946092,False,False,calibration_known,147,2.534482758620689,10,0.6593597939936444,0.5372549019607843,0.1802631578947368,0.2699507389162561,0.9491379310344829,0.1802631578947368,0.8194243421052633,0.49228640796684,0.4512931034482759,0.8197368421052632,0.0508620689655172,0.6431818181818182,0.7207687729973412,0.7285414977228771,0.2699507389162561
stackoverflow,0.25,13,default_radius,,1.0,0.332,False,False,paper_default_radius,39,7.8,10,0.4044037589919753,0.8154356235034076,0.9837777777777778,0.8917312921744385,0.3319999999999999,0.9837777777777778,0.8854228148148149,0.93695736395644,0.344,0.0162222222222222,0.668,0.8206666666666667,0.5471203003166764,0.4781981019451239,0.8917312921744385
