dataset,kir,seed,loss_variant,class_count,registered_known_class_count,missing_selected_class_count,missing_selected_classes,excluded_train_row_count,sample_count,selected_balls,temperature,mean_loss,mean_true_probability,median_true_probability,mean_probability_margin,nearest_class_accuracy,mean_gradient_l2,median_gradient_l2,mean_distance_span
clinc150,0.25,87,raw_tau_1.00,38,38,0,,0,1024,63,1.0,3.152286440946344,0.0432053362444494,0.0425887972845863,0.0110452328668261,0.9638671875,0.9697217390103076,0.9703267248982936,0.6451019361657568
clinc150,0.25,100,official_l1,38,38,0,,0,1024,67,,3.6261817925705673,0.0266177662261189,0.0266172353183751,0.0001732249430801,0.97265625,0.0225269278752434,0.0224939929895636,0.6508272513271061
clinc150,0.25,100,raw_tau_0.05,38,38,0,,0,1024,67,0.05,0.1314985835306756,0.9203981670707458,0.9913005480092728,0.8786742467362982,0.97265625,1.8697139021959948,0.2010520155488963,0.6508272513271061
clinc150,0.25,100,raw_tau_0.10,38,38,0,,0,1024,67,0.1,0.4673280963570841,0.6895347531800912,0.7430100382647601,0.6271582375485778,0.97265625,3.250407503259152,2.7206105838649632,0.6508272513271061
clinc150,0.25,100,raw_tau_0.20,38,38,0,,0,1024,67,0.2,1.4631105894063996,0.2625587414539456,0.2436197054714561,0.2012899254933248,0.97265625,3.7531593129237537,3.863165588965614,0.6508272513271061
clinc150,0.25,100,raw_tau_0.50,38,38,0,,0,1024,67,0.5,2.672899914319296,0.0714506204430531,0.0695764473820519,0.0318224004435958,0.97265625,1.8828434232007565,1.8865400131491443,0.6508272513271061
clinc150,0.25,100,raw_tau_1.00,38,38,0,,0,1024,67,1.0,3.145559034474364,0.0434414583111107,0.0431636769290545,0.0109798222328727,0.97265625,0.9694914479205176,0.969760633852566,0.6508272513271061
clinc150,0.25,123,official_l1,38,38,0,,0,1024,66,,3.626067481141464,0.0266207944537014,0.0266202259929434,0.0001842812720315,0.986328125,0.0226074736055942,0.0226072681918167,0.64947500727915
clinc150,0.25,123,raw_tau_0.05,38,38,0,,0,1024,66,0.05,0.0781618029923986,0.944232036869728,0.9934878625200808,0.9189353814501248,0.986328125,1.273601054229357,0.155656045677977,0.64947500727915
clinc150,0.25,123,raw_tau_0.10,38,38,0,,0,1024,66,0.1,0.4174087034744093,0.7089122002331862,0.7626386818082298,0.6587557089111543,0.986328125,3.020145074587464,2.465963523982942,0.64947500727915
clinc150,0.25,123,raw_tau_0.20,38,38,0,,0,1024,66,0.2,1.4362063458587642,0.2664451250470319,0.2504996650857692,0.2104201917283139,0.986328125,3.729583778615507,3.810241511144727,0.64947500727915
clinc150,0.25,123,raw_tau_0.50,38,38,0,,0,1024,66,0.5,2.66421923451802,0.0718648777766493,0.0701421886457374,0.0334467292590035,0.986328125,1.8818851559175425,1.8853558817365417,0.64947500727915
clinc150,0.25,123,raw_tau_1.00,38,38,0,,0,1024,66,1.0,3.141577294971541,0.0435792090280098,0.043332778038237,0.0115844865255494,0.986328125,0.969340653950784,0.9695940127187777,0.64947500727915
clinc150,0.5,13,official_l1,74,75,1,what_is_your_name,100,1024,126,,4.297974095889608,0.0135960962872004,0.0135962211667753,4.602087968038504e-05,0.9716796875,0.0113958269799039,0.0114056858620777,0.6942425049356399
clinc150,0.5,13,raw_tau_0.05,74,75,1,what_is_your_name,100,1024,126,0.05,0.161571860749099,0.909469476773812,0.9915043842968182,0.871069275044466,0.9716796875,2.051261572372523,0.1807525704157792,0.6942425049356399
clinc150,0.5,13,raw_tau_0.10,74,75,1,what_is_your_name,100,1024,126,0.1,0.6178309217809627,0.6242018954222668,0.6720160112082705,0.5764179525982172,0.9716796875,3.846857585015656,3.4027611805365794,0.6942425049356399
clinc150,0.5,13,raw_tau_0.20,74,75,1,what_is_your_name,100,1024,126,0.2,1.8924182647310093,0.1800808493258944,0.1565006824511987,0.1426524108056199,0.9716796875,4.135018447779958,4.2558352128894406,0.6942425049356399
clinc150,0.5,13,raw_tau_0.50,74,75,1,what_is_your_name,100,1024,126,0.5,3.267207085723228,0.0397414231139068,0.0382102726999158,0.0183525908125302,0.9716796875,1.9339970480301047,1.9371414079276368,0.6942425049356399
clinc150,0.5,13,raw_tau_1.00,74,75,1,what_is_your_name,100,1024,126,1.0,3.778674946672809,0.023104455143359,0.0228715959568175,0.0060440956214146,0.9716796875,0.9836068951533538,0.9838446208530816,0.6942425049356399
clinc150,0.5,42,official_l1,74,75,1,what_is_your_name,100,1024,129,,4.298148503115166,0.0135937289504574,0.0135945225659848,4.281786970799886e-05,0.9365234375,0.01147534540297,0.0114621834531961,0.6754053251130212
clinc150,0.5,42,raw_tau_0.05,74,75,1,what_is_your_name,100,1024,129,0.05,0.2684368209719698,0.8729753342279134,0.988686514330247,0.8146983961360075,0.9365234375,2.910823448274076,0.2536329931076857,0.6754053251130212
clinc150,0.5,42,raw_tau_0.10,74,75,1,what_is_your_name,100,1024,129,0.1,0.7306249466168281,0.5911376823850886,0.650437166708939,0.5349813839041959,0.9365234375,4.190458956950899,3.615914496397964,0.6754053251130212
