dataset,kir,component,metric,n_seeds,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
clinc150,0.75,euclidean_mean,auroc,5,0.08573850223850232,0.08379566035816033,0.011352187113983937,0.07709892653642665,0.094378077940578,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean,aupr_oos,5,0.1723783812327077,0.16792068704058394,0.011185474343608805,0.1653271098904579,0.18237940677199066,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean,oos_f1,5,0.06039685255607961,0.06250290094792432,0.01309872016583242,0.050234303119067555,0.07055940199309166,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean,f1_all,5,0.33566881966552153,0.35271439533850335,0.05135451336573523,0.29573926253931193,0.375598376791731,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean,f1_k,5,0.39072321308740987,0.40851321899030546,0.059467529573246705,0.3443915593780981,0.43484466091066387,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean,id_recall,5,0.5168,0.5186666666666666,0.050829562701684206,0.47519999999999996,0.5533333333333333,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean,false_accept_rate,5,0.029111111111111098,0.0268888888888889,0.0195018201113209,0.014800000000000002,0.04515555555555554,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean,false_reject_rate,5,-0.5168,-0.5186666666666667,0.050829562701684206,-0.5533333333333333,-0.47519999999999996,0,0,5,20260725,10000
stackoverflow,0.25,euclidean_mean,accuracy,5,0.10613333333333322,0.11083333333333323,0.020138892720306088,0.0903666666666666,0.12189999999999983,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean,auroc,5,0.08572314074074076,0.08778696296296296,0.028784441350142215,0.061646074074074145,0.10827890370370363,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean,aupr_oos,5,0.051694029768449855,0.05340209547467156,0.01972260576601509,0.03669710636908581,0.06809342433741208,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean,oos_f1,5,0.1475072375603531,0.14387130936946435,0.018587290515829465,0.1334273032998056,0.16178485494688588,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean,f1_all,5,0.43252738126445783,0.4109591319838143,0.04267434671428836,0.40388950554197417,0.46848621849235494,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean,f1_k,5,0.46102939563486844,0.43766791424524926,0.045460282765299787,0.4309357257661911,0.4997180917755819,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean,id_recall,5,0.5680000000000001,0.5606666666666666,0.024869660230891797,0.5546666666666669,0.5900666666666667,5,0,0,20260725,10000
