dataset,kir,method,representation,boundary_source,oos_f1,f1_all,f1_k,id_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,oos_f1_std,f1_all_std,f1_k_std,id_recall_std,false_accept_rate_std,false_reject_rate_std,accuracy_std,auroc_std,aupr_oos_std,n_seeds
stackoverflow,0.25,euclidean_mean_std,frozen_minilm,mogb_component,0.9231543087284908,0.7525788030288574,0.7184637018889307,0.6302666666666668,0.03706666666666662,0.3697333333333333,0.8789,0.8926677925925925,0.940782303724594,0.002883870689254316,0.03553754259986292,0.042617915796701135,0.061412268046919315,0.01784874723272696,0.061412268046919315,0.004953393898238936,0.017245927617138633,0.014863715717509496,5
stackoverflow,0.25,mahalanobis_diag_mean,frozen_minilm,mogb_component,0.8951528892121434,0.5301341432814476,0.45713039409530837,0.3152,0.00488888888888884,0.6848,0.8249666666666666,0.9093220740740741,0.9567025986169215,0.005191147201321049,0.0341268798739324,0.040058068816439904,0.03604133429519192,0.0038135560670512214,0.03604133429519195,0.009394442801760813,0.010710613889386463,0.010592126628786835,5
stackoverflow,0.25,mahalanobis_diag_mean_std,frozen_minilm,mogb_component,0.9259960799998362,0.7345093038010513,0.6962119485612942,0.5910666666666666,0.02031111111111104,0.4089333333333333,0.8820333333333334,0.9164517333333333,0.9603337045725686,0.005335538584498705,0.039075792620303265,0.046368889207575426,0.050757812753856456,0.012352437656162561,0.05075781275385648,0.008784772178162701,0.0075890878244445435,0.008414893655214238,5
stackoverflow,0.25,trainable_k1,trainable_minilm,s2c_k1,0.9547969095009252,0.8763726851882936,0.8606878403257671,0.8429333333333332,0.038488888888888836,0.15706666666666663,0.9304666666666666,0.9529569185185185,0.9772978254353099,0.0121014663289031,0.023711704285174266,0.026060341631193713,0.005899152481501032,0.0213913562790392,0.005899152481501042,0.017585663352730076,0.01608608413019217,0.00912857914228885,5
stackoverflow,0.5,euclidean_mean,frozen_minilm,mogb_component,0.729199427573284,0.43298039378929865,0.4033584904109001,0.2709333333333333,0.00793333333333328,0.7290666666666666,0.6305666666666667,0.8476909333333333,0.7865554428431313,0.006249432392941407,0.03399553971951928,0.036784448480959665,0.023698804470549447,0.0025755258362775845,0.023698804470549423,0.012082241329966738,0.03540406497216227,0.04414474605820934,5
stackoverflow,0.5,euclidean_mean_std,frozen_minilm,mogb_component,0.802062458068384,0.669068141743071,0.6557687101105397,0.5497333333333334,0.02953333333333328,0.45026666666666665,0.7571,0.8611158666666666,0.804349516450565,0.015451641099678951,0.058142690290184505,0.062463066241593056,0.05315355115135777,0.01118928058455948,0.053153551151357684,0.02456442775867397,0.03101008239579232,0.040620406227623244,5
stackoverflow,0.5,mahalanobis_diag_mean,frozen_minilm,mogb_component,0.7240646051396427,0.4070917032219306,0.37539441303015936,0.24820000000000003,0.00599999999999996,0.7518,0.6205333333333334,0.8619328444444445,0.812730075272689,0.006719222006602025,0.03481404817611358,0.0376526126835272,0.025880709246678527,0.0024494897427831917,0.02588070924667849,0.012876227018122266,0.036466717007599535,0.053776866559311735,5
stackoverflow,0.5,mahalanobis_diag_mean_std,frozen_minilm,mogb_component,0.7924706249591658,0.63344181949998,0.6175389389540615,0.5038666666666667,0.01859999999999998,0.4961333333333333,0.7407333333333334,0.8663389555555556,0.8165219640522269,0.014867493644347045,0.05501643416641743,0.05908697514945714,0.049077376548557386,0.0070134790859379655,0.04907737654855736,0.023838169672467106,0.039892501233569765,0.056565983071973046,5
stackoverflow,0.5,trainable_k1,trainable_minilm,s2c_k1,0.8767066651336372,0.8655077750537566,0.8643878860457684,0.8389333333333333,0.09339999999999998,0.16106666666666664,0.8681333333333333,0.9235181333333333,0.8935448620562013,0.016570048659295993,0.012976894988666438,0.01274134362521636,0.0035699361961307454,0.03261168842949139,0.0035699361961307446,0.015964109050547654,0.014917396867995557,0.028480838411641715,5
stackoverflow,0.75,euclidean_mean,frozen_minilm,mogb_component,0.4558840331344417,0.33093232311807846,0.3226022091169876,0.21173333333333327,0.006666666666666619,0.7882666666666667,0.40553333333333336,0.8032848592592593,0.4815859856491138,0.004201451885150502,0.020763371557782045,0.021914733652955033,0.014546986451317514,0.004784233364802465,0.014546986451317526,0.010516785524949042,0.04412659084290659,0.06763131222870251,5
stackoverflow,0.75,euclidean_mean_std,frozen_minilm,mogb_component,0.5362414691853805,0.549280481671236,0.550149749170293,0.4450222222222222,0.024266666666666662,0.5549777777777778,0.5720333333333333,0.8097901925925927,0.49589905618462016,0.010978078139936344,0.04012681292837036,0.04216519006986905,0.03228407855886649,0.0159694152122807,0.03228407855886651,0.021913783080264548,0.04233361329577879,0.07449875592340985,5
