dataset,kir,data_seed,label_ratio,representation,k_variant,requested_k,effective_cluster_count,train_known_count,minimum_cluster_size,minimum_cluster_ratio,invalid_cluster_ratio,covariance_condition_median,oos_f1,id_recall,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,status
banking77_oos,50,13,0.2,ce_recon,k1,1,25,629,20,0.03179650238473768,0.0,1674.5317260957554,0.9116140756649596,0.786,0.9125814935064934,0.9632196447038008,0.38,0.3886255924170616,0.9346423562412343,0.8967181467181468,complete
banking77_oos,50,13,0.2,ce_recon,k2,2,50,629,1,0.001589825119236884,0.04,1602.0475984114541,0.9203877324010805,0.683,0.9132058441558442,0.9650279882122597,0.365,0.539179104477612,0.9119565217391304,0.8542528735632184,complete
banking77_oos,50,13,0.2,ce_recon,frozen_selected_k,4,100,629,1,0.001589825119236884,0.31,779.0988511613756,0.911643522050969,0.514,0.9048866883116884,0.9559159723009909,0.375,0.5630188679245283,0.8739626556016598,0.7926621160409556,complete
banking77_oos,50,13,0.4,frozen,k1,1,25,1247,39,0.03127506014434643,0.0,3618.666931677683,0.8503144654088051,0.881,0.9050295454545455,0.9663871033364674,0.444,0.22478386167146974,0.8468934911242604,0.9505197505197506,complete
banking77_oos,50,13,0.4,frozen,k2,2,50,1247,4,0.0032076984763432237,0.0,3416.7258014746467,0.8951166303070985,0.788,0.9100172077922077,0.968095284926848,0.422,0.4553376906318083,0.886417256488035,0.9151321056845476,complete
banking77_oos,50,13,0.4,frozen,frozen_selected_k,4,100,1247,2,0.0016038492381716118,0.0,3007.1895206937297,0.9053523779626432,0.593,0.9006542207792209,0.9644986405414374,0.461,0.5348460291734197,0.8661755678330264,0.8488674340883773,complete
banking77_oos,50,13,0.4,ce_recon,k1,1,25,1247,39,0.03127506014434643,0.0,1795.3181785046845,0.9055210605806343,0.819,0.9118240259740259,0.9646830909778324,0.399,0.33550065019505854,0.9331803842844852,0.9123486682808717,complete
banking77_oos,50,13,0.4,ce_recon,k2,2,50,1247,1,0.0008019246190858059,0.02,1434.5013873500034,0.9142484512552983,0.75,0.9107266233766234,0.9663223067837619,0.402,0.4703344120819849,0.9202350965575147,0.8828491096532334,complete
banking77_oos,50,13,0.4,ce_recon,frozen_selected_k,4,100,1247,1,0.0008019246190858059,0.08,1080.0643874451825,0.9110690633869442,0.627,0.9098272727272727,0.9637409856974776,0.418,0.5102954341987467,0.8949919224555735,0.8347363757199823,complete
banking77_oos,50,13,0.6,frozen,k1,1,25,1865,58,0.031099195710455763,0.0,3439.460667870707,0.8389212827988338,0.894,0.9100415584415584,0.9678683845291403,0.422,0.12341772151898735,0.8386380458919319,0.9551986475063398,complete
banking77_oos,50,13,0.6,frozen,k2,2,50,1865,4,0.0021447721179624667,0.0,3268.1241736951442,0.8791018998272885,0.835,0.9135331168831168,0.9695872501311606,0.406,0.34096692111959287,0.8814840261078667,0.9310771770532398,complete
banking77_oos,50,13,0.6,frozen,frozen_selected_k,4,100,1865,2,0.0010723860589812334,0.0,2861.843887891341,0.9095029949813825,0.712,0.9135077922077921,0.9692134263373856,0.377,0.5581395348837209,0.8818646232439336,0.8860958366064414,complete
banking77_oos,50,13,0.6,ce_recon,k1,1,25,1865,58,0.031099195710455763,0.0,1876.803691943251,0.9026039905309435,0.835,0.9136402597402598,0.9661262432956115,0.408,0.28610354223433243,0.9376615914966964,0.9186791522917693,complete
banking77_oos,50,13,0.6,ce_recon,k2,2,50,1865,2,0.0010723860589812334,0.0,1513.4974332991526,0.9013047842087655,0.796,0.9053753246753247,0.9621109750535037,0.419,0.42080378250591016,0.9130685089234312,0.9002904162633107,complete
banking77_oos,50,13,0.6,ce_recon,frozen_selected_k,4,100,1865,1,0.0005361930294906167,0.04,1426.6427071937956,0.916411660492833,0.716,0.9152207792207793,0.9662874958004557,0.364,0.5419103313840156,0.9078801331853497,0.8672566371681416,complete
banking77_oos,50,13,1.0,frozen,k1,1,25,3090,96,0.031067961165048542,0.0,3737.8585422756905,0.8329039381670961,0.909,0.9120743506493507,0.9686352987206025,0.411,0.1040650406504065,0.8301743745261562,0.9614896318239526,complete
banking77_oos,50,13,1.0,frozen,k2,2,50,3090,8,0.0025889967637540453,0.0,3307.485514569359,0.8494430470715055,0.878,0.9114525974025973,0.9688618272180627,0.407,0.3178082191780822,0.8293045741911491,0.9477206189878712,complete
banking77_oos,50,13,1.0,frozen,frozen_selected_k,4,100,3090,2,0.0006472491909385113,0.0,2647.1359839413444,0.8882861501949483,0.801,0.9052113636363637,0.9672892431242557,0.493,0.48630887185104055,0.8680150839904011,0.9177138224564249,complete
