dataset,kir,intent,n_known,n_oos,delta_known_rejected_pp,delta_known_rejected_std_pp,delta_oos_false_accept_pp,delta_oos_false_accept_std_pp,trainable_known_rejected_rate,adb_known_rejected_rate,trainable_oos_false_accept_rate,adb_oos_false_accept_rate,n_seeds
banking77,0.5,receiving_money,40.0,1560.0,-3.3333333333333344,2.88675134594813,0.17094017094017092,0.4170773781184431,0.17499999999999996,0.20833333333333334,0.005341880341880341,0.003632478632478632,3
banking77,0.5,reverted_card_payment?,40.0,1560.0,-1.666666666666668,1.4433756729740657,-1.1752136752136753,0.5181348569650488,0.16666666666666666,0.18333333333333335,0.008547008547008546,0.0202991452991453,3
banking77,0.5,supported_cards_and_currencies,40.0,1560.0,4.999999999999999,,-0.8333333333333335,,0.175,0.125,0.005128205128205128,0.013461538461538462,1
banking77,0.5,terminate_account,40.0,1560.0,11.25,1.7677669529663669,-0.09615384615384615,0.04532735776836842,0.175,0.0625,0.0,0.0009615384615384616,2
banking77,0.5,top_up_by_bank_transfer_charge,40.0,1560.0,6.250000000000001,12.374368670764582,-0.0641025641025641,0.09065471553673685,0.1875,0.125,0.004166666666666667,0.004807692307692308,2
banking77,0.5,top_up_by_card_charge,40.0,1560.0,3.75,5.303300858899107,-0.1282051282051282,0.09065471553673687,0.0875,0.05,0.000641025641025641,0.0019230769230769232,2
banking77,0.5,top_up_by_cash_or_cheque,40.0,1560.0,6.25,1.7677669529663698,-0.3846153846153846,0.1813094310734737,0.15,0.0875,0.0009615384615384616,0.004807692307692308,2
banking77,0.5,top_up_failed,40.0,1560.0,2.4999999999999996,,-1.2820512820512822,,0.15,0.125,0.01217948717948718,0.025,1
banking77,0.5,top_up_limits,40.0,1560.0,10.0,,-0.2564102564102564,,0.15,0.05,0.0019230769230769232,0.004487179487179487,1
banking77,0.5,top_up_reverted,40.0,1560.0,7.5,3.5355339059327378,-0.769230769230769,0.45327357768368437,0.175,0.1,0.02564102564102564,0.03333333333333333,2
banking77,0.5,topping_up_by_card,40.0,1560.0,2.5,3.535533905932738,-1.826923076923077,0.6672006408545297,0.25625,0.23125,0.016346153846153847,0.03461538461538462,4
banking77,0.5,transaction_charged_twice,40.0,1560.0,5.0,3.5355339059327373,-0.03205128205128205,0.04532735776836842,0.125,0.075,0.0003205128205128205,0.000641025641025641,2
banking77,0.5,transfer_fee_charged,40.0,1560.0,-0.6249999999999999,3.1457643480294784,-0.41666666666666663,0.1850481632018031,0.11875,0.125,0.003205128205128205,0.007371794871794872,4
banking77,0.5,transfer_into_account,40.0,1560.0,5.833333333333335,1.4433756729740639,-0.17094017094017092,0.03700963264036061,0.2416666666666667,0.18333333333333335,0.001282051282051282,0.0029914529914529912,3
banking77,0.5,transfer_not_received_by_recipient,40.0,1560.0,17.5,,0.8974358974358977,,0.225,0.05,0.026923076923076925,0.017948717948717947,1
banking77,0.5,transfer_timing,40.0,1560.0,18.75,1.7677669529663689,-0.2243589743589744,0.22663678884184213,0.25,0.0625,0.0054487179487179484,0.007692307692307693,2
banking77,0.5,unable_to_verify_identity,40.0,1560.0,10.0,0.0,0.12820512820512822,0.27941659894491494,0.21666666666666667,0.11666666666666665,0.006196581196581196,0.004914529914529914,3
banking77,0.5,verify_my_identity,40.0,1560.0,6.875,4.269562819149832,-0.5288461538461539,0.5423521430126946,0.13125,0.0625,0.003685897435897436,0.008974358974358974,4
banking77,0.5,verify_source_of_funds,40.0,1560.0,3.125,2.393567769390845,-0.016025641025641024,0.03205128205128205,0.043750000000000004,0.0125,0.0,0.00016025641025641026,4
banking77,0.5,verify_top_up,40.0,1560.0,1.25,1.7677669529663689,0.0,0.0,0.05,0.037500000000000006,0.0,0.0,2
banking77,0.5,virtual_card_not_working,40.0,1560.0,16.666666666666664,5.20416499866533,0.10683760683760683,0.24268839084616553,0.3,0.13333333333333333,0.002777777777777778,0.0017094017094017094,3
banking77,0.5,visa_or_mastercard,40.0,1560.0,16.25,3.2274861218395134,-0.09615384615384615,0.11102889792108188,0.23125,0.06875,0.0,0.0009615384615384615,4
banking77,0.5,why_verify_identity,40.0,1560.0,3.3333333333333335,2.8867513459481287,-0.36324786324786335,0.42681590503073036,0.049999999999999996,0.016666666666666666,0.015598290598290598,0.019230769230769232,3
banking77,0.5,wrong_amount_of_cash_received,40.0,1560.0,7.500000000000001,3.5355339059327364,1.0897435897435896,0.9972018709041054,0.1875,0.11249999999999999,0.015705128205128205,0.004807692307692308,2
banking77,0.5,wrong_exchange_rate_for_cash_withdrawal,40.0,1560.0,7.0,6.4710895527723915,-0.23076923076923075,0.41195561571947764,0.215,0.145,0.002435897435897436,0.004743589743589743,5
banking77,0.75,Refund_not_showing_up,40.0,760.0,4.5,3.2596012026013246,-0.7105263157894737,0.7762042738817171,0.135,0.09,0.007105263157894737,0.014210526315789474,5
banking77,0.75,activate_my_card,40.0,760.0,2.4999999999999996,2.0412414523193148,-0.09868421052631578,0.1259772510205708,0.1375,0.1125,0.0,0.000986842105263158,4
banking77,0.75,age_limit,40.0,760.0,12.5,3.5355339059327378,0.0,0.0,0.1375,0.0125,0.0,0.0,2
banking77,0.75,apple_pay_or_google_pay,40.0,760.0,7.5,3.952847075210474,0.0,0.0,0.13999999999999999,0.065,0.0,0.0,5
banking77,0.75,atm_support,40.0,760.0,6.5,3.7914377220257744,-0.05263157894736842,0.07206875756646922,0.135,0.06999999999999999,0.0002631578947368421,0.0007894736842105263,5
banking77,0.75,automatic_top_up,40.0,760.0,0.9999999999999998,2.2360679774997894,-0.10526315789473684,0.17155795803164867,0.15999999999999998,0.15,0.0,0.0010526315789473684,5
banking77,0.75,balance_not_updated_after_bank_transfer,40.0,760.0,-0.625,6.250000000000001,-0.4605263157894737,0.9396616353345856,0.05625,0.0625,0.023026315789473686,0.02763157894736842,4
banking77,0.75,balance_not_updated_after_cheque_or_cash_deposit,40.0,760.0,7.500000000000001,3.5355339059327378,-0.03289473684210526,0.06578947368421052,0.2,0.125,0.0,0.0003289473684210526,4
banking77,0.75,beneficiary_not_allowed,40.0,760.0,18.333333333333332,1.443375672974064,0.5701754385964913,1.1034864583692217,0.27499999999999997,0.09166666666666667,0.010526315789473684,0.004824561403508772,3
banking77,0.75,cancel_transfer,40.0,760.0,5.0,6.614378277661476,-0.4385964912280702,0.33113308926626095,0.19166666666666665,0.14166666666666666,0.0013157894736842105,0.005701754385964913,3
banking77,0.75,card_about_to_expire,40.0,760.0,3.75,4.7871355387816905,-0.06578947368421052,0.07596714068284549,0.10625000000000001,0.06875,0.0,0.0006578947368421052,4
banking77,0.75,card_acceptance,40.0,760.0,11.25,8.838834764831844,0.19736842105263158,0.27912109783679506,0.2125,0.1,0.001973684210526316,0.0,2
banking77,0.75,card_arrival,40.0,760.0,2.4999999999999996,4.677071733467427,-0.3157894736842105,0.2728479125437858,0.12,0.095,0.0010526315789473684,0.004210526315789474,5
banking77,0.75,card_delivery_estimate,40.0,760.0,11.0,2.850438562747846,-0.02631578947368421,0.058843894144731304,0.19,0.08,0.0002631578947368421,0.0005263157894736842,5
banking77,0.75,card_linking,40.0,760.0,12.5,10.897247358851684,0.0,0.0,0.25,0.125,0.0,0.0,3
banking77,0.75,card_not_working,40.0,760.0,-4.166666666666667,2.886751345948129,0.4385964912280702,0.8760958050630782,0.05000000000000001,0.09166666666666667,0.011403508771929824,0.007017543859649123,3
banking77,0.75,card_payment_fee_charged,40.0,760.0,7.5,6.614378277661476,-0.5263157894736842,0.5735393346764043,0.16666666666666666,0.09166666666666667,0.003070175438596491,0.008333333333333333,3
banking77,0.75,card_payment_not_recognised,40.0,760.0,5.624999999999999,4.269562819149833,-0.6249999999999999,0.7775042939138525,0.26875,0.2125,0.005592105263157895,0.011842105263157893,4
banking77,0.75,card_payment_wrong_exchange_rate,40.0,760.0,0.9999999999999997,2.8504385627478452,-0.02631578947368421,0.058843894144731304,0.075,0.065,0.0,0.0002631578947368421,5
banking77,0.75,card_swallowed,40.0,760.0,14.166666666666666,3.8188130791298662,0.0,0.0,0.2333333333333333,0.09166666666666667,0.0,0.0,3
banking77,0.75,cash_withdrawal_charge,40.0,760.0,5.833333333333333,3.8188130791298667,0.0,0.0,0.125,0.06666666666666667,0.0,0.0,3
banking77,0.75,cash_withdrawal_not_recognised,40.0,760.0,5.0,3.5355339059327355,0.39473684210526305,0.9304036594559837,0.1375,0.0875,0.014473684210526316,0.010526315789473684,2
banking77,0.75,change_pin,40.0,760.0,16.666666666666668,1.4433756729740637,-0.08771929824561403,0.15193428136569098,0.21666666666666667,0.05000000000000001,0.0,0.0008771929824561404,3
banking77,0.75,compromised_card,40.0,760.0,15.833333333333334,1.4433756729740654,0.3508771929824561,0.3798357034142275,0.4083333333333334,0.25,0.004824561403508772,0.0013157894736842105,3
banking77,0.75,contactless_not_working,40.0,760.0,-4.375,2.393567769390845,0.0,0.0,0.21875,0.2625,0.0,0.0,4
banking77,0.75,country_support,40.0,760.0,5.833333333333333,6.2915286960589585,0.2631578947368421,0.2631578947368421,0.19166666666666665,0.13333333333333333,0.0035087719298245615,0.0008771929824561404,3
banking77,0.75,declined_card_payment,40.0,760.0,8.125,5.543389456520863,-1.1513157894736843,1.2360719886878906,0.15,0.06875,0.006578947368421053,0.018092105263157895,4
