dataset,kir_seed,seed,gate,oos_f1,known_macro_f1,overall_accuracy,id_recall,oos_false_accept_rate,known_false_reject_rate,router_error_rate,expert_error_rate,delta_vs_frozen_k1_oos_f1,delta_vs_frozen_k1_known_macro_f1,delta_vs_frozen_k1_overall_accuracy,delta_vs_frozen_k1_id_recall,delta_vs_frozen_k1_oos_false_accept_rate,delta_vs_frozen_k1_known_false_reject_rate,delta_vs_frozen_k1_router_error_rate,delta_vs_frozen_k1_expert_error_rate
clinc150,kir50_seed87,87,ce_recon_selected_k,0.9085975435589831,0.8035563378538699,0.868,0.7462222222222222,0.02123076923076923,0.25377777777777777,0.022036926742108397,0.02984165651644336,0.01909478112804397,0.015495616871939899,0.027272727272727226,-0.000888888888888828,-0.037538461538461534,0.0008888888888888835,-0.002353317160330628,-0.01589005080062981
clinc150,kir50_seed87,87,frozen_k1,0.8895027624309392,0.78806072098193,0.8407272727272728,0.7471111111111111,0.05876923076923077,0.2528888888888889,0.024390243902439025,0.04573170731707317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clinc150,kir50_seed87,87,frozen_selected_k,0.8895027624309392,0.78806072098193,0.8407272727272728,0.7471111111111111,0.05876923076923077,0.2528888888888889,0.024390243902439025,0.04573170731707317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stackoverflow,kir50_seed13,13,best_controlled_baseline,0.8585284280936455,0.8424456643115151,0.8215358931552588,0.8601468624833111,0.1426185704742819,0.13985313751668893,0.0,0.08653473030655802,0.09229236368026728,0.01659934239014149,0.08063439065108513,0.024365821094793016,-0.13426853707414832,-0.024365821094793044,0.0,-0.005717665859576171
stackoverflow,kir50_seed13,13,ce_recon_selected_k,0.8500707213578501,0.8608664252390756,0.8136894824707847,0.9138851802403204,0.19706078824315298,0.08611481975967958,0.0,0.09788166544923302,0.0838346569444719,0.035020103317702,0.07278797996661102,0.07810413885180234,-0.07982631930527723,-0.0781041388518024,0.0,0.005629269283098828
stackoverflow,kir50_seed13,13,frozen_k1,0.7662360644133782,0.8258463219213736,0.7409015025041736,0.835781041388518,0.2768871075484302,0.16421895861148197,0.0,0.09225239616613419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stackoverflow,kir50_seed13,13,frozen_selected_k,0.735515425131678,0.829868195667709,0.7161936560934892,0.8775033377837116,0.3470273881095524,0.12249666221628838,0.0,0.11182959300114112,-0.030720639281700213,0.004021873746335336,-0.024707846410684464,0.04172229639519354,0.0701402805611222,-0.04172229639519359,0.0,0.01957719683500693
stackoverflow,kir50_seed42,42,best_controlled_baseline,0.8609687551661431,0.8523173311289733,0.8293823038397329,0.8503174072836619,0.13113113113113112,0.14968259271633813,0.0,0.07111984282907662,0.01738873209048797,0.013896624249566947,0.018697829716193604,0.021049114600735108,-0.015015015015015037,-0.021049114600735053,0.0,-0.0034168211515841485
stackoverflow,kir50_seed42,42,ce_recon_selected_k,0.9054287962234461,0.8625387463359235,0.8771285475792988,0.8392916805880387,0.04004004004004004,0.16070831941196123,0.0,0.05374203821656051,0.061848773147790914,0.024118039456517137,0.06644407345575953,0.010023387905111925,-0.10610610610610612,-0.010023387905111952,0.0,-0.020794625764100252
stackoverflow,kir50_seed42,42,frozen_k1,0.8435800230756552,0.8384207068794064,0.8106844741235393,0.8292682926829268,0.14614614614614616,0.17073170731707318,0.0,0.07453666398066076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stackoverflow,kir50_seed42,42,frozen_selected_k,0.8435800230756552,0.8384207068794064,0.8106844741235393,0.8292682926829268,0.14614614614614616,0.17073170731707318,0.0,0.07453666398066076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stackoverflow,kir50_seed87,87,best_controlled_baseline,0.7777777777777778,0.8738762749177876,0.7707846410684475,0.85437541750167,0.27102803738317754,0.14562458249833,0.0,0.04886630179827991,0.01693515076414709,0.018807163432528307,0.02053422370617697,0.022712090848363342,-0.011682242990654235,-0.022712090848363398,0.0,-0.009366629928627725
stackoverflow,kir50_seed87,87,ce_recon_selected_k,0.8730082085948817,0.8768492030883168,0.8545909849749582,0.8313293253173013,0.09479305740987984,0.16867067468269872,0.0,0.03294495781438329,0.112165581581251,0.021780091603057494,0.10434056761268773,-0.00033400133600536286,-0.18791722296395194,0.0003340013360053351,0.0,-0.025287973912524346
stackoverflow,kir50_seed87,87,frozen_k1,0.7608426270136307,0.8550691114852593,0.7502504173622705,0.8316633266533067,0.2827102803738318,0.1683366733466934,0.0,0.05823293172690763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stackoverflow,kir50_seed87,87,frozen_selected_k,0.7608426270136307,0.8550691114852593,0.7502504173622705,0.8316633266533067,0.2827102803738318,0.1683366733466934,0.0,0.05823293172690763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
