dataset,kir,intent,known_count_mean,trainable_correct_rate,mogb_correct_rate,trainable_reject_rate,mogb_reject_rate,trainable_wrong_intent_rate,mogb_wrong_intent_rate,n_seeds,correct_rate_delta
banking77,0.5,top_up_reverted,40.0,0.825,0.35,0.175,0.6499999999999999,0.0,0.0,2,0.475
banking77,0.5,topping_up_by_card,40.0,0.73125,0.11875,0.25625,0.88125,0.0125,0.0,4,0.6124999999999999
banking77,0.5,transaction_charged_twice,40.0,0.875,0.25,0.125,0.75,0.0,0.0,2,0.625
banking77,0.5,transfer_fee_charged,40.0,0.85,0.33125,0.11875,0.66875,0.03125,0.0,4,0.51875
banking77,0.5,transfer_into_account,40.0,0.7166666666666667,0.39166666666666666,0.2416666666666667,0.6083333333333333,0.041666666666666664,0.0,3,0.325
banking77,0.5,transfer_not_received_by_recipient,40.0,0.775,0.05,0.225,0.95,0.0,0.0,1,0.725
banking77,0.5,transfer_timing,40.0,0.75,0.2375,0.25,0.7625,0.0,0.0,2,0.5125
banking77,0.5,unable_to_verify_identity,40.0,0.7666666666666666,0.35000000000000003,0.21666666666666667,0.65,0.016666666666666666,0.0,3,0.4166666666666666
banking77,0.5,verify_my_identity,40.0,0.775,0.44375,0.13125,0.55,0.09375,0.00625,4,0.33125000000000004
banking77,0.5,verify_source_of_funds,40.0,0.9562499999999999,0.475,0.043750000000000004,0.525,0.0,0.0,4,0.48124999999999996
banking77,0.5,verify_top_up,40.0,0.95,0.5625,0.05,0.4375,0.0,0.0,2,0.38749999999999996
banking77,0.5,virtual_card_not_working,40.0,0.6833333333333332,0.35000000000000003,0.3,0.6416666666666667,0.016666666666666666,0.008333333333333333,3,0.3333333333333332
banking77,0.5,visa_or_mastercard,40.0,0.7625,0.48750000000000004,0.23125,0.5125,0.00625,0.0,4,0.2749999999999999
banking77,0.5,why_verify_identity,40.0,0.9249999999999999,0.425,0.049999999999999996,0.5666666666666667,0.025000000000000005,0.008333333333333333,3,0.49999999999999994
banking77,0.5,wrong_amount_of_cash_received,40.0,0.8,0.4,0.1875,0.5875,0.0125,0.0125,2,0.4
banking77,0.5,wrong_exchange_rate_for_cash_withdrawal,40.0,0.7150000000000001,0.24,0.215,0.76,0.06999999999999999,0.0,5,0.4750000000000001
banking77,0.75,Refund_not_showing_up,40.0,0.845,0.47000000000000003,0.135,0.53,0.02,0.0,5,0.37499999999999994
banking77,0.75,activate_my_card,40.0,0.8312499999999999,0.5125,0.1375,0.4875,0.03125,0.0,4,0.31875
banking77,0.75,age_limit,40.0,0.8625,0.55,0.1375,0.44999999999999996,0.0,0.0,2,0.3125
banking77,0.75,apple_pay_or_google_pay,40.0,0.86,0.34500000000000003,0.13999999999999999,0.655,0.0,0.0,5,0.5149999999999999
