dataset,kir,trainable_outcome,mogb_outcome,rate_mean,rate_std,count_sum,n_seeds
stackoverflow,0.25,known_rejected,oos_correct,0.0,0.0,0,5
stackoverflow,0.25,known_rejected,oos_false_accept,0.0,0.0,0,5
stackoverflow,0.25,known_wrong_intent,known_correct,3.3333333333333335e-05,7.453559924999299e-05,1,5
stackoverflow,0.25,known_wrong_intent,known_rejected,0.0012333333333333332,0.0007321960878829599,37,5
stackoverflow,0.25,known_wrong_intent,known_wrong_intent,0.00013333333333333334,7.453559924999299e-05,4,5
stackoverflow,0.25,known_wrong_intent,oos_correct,0.0,0.0,0,5
stackoverflow,0.25,known_wrong_intent,oos_false_accept,0.0,0.0,0,5
stackoverflow,0.25,oos_correct,known_correct,0.0,0.0,0,5
stackoverflow,0.25,oos_correct,known_rejected,0.0,0.0,0,5
stackoverflow,0.25,oos_correct,known_wrong_intent,0.0,0.0,0,5
stackoverflow,0.25,oos_correct,oos_correct,0.7182333333333333,0.014032501954787354,21547,5
stackoverflow,0.25,oos_correct,oos_false_accept,0.0029,0.0030858098162754974,87,5
stackoverflow,0.25,oos_false_accept,known_correct,0.0,0.0,0,5
stackoverflow,0.25,oos_false_accept,known_rejected,0.0,0.0,0,5
stackoverflow,0.25,oos_false_accept,known_wrong_intent,0.0,0.0,0,5
stackoverflow,0.25,oos_false_accept,oos_correct,0.024733333333333336,0.012129280458644053,742,5
stackoverflow,0.25,oos_false_accept,oos_false_accept,0.0041333333333333335,0.004416509431163435,124,5
stackoverflow,0.5,known_correct,known_correct,0.1343,0.012224974437601083,4029,5
stackoverflow,0.5,known_correct,known_rejected,0.2801666666666667,0.01373509292934627,8405,5
stackoverflow,0.5,known_correct,known_wrong_intent,0.00036666666666666667,0.00038005847503304606,11,5
stackoverflow,0.5,known_correct,oos_correct,0.0,0.0,0,5
stackoverflow,0.5,known_correct,oos_false_accept,0.0,0.0,0,5
stackoverflow,0.5,known_rejected,known_correct,0.0001,0.00014907119849998598,3,5
stackoverflow,0.5,known_rejected,known_rejected,0.0804,0.0018878264986192158,2412,5
stackoverflow,0.5,known_rejected,known_wrong_intent,3.3333333333333335e-05,7.453559924999299e-05,1,5
stackoverflow,0.5,known_rejected,oos_correct,0.0,0.0,0,5
stackoverflow,0.5,known_rejected,oos_false_accept,0.0,0.0,0,5
