epoch,phase,loss,classification_ce,intra_compactness,inter_margin,selection_score,calibration_f1_k,calibration_known_recall,dataset,kir,seed,test_oos_f1,test_known_recall,best_epoch_manifest
2,finetune,0.1722573697566986,0.1226301747773374,0.4742141476699284,0.0220578032146607,0.8984680563828232,0.8579438628344361,0.810483870967742,banking77,0.25,100,0.9308176100628931,0.8092105263157895,4
3,finetune,0.1268411351101739,0.0819660699261086,0.4328252843448094,0.0159253593999892,0.8979727536073597,0.8576501729621985,0.8064516129032258,banking77,0.25,100,0.9308176100628931,0.8092105263157895,4
4,finetune,0.104784679199968,0.0646849084911602,0.3888023776667458,0.012195322928684,0.9002722116802858,0.8599496310351246,0.8064516129032258,banking77,0.25,100,0.9308176100628931,0.8092105263157895,4
1,warmup,0.2085959093852175,0.1525274586294674,0.5367956111828486,0.0238889096201294,0.950452655719094,0.907452655719094,0.86,banking77,0.25,123,0.8867710460630814,0.825,2
2,finetune,0.1494137422285146,0.0975740464548127,0.5024756607082155,0.0159213001089584,0.955385500899148,0.912985500899148,0.848,banking77,0.25,123,0.8867710460630814,0.825,2
3,finetune,0.1034509698963827,0.0575012237079338,0.4499199183450805,0.0095775239816349,0.9467052209153008,0.9045052209153008,0.844,banking77,0.25,123,0.8867710460630814,0.825,2
4,finetune,0.0769362179562449,0.036557952022728,0.3969694053133328,0.0068132513034571,0.9474307804265668,0.905630780426567,0.836,banking77,0.25,123,0.8867710460630814,0.825,2
1,warmup,0.3348912843636104,0.2784307703908,0.517048922606877,0.0475562194495328,0.9061191048335784,0.8643174854003801,0.8360323886639676,banking77,0.5,13,0.8462021343377275,0.8171052631578948,4
2,finetune,0.2383797835026468,0.183198359715087,0.5182891339063644,0.0335250956006348,0.9070906154569742,0.8653902105986746,0.8340080971659919,banking77,0.5,13,0.8462021343377275,0.8171052631578948,4
3,finetune,0.175650273582765,0.1250494563153812,0.48225174673966,0.0237564066025827,0.9079073562190708,0.8662069513607712,0.8340080971659919,banking77,0.5,13,0.8462021343377275,0.8171052631578948,4
4,finetune,0.1505098770771707,0.1037758987929139,0.447660807626588,0.0196789754088968,0.9089929618847816,0.8678998444758749,0.8218623481781376,banking77,0.5,13,0.8462021343377275,0.8171052631578948,4
