dataset,method,method_label,majority_label,observed_cells,mean_ball_count,mean_train_support,mean_radius,mean_oos_assignment_share,mean_false_accept_share,mean_known_false_reject_share,total_oos_false_accepts,total_known_false_rejects
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,card_arrival,11,3.4545454545454546,67.63636363636364,0.46564986967965366,0.07810238007606428,0.02755119643165184,0.04804337185100334,24,377
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,card_delivery_estimate,9,2.0,39.0,0.4946014907466526,0.014102564102564101,0.01962264150943396,0.017922642332218065,12,151
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,card_linking,6,3.1666666666666665,80.5,0.43934094195220474,0.03252255029705121,0.0020325203252032522,0.02639220283338882,1,110
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,card_not_working,4,2.25,39.25,0.4151739243751157,0.0045799595141700405,0.013157894736842105,0.013567892230780358,1,58
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,card_payment_fee_charged,7,1.8571428571428572,87.14285714285714,0.44772106495838876,0.007246481588586852,0.0,0.023393139651021876,0,124
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,card_payment_not_recognised,7,2.4285714285714284,46.42857142857143,0.41747669794604264,0.01048775785617891,0.005390835579514824,0.01215289386732249,2,77
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,card_payment_wrong_exchange_rate,10,3.0,73.4,0.4374335925026176,0.008161443063893154,0.00625,0.01797913996427603,6,160
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,card_swallowed,5,1.2,34.6,0.45024293540543825,0.0005263157894736842,0.0,0.0149926895254624,0,78
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,cash_withdrawal_charge,6,3.0,105.83333333333333,0.4607630870789981,0.03328534366420029,0.0,0.02759735671647019,0,143
banking77,mogb_partition_ours_boundary,MOGB partition + S2C boundary,cash_withdrawal_not_recognised,3,2.3333333333333335,52.333333333333336,0.5074210233756024,0.07344804318488529,0.03373015873015873,0.041251934174559114,2,123
