dataset,kir,seed,method,selected_balls,predictor,outcome,spearman_rho
clinc150,0.75,100,mogb_partition_ours_boundary,207,tree_depth,oos_false_accept,0.02640465216942065
clinc150,0.75,100,mogb_partition_ours_boundary,207,tree_depth,known_false_reject,-0.3142678743176787
clinc150,0.75,123,mogb_minilm,206,train_support,oos_assignment,0.21366714294277517
clinc150,0.75,123,mogb_minilm,206,train_support,oos_false_accept,0.038206901413796776
clinc150,0.75,123,mogb_minilm,206,train_support,known_false_reject,0.5528006947594716
clinc150,0.75,123,mogb_minilm,206,structural_radius,oos_assignment,0.620486456470029
clinc150,0.75,123,mogb_minilm,206,structural_radius,oos_false_accept,0.13852404463950033
clinc150,0.75,123,mogb_minilm,206,structural_radius,known_false_reject,0.4582631485478248
clinc150,0.75,123,mogb_minilm,206,tree_depth,oos_assignment,-0.4011801382237362
clinc150,0.75,123,mogb_minilm,206,tree_depth,oos_false_accept,-0.02171342715163391
clinc150,0.75,123,mogb_minilm,206,tree_depth,known_false_reject,-0.17888253952179572
clinc150,0.75,123,mogb_partition_ours_boundary,206,train_support,oos_assignment,0.2389259734439268
clinc150,0.75,123,mogb_partition_ours_boundary,206,train_support,oos_false_accept,0.14591214312227652
clinc150,0.75,123,mogb_partition_ours_boundary,206,train_support,known_false_reject,0.5021507965181824
clinc150,0.75,123,mogb_partition_ours_boundary,206,structural_radius,oos_assignment,0.6380440496373774
clinc150,0.75,123,mogb_partition_ours_boundary,206,structural_radius,oos_false_accept,0.15856464319567337
clinc150,0.75,123,mogb_partition_ours_boundary,206,structural_radius,known_false_reject,0.6599670868194478
clinc150,0.75,123,mogb_partition_ours_boundary,206,tree_depth,oos_assignment,-0.3550813302964238
clinc150,0.75,123,mogb_partition_ours_boundary,206,tree_depth,oos_false_accept,-0.15677533594330678
clinc150,0.75,123,mogb_partition_ours_boundary,206,tree_depth,known_false_reject,-0.34667860353677665
banking77,0.25,13,mogb_minilm,47,train_support,oos_assignment,0.4112231881108491
banking77,0.25,13,mogb_minilm,47,train_support,oos_false_accept,0.3106114343850491
banking77,0.25,13,mogb_minilm,47,train_support,known_false_reject,0.22849363052214194
banking77,0.25,13,mogb_minilm,47,structural_radius,oos_assignment,0.575527138633766
banking77,0.25,13,mogb_minilm,47,structural_radius,oos_false_accept,0.36509646454807226
banking77,0.25,13,mogb_minilm,47,structural_radius,known_false_reject,0.046988720039223
banking77,0.25,13,mogb_minilm,47,tree_depth,oos_assignment,-0.33617350404811025
banking77,0.25,13,mogb_minilm,47,tree_depth,oos_false_accept,0.09886597759536209
banking77,0.25,13,mogb_minilm,47,tree_depth,known_false_reject,0.01293755155557433
banking77,0.25,13,mogb_partition_ours_boundary,47,train_support,oos_assignment,0.5267698408533398
banking77,0.25,13,mogb_partition_ours_boundary,47,train_support,oos_false_accept,0.42160895605642035
banking77,0.25,13,mogb_partition_ours_boundary,47,train_support,known_false_reject,0.43760802640471747
banking77,0.25,13,mogb_partition_ours_boundary,47,structural_radius,oos_assignment,0.8243190958115909
banking77,0.25,13,mogb_partition_ours_boundary,47,structural_radius,oos_false_accept,0.3530357537679671
banking77,0.25,13,mogb_partition_ours_boundary,47,structural_radius,known_false_reject,0.73618997747412
banking77,0.25,13,mogb_partition_ours_boundary,47,tree_depth,oos_assignment,-0.4374404445021351
banking77,0.25,13,mogb_partition_ours_boundary,47,tree_depth,oos_false_accept,-0.15767012628167226
banking77,0.25,13,mogb_partition_ours_boundary,47,tree_depth,known_false_reject,-0.3769452603423424
banking77,0.25,42,mogb_minilm,40,train_support,oos_assignment,0.4775525327845283
banking77,0.25,42,mogb_minilm,40,train_support,oos_false_accept,-0.04353721184800433
banking77,0.25,42,mogb_minilm,40,train_support,known_false_reject,0.6218473019737616
banking77,0.25,42,mogb_minilm,40,structural_radius,oos_assignment,0.5691499443425027
banking77,0.25,42,mogb_minilm,40,structural_radius,oos_false_accept,0.13713170965271396
banking77,0.25,42,mogb_minilm,40,structural_radius,known_false_reject,0.23629590440566253
banking77,0.25,42,mogb_minilm,40,tree_depth,oos_assignment,-0.33375750907845503
banking77,0.25,42,mogb_minilm,40,tree_depth,oos_false_accept,-0.0020234774565166306
banking77,0.25,42,mogb_minilm,40,tree_depth,known_false_reject,-0.3396043119734048
banking77,0.25,42,mogb_partition_ours_boundary,40,train_support,oos_assignment,0.6218976757684034
banking77,0.25,42,mogb_partition_ours_boundary,40,train_support,oos_false_accept,0.4521951328658856
banking77,0.25,42,mogb_partition_ours_boundary,40,train_support,known_false_reject,0.6786296718391226
banking77,0.25,42,mogb_partition_ours_boundary,40,structural_radius,oos_assignment,0.7737318666478736
banking77,0.25,42,mogb_partition_ours_boundary,40,structural_radius,oos_false_accept,0.352555979188997
banking77,0.25,42,mogb_partition_ours_boundary,40,structural_radius,known_false_reject,0.5949442600993984
