dataset,kir,seed,method,method_label,selected_balls,selected_intents,minimum_ball_size,median_ball_size,maximum_ball_size,mean_structural_radius,median_structural_radius,tiny_support_lt20_ratio,zero_test_assignment_ratio,oos_assignment_gini,false_accept_gini,known_false_reject_gini,top1_false_accept_share,top10pct_false_accept_share,top10pct_known_false_reject_share,top10pct_oos_assignment_share,total_oos_assignments,total_oos_false_accepts,total_known_false_rejects,oos_f1,f1_all,f1_k,known_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,trainable_oos_f1,trainable_f1_all,trainable_known_recall,trainable_false_accept_rate,trainable_false_reject_rate,trainable_minus_mogb_oos_f1,trainable_minus_mogb_f1_all,trainable_minus_mogb_known_recall,trainable_minus_mogb_false_accept_rate,trainable_minus_mogb_false_reject_rate
banking77,0.75,87,mogb_minilm,MOGB-Fair,158,58,10,16.5,99,0.4526578323775321,0.45956491367877084,0.6012658227848101,0.0,0.7007161892071951,0.9784810126582277,0.33784441287953104,0.4,1.0,0.23124612523248606,0.531578947368421,760,5,1613,0.4827365728900256,0.4486180681538979,0.4480298180722405,0.30474137931034484,0.006578947368421052,0.6952586206896552,0.4733766233766234,0.8110821234119783,0.5009173276365309,0.6984478935698448,0.8495955076276699,0.8215517241379311,0.1710526315789473,0.1784482758620689,0.21571132067981924,0.400977439473772,0.5168103448275863,0.16447368421052624,-0.5168103448275863
banking77,0.75,87,mogb_partition_ours_boundary,MOGB partition + S2C boundary,158,58,10,16.5,99,0.4526578323775321,0.45956491367877084,0.6012658227848101,0.04430379746835443,0.8704363757495004,0.9813070356196645,0.6349457504520795,0.627906976744186,1.0,0.4302721088435374,0.7605263157894737,760,43,1176,0.5405201658499812,0.6217631906981547,0.6231639325058818,0.49310344827586206,0.056578947368421055,0.506896551724138,0.6,0.8051270417422868,0.48977929216460453,0.6984478935698448,0.8495955076276699,0.8215517241379311,0.1710526315789473,0.1784482758620689,0.15792772771986363,0.22783231692951522,0.32844827586206904,0.11447368421052623,-0.32844827586206904
banking77,0.75,100,mogb_minilm,MOGB-Fair,140,57,10,17.0,135,0.45427530284710127,0.457306026206853,0.5571428571428572,0.0,0.7175187969924812,0.9571428571428571,0.3728026886752318,0.16666666666666666,1.0,0.2578916021441334,0.5118421052631579,760,6,1679,0.4722831193235202,0.40993560511764515,0.40886064797616456,0.27629310344827585,0.007894736842105263,0.7237068965517242,0.4512987012987013,0.7946920372050815,0.5009837538229381,0.6801573917931422,0.8422789425569616,0.8215517241379311,0.2039473684210526,0.1784482758620689,0.20787427246962198,0.4323433374393164,0.5452586206896552,0.19605263157894734,-0.5452586206896552
banking77,0.75,100,mogb_partition_ours_boundary,MOGB partition + S2C boundary,140,57,10,17.0,135,0.45427530284710127,0.457306026206853,0.5571428571428572,0.03571428571428571,0.8548496240601504,0.9769841269841271,0.6305444355484389,0.4222222222222222,1.0,0.4187349879903923,0.7157894736842105,760,45,1249,0.5249632892804699,0.5875678558933541,0.5886472449728866,0.4616379310344828,0.05921052631578947,0.5383620689655172,0.5753246753246753,0.8067343466424682,0.49534278800097714,0.6801573917931422,0.8422789425569616,0.8215517241379311,0.2039473684210526,0.1784482758620689,0.1551941025126723,0.2547110866636074,0.3599137931034483,0.14473684210526314,-0.3599137931034483
banking77,0.75,123,mogb_minilm,MOGB-Fair,147,58,10,18.0,98,0.44765902574079375,0.44894147194573986,0.5510204081632653,0.0,0.7282670963122091,0.9863945578231292,0.35759609966435546,0.5,1.0,0.25630252100840334,0.5171052631578947,760,2,1666,0.47613065326633164,0.4190987558031048,0.4181154472261526,0.28189655172413797,0.002631578947368421,0.718103448275862,0.4577922077922078,0.8194243421052633,0.49228640796684,0.6666666666666666,0.8383752198051533,0.8206896551724138,0.2263157894736842,0.1793103448275862,0.190536013400335,0.4192764640020485,0.5387931034482758,0.22368421052631576,-0.5387931034482758
banking77,0.75,123,mogb_partition_ours_boundary,MOGB partition + S2C boundary,147,58,10,18.0,98,0.44765902574079375,0.44894147194573986,0.5510204081632653,0.027210884353741496,0.9046186895810955,0.9761904761904763,0.6692946380072942,0.5833333333333334,1.0,0.5178707224334601,0.8381578947368421,760,12,1315,0.5299326957137797,0.5657502333249466,0.5663677770768631,0.4331896551724138,0.015789473684210527,0.5668103448275862,0.5659090909090909,0.8384363656987295,0.5662725130436645,0.6666666666666666,0.8383752198051533,0.8206896551724138,0.2263157894736842,0.1793103448275862,0.13673397095288697,0.2726249864802067,0.38749999999999996,0.21052631578947367,-0.38749999999999996
stackoverflow,0.25,13,mogb_minilm,MOGB-Fair,39,5,10,22.0,550,0.7936932458407353,0.7919206877857211,0.4358974358974359,0.0,0.5210940170940173,0.8816297857393749,0.38845386150775374,0.5205479452054794,0.7945205479452054,0.34830339321357284,0.3615555555555556,4500,73,1002,0.8917312921744385,0.5471203003166764,0.47819810194512397,0.33199999999999996,0.01622222222222222,0.668,0.8206666666666667,0.8854228148148149,0.9369573639564401,0.9348581679560488,0.8376694373285117,0.8333333333333334,0.0735555555555555,0.1666666666666666,0.04312687578161034,0.2905491370118354,0.5013333333333334,0.05733333333333328,-0.5013333333333334
stackoverflow,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,39,5,10,22.0,550,0.7936932458407353,0.7919206877857211,0.4358974358974359,0.1794871794871795,0.8428034188034188,0.88212782242633,0.7159143886416615,0.5149253731343284,0.8059701492537313,0.4826446280991736,0.7502222222222222,4500,134,605,0.9219723366064829,0.7426510492344759,0.7067867917600743,0.5966666666666667,0.029777777777777778,0.4033333333333333,0.8766666666666667,0.9171888888888889,0.9602080281454926,0.9348581679560488,0.8376694373285117,0.8333333333333334,0.0735555555555555,0.1666666666666666,0.01288583134956589,0.09501838809403584,0.2366666666666667,0.04377777777777772,-0.23666666666666672
stackoverflow,0.25,42,mogb_minilm,MOGB-Fair,32,5,10,18.0,448,0.7537626834717264,0.7470662017446296,0.53125,0.0,0.7907083333333333,0.8229166666666667,0.39182692307692313,0.2222222222222222,0.7222222222222222,0.37617260787992496,0.7751111111111111,4500,18,1066,0.8921178343949044,0.49774746978564804,0.4188733968637967,0.28933333333333333,0.004,0.7106666666666667,0.819,0.8299065185185187,0.8986100578344981,0.9546207353428288,0.8737185899712864,0.844,0.0393333333333333,0.156,0.06250290094792432,0.37597112018563833,0.5546666666666666,0.0353333333333333,-0.5546666666666666
stackoverflow,0.25,42,mogb_partition_ours_boundary,MOGB partition + S2C boundary,32,5,10,18.0,448,0.7537626834717264,0.7470662017446296,0.53125,0.0625,0.9248194444444444,0.8181818181818181,0.7807195898161245,0.2727272727272727,0.6818181818181818,0.6775106082036775,0.9491111111111111,4500,22,707,0.924728962312855,0.6790878181919392,0.6299595893677561,0.5286666666666666,0.004888888888888889,0.4713333333333333,0.8781666666666667,0.9132197037037036,0.9581718414564746,0.9546207353428288,0.8737185899712864,0.844,0.0393333333333333,0.156,0.02989177302997381,0.19463077177934718,0.31533333333333335,0.03444444444444441,-0.31533333333333335
