dataset,kir,seed,method,method_label,ball_id,depth,majority_label,parent_id,purity,radius,sample_count,selected,split_reason,stop_reason,test_known_false_reject_count,test_oos_assignment_count,test_oos_false_accept_count,test_assignment_count,test_known_assignment_count,test_oos_assignment_count_calc,test_known_correct_count,test_known_wrong_known_count,test_known_false_reject_count_calc,test_oos_false_accept_count_calc,scoring_radius,score_median,zero_test_assignment,tiny_support_lt_20,oos_assignment_per_train,known_assignment_per_train,oos_accept_rate_within_assignment,known_reject_rate_within_assignment,false_accept_share_cell,known_false_reject_share_cell,oos_assignment_share_cell,support_quartile,risk_type,risk_rank_within_cell
clinc150,0.25,123,mogb_partition_ours_boundary,MOGB partition + S2C boundary,244,3,pto_request_status,125,1.0,0.5742771680181147,70,True,,purity_reached,1,16,13,32,16,16,14,1,1,13,23.20536022146339,0.9030693690997703,False,False,0.22857142857142856,0.22857142857142856,0.8125,0.0625,0.1,0.002398081534772182,0.0035087719298245615,Q3,oos_false_accept,3.0
clinc150,0.25,123,mogb_partition_ours_boundary,MOGB partition + S2C boundary,275,3,todo_list_update,164,1.0,0.7065576132080438,71,True,,purity_reached,8,57,20,82,25,57,17,0,8,20,22.058515813258037,1.0307494705334799,False,False,0.8028169014084507,0.352112676056338,0.3508771929824561,0.32,0.15384615384615385,0.019184652278177457,0.0125,Q3,oos_false_accept,2.0
clinc150,0.5,13,mogb_minilm,MOGB-Fair,335,2,reminder_update,46,1.0,0.6459828883945091,40,True,,purity_reached,13,68,5,82,14,68,1,0,13,5,0.6459828883945091,1.3671466842259137,False,False,1.7,0.35,0.07352941176470588,0.9285714285714286,0.1388888888888889,0.008452535760728219,0.01971014492753623,Q3,oos_false_accept,2.0
clinc150,0.5,13,mogb_minilm,MOGB-Fair,430,2,timezone,62,1.0,0.6912329198151591,93,True,,purity_reached,17,70,4,100,30,70,13,0,17,4,0.6912329198151591,1.2061867438174212,False,False,0.7526881720430108,0.3225806451612903,0.05714285714285714,0.5666666666666667,0.1111111111111111,0.011053315994798439,0.020289855072463767,Q4-large,oos_false_accept,4.0
clinc150,0.5,13,mogb_minilm,MOGB-Fair,564,3,damaged_card,179,1.0,0.6173252876213801,70,True,,purity_reached,17,41,7,65,24,41,7,0,17,7,0.6173252876213801,1.1664687188396263,False,False,0.5857142857142857,0.34285714285714286,0.17073170731707318,0.7083333333333334,0.19444444444444445,0.011053315994798439,0.011884057971014493,Q3,oos_false_accept,1.0
clinc150,0.5,13,mogb_minilm,MOGB-Fair,657,3,pto_used,324,1.0,0.4660116597699537,31,True,,purity_reached,1,27,3,30,3,27,2,0,1,3,0.4660116597699537,1.301183450242568,False,False,0.8709677419354839,0.0967741935483871,0.1111111111111111,0.3333333333333333,0.08333333333333333,0.0006501950585175553,0.00782608695652174,Q2,oos_false_accept,5.0
clinc150,0.5,13,mogb_minilm,MOGB-Fair,892,5,change_ai_name,770,1.0,0.675809180216438,12,True,,purity_reached,25,30,5,55,25,30,0,0,25,5,0.675809180216438,1.38798293962447,False,True,2.5,2.0833333333333335,0.16666666666666666,1.0,0.1388888888888889,0.016254876462938883,0.008695652173913044,Q1-small,oos_false_accept,3.0
clinc150,0.5,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,321,2,pto_request_status,43,1.0,0.5652752070089424,80,True,,purity_reached,7,18,11,39,21,18,14,0,7,11,23.176741711854497,0.9533945045010912,False,False,0.225,0.2625,0.6111111111111112,0.3333333333333333,0.125,0.006930693069306931,0.0052173913043478265,Q4-large,oos_false_accept,3.0
clinc150,0.5,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,335,2,reminder_update,46,1.0,0.6459828883945091,40,True,,purity_reached,10,22,8,35,13,22,3,0,10,8,22.5179101593766,1.042459335586215,False,False,0.55,0.325,0.36363636363636365,0.7692307692307693,0.09090909090909091,0.009900990099009901,0.006376811594202898,Q3,oos_false_accept,5.0
clinc150,0.5,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,564,3,damaged_card,179,1.0,0.6173252876213801,70,True,,purity_reached,10,37,18,66,29,37,18,1,10,18,22.388482345830653,0.9909494638233449,False,False,0.5285714285714286,0.4142857142857143,0.4864864864864865,0.3448275862068966,0.20454545454545456,0.009900990099009901,0.010724637681159421,Q3,oos_false_accept,1.0
