dataset,kir,seed,method,method_label,ball_id,depth,majority_label,parent_id,purity,radius,sample_count,selected,split_reason,stop_reason,test_known_false_reject_count,test_oos_assignment_count,test_oos_false_accept_count,test_assignment_count,test_known_assignment_count,test_oos_assignment_count_calc,test_known_correct_count,test_known_wrong_known_count,test_known_false_reject_count_calc,test_oos_false_accept_count_calc,scoring_radius,score_median,zero_test_assignment,tiny_support_lt_20,oos_assignment_per_train,known_assignment_per_train,oos_accept_rate_within_assignment,known_reject_rate_within_assignment,false_accept_share_cell,known_false_reject_share_cell,oos_assignment_share_cell,support_quartile
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,180,3,car_rental,46,1.0,0.6207868745764663,11,True,,purity_reached,0,0,0,0,0,0,0,0,0,0,,,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1-small
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,182,3,car_rental,47,1.0,0.6757823328578653,45,True,,purity_reached,12,7,0,31,24,7,12,0,12,0,21.42473096779995,1.0180570228144368,False,False,0.15555555555555556,0.5333333333333333,0.0,0.5,0.0,0.02962962962962963,0.0015350877192982456,Q2
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,186,3,cancel,49,1.0,0.7287810329336151,12,True,,purity_reached,0,1,0,2,1,1,1,0,0,0,21.656221005795505,1.0566416024759335,False,True,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0002192982456140351,Q1-small
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,191,3,change_speed,54,1.0,0.6392579549630035,96,True,,purity_reached,2,2,0,29,27,2,25,0,2,0,22.628110394148663,0.8762035428088455,False,False,0.020833333333333332,0.28125,0.0,0.07407407407407407,0.0,0.0049382716049382715,0.0004385964912280702,Q4-large
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,196,3,credit_score,57,1.0,0.48010098617981556,100,True,,purity_reached,5,2,0,28,26,2,21,0,5,0,23.008285829049964,0.8966555928235023,False,False,0.02,0.26,0.0,0.19230769230769232,0.0,0.012345679012345678,0.0004385964912280702,Q4-large
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,200,3,date,72,1.0,0.5435672909088274,13,True,,purity_reached,0,0,0,4,4,0,4,0,0,0,22.360277516754262,0.8981239705064432,False,True,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,Q1-small
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,204,3,ingredient_substitution,81,1.0,0.7804544745061044,10,True,,purity_reached,2,0,0,5,5,0,3,0,2,0,21.01183963938133,0.9301164272137,False,True,0.0,0.5,0.0,0.4,0.0,0.0049382716049382715,0.0,Q1-small
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,206,3,ingredient_substitution,82,1.0,0.68685126246102,22,True,,purity_reached,0,3,1,5,2,3,2,0,0,1,22.434933880693453,0.978228528203011,False,False,0.13636363636363635,0.09090909090909091,0.3333333333333333,0.0,0.008333333333333333,0.0,0.0006578947368421052,Q2
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,208,3,last_maintenance,83,1.0,0.6408085639137983,72,True,,purity_reached,1,2,0,24,22,2,21,0,1,0,22.25014860063989,0.8141107005202683,False,False,0.027777777777777776,0.3055555555555556,0.0,0.045454545454545456,0.0,0.0024691358024691358,0.0004385964912280702,Q3
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,210,3,maybe,88,1.0,0.6767344845034327,17,True,,purity_reached,1,1,0,6,5,1,4,0,1,0,22.19923254750598,0.958106292958105,False,True,0.058823529411764705,0.29411764705882354,0.0,0.2,0.0,0.0024691358024691358,0.0002192982456140351,Q2
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,212,3,maybe,89,1.0,0.7234429151089417,16,True,,purity_reached,1,0,0,4,4,0,3,0,1,0,22.6149238251642,0.9039825289340868,False,True,0.0,0.25,0.0,0.25,0.0,0.0024691358024691358,0.0,Q1-small
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,214,3,oil_change_how,90,1.0,0.46133197420583355,99,True,,purity_reached,2,0,0,28,28,0,26,0,2,0,23.468552248498888,0.7709930400063665,False,False,0.0,0.2828282828282828,0.0,0.07142857142857142,0.0,0.0049382716049382715,0.0,Q4-large
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,216,3,last_maintenance,92,1.0,0.41344563565467074,25,True,,purity_reached,0,2,0,9,7,2,7,0,0,0,22.90238321423333,0.8230771377962447,False,False,0.08,0.28,0.0,0.0,0.0,0.0,0.0004385964912280702,Q2
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,218,3,payday,95,1.0,0.5489885758656241,76,True,,purity_reached,4,0,0,18,18,0,14,0,4,0,22.738596120727426,0.9481664822366855,False,False,0.0,0.23684210526315788,0.0,0.2222222222222222,0.0,0.009876543209876543,0.0,Q3
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,220,3,pto_request_status,101,1.0,0.5404553315660592,64,True,,purity_reached,1,17,11,31,14,17,13,0,1,11,23.56896725643521,0.9324124552278384,False,False,0.265625,0.21875,0.6470588235294118,0.07142857142857142,0.09166666666666666,0.0024691358024691358,0.0037280701754385964,Q3
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,222,3,replacement_card_duration,114,1.0,0.5201134669694298,78,True,,purity_reached,9,1,1,25,24,1,15,0,9,1,22.80115198420164,0.968860996557377,False,False,0.01282051282051282,0.3076923076923077,1.0,0.375,0.008333333333333333,0.022222222222222223,0.0002192982456140351,Q3
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,232,3,shopping_list_update,129,1.0,0.6942082264855021,14,True,,purity_reached,5,20,0,26,6,20,1,0,5,0,21.74227640969076,1.1380277055795247,False,True,1.4285714285714286,0.42857142857142855,0.0,0.8333333333333334,0.0,0.012345679012345678,0.0043859649122807015,Q1-small
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,235,3,ingredient_substitution,131,1.0,0.5912829637637891,10,True,,purity_reached,0,0,0,0,0,0,0,0,0,0,,,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q1-small
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,239,3,todo_list_update,147,1.0,0.7133688606650964,77,True,,purity_reached,14,55,22,89,34,55,19,1,14,22,22.00712233283525,1.02467608912091,False,False,0.7142857142857143,0.44155844155844154,0.4,0.4117647058823529,0.18333333333333332,0.0345679012345679,0.01206140350877193,Q3
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,242,3,cancel,148,1.0,0.7324215379128676,24,True,,purity_reached,7,2,1,13,11,2,4,0,7,1,21.52708147024988,1.045234437551033,False,False,0.08333333333333333,0.4583333333333333,0.5,0.6363636363636364,0.008333333333333333,0.01728395061728395,0.0004385964912280702,Q2
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,247,3,travel_notification,151,1.0,0.6398587525031013,72,True,,purity_reached,15,1,0,30,29,1,14,0,15,0,21.473402256820744,1.0258608671230673,False,False,0.013888888888888888,0.4027777777777778,0.0,0.5172413793103449,0.0,0.037037037037037035,0.0002192982456140351,Q3
clinc150,0.25,13,mogb_partition_ours_boundary,MOGB partition + S2C boundary,249,3,travel_notification,152,1.0,0.5182936422162702,20,True,,purity_reached,0,0,0,0,0,0,0,0,0,0,,,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q2
