dataset,kir,comparator,metric,n_seeds,mean_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
stackoverflow,0.5,mogb_minilm,oos_precision,5,0.2725890463109314,0.010001288328058642,0.2660194470475193,0.2812408550477828,5,0,0,20260725,10000
stackoverflow,0.5,mogb_minilm,oos_recall,5,-0.08546666666666669,0.030145572735570215,-0.10893333333333335,-0.06026666666666671,0,0,5,20260725,10000
stackoverflow,0.5,mogb_minilm,auroc,5,0.07582720000000001,0.03238784173068045,0.05441471111111111,0.1052687111111111,5,0,0,20260725,10000
stackoverflow,0.5,mogb_minilm,aupr_oos,5,0.10698941921307,0.03583081716940497,0.07865786983181558,0.13824015531053524,5,0,0,20260725,10000
stackoverflow,0.75,mogb_minilm,oos_f1,5,0.3071538117740757,0.02845545597746744,0.2829774854075603,0.3275709418286498,5,0,0,20260725,10000
stackoverflow,0.75,mogb_minilm,f1_all,5,0.5418678928158714,0.025918955930706714,0.5210963834301496,0.5615604874234101,5,0,0,20260725,10000
stackoverflow,0.75,mogb_minilm,f1_k,5,0.5575154982186576,0.02661754670820584,0.5358985648172931,0.5777082160456463,5,0,0,20260725,10000
stackoverflow,0.75,mogb_minilm,accuracy,5,0.4388666666666666,0.018095195801955614,0.42486666666666667,0.45260000000000006,5,0,0,20260725,10000
stackoverflow,0.75,mogb_minilm,id_recall,5,0.6294222222222222,0.0207522719267905,0.6119555555555556,0.6446222222222223,5,0,0,20260725,10000
stackoverflow,0.75,mogb_minilm,false_accept_rate,5,0.08133333333333334,0.05559576322786553,0.0390666666666667,0.1257333333333333,5,0,0,20260725,10000
stackoverflow,0.75,mogb_minilm,false_reject_rate,5,-0.6294222222222222,0.020752271926790508,-0.6446222222222222,-0.6119555555555556,0,0,5,20260725,10000
stackoverflow,0.75,mogb_minilm,oos_precision,5,0.36063528735012973,0.015753327246667767,0.34697277068053534,0.37193477473827496,5,0,0,20260725,10000
stackoverflow,0.75,mogb_minilm,oos_recall,5,-0.08133333333333337,0.055595763227865524,-0.12573333333333334,-0.039066666666666736,0,0,5,20260725,10000
