method,seed,point,precision,recall,threshold
fixed_k2,42,23,0.5622293353417436,0.9953333333333333,0.7145309925386575
fixed_k2,42,24,0.5652338572240106,0.995,0.7168685201222763
fixed_k2,42,25,0.5680822700438012,0.9943333333333333,0.719573885532375
fixed_k2,42,26,0.5707718827810764,0.9933333333333333,0.7226726129913659
fixed_k2,42,27,0.5738778655365054,0.993,0.7247099761194182
fixed_k2,42,28,0.5772137182716528,0.993,0.726550534356068
fixed_k2,42,29,0.5803936854414344,0.9926666666666667,0.7288767004837801
fixed_k2,42,30,0.5836110566555577,0.9923333333333333,0.730650389491323
fixed_k2,42,31,0.5866692959968448,0.9916666666666667,0.7330284397821131
fixed_k2,42,32,0.5897639357270383,0.991,0.7354490857437789
fixed_k2,42,33,0.5930951905807225,0.9906666666666667,0.7378419366630261
fixed_k2,42,34,0.5960650471792812,0.9896666666666667,0.7398412067166208
fixed_k2,42,35,0.5988689153706322,0.9883333333333333,0.7418457511633932
fixed_k2,42,36,0.6017069701280228,0.987,0.7436084230892216
fixed_k2,42,37,0.604784297689634,0.986,0.7458935400428389
fixed_k2,42,38,0.6083110471096482,0.9856666666666667,0.7482937308484827
fixed_k2,42,39,0.6110536120885945,0.984,0.7500230444104122
fixed_k2,42,40,0.6144553218079567,0.9833333333333333,0.7518451829195502
fixed_k2,42,41,0.6178998113603018,0.9826666666666667,0.7539447872949494
fixed_k2,42,42,0.6213878928496098,0.982,0.7561240325200667
fixed_k2,42,43,0.6242835915941414,0.9803333333333333,0.7581791080758596
fixed_k2,42,44,0.6272164067506943,0.9786666666666667,0.760146503527493
fixed_k2,42,45,0.6310470866480327,0.9783333333333334,0.7623593853845937
fixed_k2,42,46,0.634278294741398,0.977,0.7641500411222947
fixed_k2,42,47,0.6375517316488782,0.9756666666666667,0.7660641101435446
fixed_k2,42,48,0.6406489804867354,0.974,0.7685326816208548
fixed_k2,42,49,0.6446700507614214,0.9736666666666667,0.7705589998663654
fixed_k2,42,50,0.6474116862919351,0.9713333333333334,0.7716867003022685
fixed_k2,42,51,0.6515320957280251,0.971,0.7737878774772307
fixed_k2,42,52,0.6550326503039856,0.9696666666666667,0.7758516661800755
fixed_k2,42,53,0.6585808206755838,0.9683333333333334,0.7778996322394499
fixed_k2,42,54,0.6626341018032412,0.9676666666666667,0.7801127559634113
fixed_k2,42,55,0.6658239485175822,0.9656666666666667,0.781832875526839
fixed_k2,42,56,0.6699838000462855,0.965,0.7836898971726797
fixed_k2,42,57,0.6744348636681426,0.9646666666666667,0.7859948775390521
fixed_k2,42,58,0.6784792302276461,0.9636666666666667,0.7879719284302261
fixed_k2,42,59,0.6825809501299929,0.9626666666666667,0.7902807153053989
fixed_k2,42,60,0.685551059271602,0.96,0.7923829625674599
fixed_k2,42,61,0.6892831455286502,0.9583333333333334,0.7944683341149072
fixed_k2,42,62,0.6933107944940835,0.957,0.7972589304878955
fixed_k2,42,63,0.6970802919708029,0.955,0.7988801142662401
fixed_k2,42,64,0.7002450980392156,0.9523333333333334,0.8016655966542342
fixed_k2,42,65,0.7032098765432099,0.9493333333333334,0.8043450884408989
fixed_k2,42,66,0.7082089552238806,0.949,0.8070519281477313
fixed_k2,42,67,0.7120300751879699,0.947,0.8093172878927494
fixed_k2,42,68,0.7156565656565657,0.9446666666666667,0.8119624456354765
fixed_k2,42,69,0.7193384223918575,0.9423333333333334,0.8139041816457632
fixed_k2,42,70,0.7228205128205129,0.9396666666666667,0.8158418403523687
fixed_k2,42,71,0.7276485788113695,0.9386666666666666,0.8187030386672003
fixed_k2,42,72,0.73203125,0.937,0.8207401122750999
fixed_k2,42,73,0.7362204724409449,0.935,0.8232024225381694
fixed_k2,42,74,0.7396825396825397,0.932,0.8253915195046249
fixed_k2,42,75,0.7448,0.931,0.828362973385375
fixed_k2,42,76,0.7491935483870967,0.929,0.8298718601425815
fixed_k2,42,77,0.7525745257452574,0.9256666666666666,0.8326195897067011
