method,seed,point,fpr,tpr,threshold
fixed_k2,42,104,0.169,0.8496666666666667,0.8985665469680088
fixed_k2,42,105,0.17333333333333334,0.8523333333333334,0.8954021643397648
fixed_k2,42,106,0.17566666666666667,0.854,0.894399852922152
fixed_k2,42,107,0.17733333333333334,0.8563333333333333,0.8923507530213591
fixed_k2,42,108,0.18033333333333335,0.8576666666666667,0.8906673499948747
fixed_k2,42,109,0.18366666666666667,0.861,0.8878207018900183
fixed_k2,42,110,0.18566666666666667,0.8633333333333333,0.8856328785817088
fixed_k2,42,111,0.187,0.8653333333333333,0.8849515301290305
fixed_k2,42,112,0.19,0.8666666666666667,0.883274662634003
fixed_k2,42,113,0.19466666666666665,0.868,0.8810398439011793
fixed_k2,42,114,0.19666666666666666,0.8703333333333333,0.8792105562094518
fixed_k2,42,115,0.199,0.8713333333333333,0.8783698921676119
fixed_k2,42,116,0.201,0.8753333333333333,0.8766608211123086
fixed_k2,42,117,0.20466666666666666,0.8766666666666667,0.8748077489994185
fixed_k2,42,118,0.20733333333333334,0.879,0.872973874728478
fixed_k2,42,119,0.21233333333333335,0.8806666666666667,0.8709481437393428
fixed_k2,42,120,0.21333333333333335,0.8836666666666667,0.8697870142083908
fixed_k2,42,121,0.21633333333333332,0.8846666666666667,0.8687567877159886
fixed_k2,42,122,0.22,0.886,0.8675080118602222
fixed_k2,42,123,0.22166666666666668,0.888,0.8666840544343085
fixed_k2,42,124,0.22466666666666665,0.889,0.8659077962504187
fixed_k2,42,125,0.22766666666666666,0.8906666666666667,0.8643182124815778
fixed_k2,42,126,0.22966666666666666,0.8936666666666667,0.8628589394433692
fixed_k2,42,127,0.23433333333333334,0.896,0.8602663300655927
fixed_k2,42,128,0.23833333333333334,0.8976666666666666,0.8592399351791885
fixed_k2,42,129,0.24133333333333334,0.899,0.8580269625200169
fixed_k2,42,130,0.24433333333333335,0.9003333333333333,0.8568521416586943
fixed_k2,42,131,0.24633333333333332,0.903,0.8556209722174993
fixed_k2,42,132,0.249,0.9046666666666666,0.8546226556999311
fixed_k2,42,133,0.255,0.907,0.8515936054821105
fixed_k2,42,134,0.262,0.9086666666666666,0.8493931276166283
fixed_k2,42,135,0.267,0.9103333333333333,0.8481081213630892
fixed_k2,42,136,0.26966666666666667,0.9123333333333333,0.8468654877404233
fixed_k2,42,137,0.27366666666666667,0.914,0.8452742434807906
fixed_k2,42,138,0.2826666666666667,0.9153333333333333,0.8427980839641853
fixed_k2,42,139,0.286,0.9173333333333333,0.8400958369292566
fixed_k2,42,140,0.2906666666666667,0.9196666666666666,0.837976507992195
fixed_k2,42,141,0.2926666666666667,0.921,0.8368704462922564
fixed_k2,42,142,0.29833333333333334,0.9223333333333333,0.8344575319246007
fixed_k2,42,143,0.3006666666666667,0.924,0.8336041666841769
fixed_k2,42,144,0.30366666666666664,0.9253333333333333,0.8329081005730554
fixed_k2,42,145,0.30766666666666664,0.9263333333333333,0.8316568073004958
fixed_k2,42,146,0.31066666666666665,0.9286666666666666,0.8300681660361658
fixed_k2,42,147,0.31466666666666665,0.9296666666666666,0.8289900288390155
fixed_k2,42,148,0.31933333333333336,0.9313333333333333,0.8281393923471289
fixed_k2,42,149,0.32966666666666666,0.9323333333333333,0.8248580357728353
fixed_k2,42,150,0.332,0.9336666666666666,0.8240070199762622
fixed_k2,42,151,0.335,0.9346666666666666,0.8232767087963989
fixed_k2,42,152,0.337,0.936,0.8218990294842624
fixed_k2,42,153,0.3416666666666667,0.937,0.8209896955538594
fixed_k2,42,154,0.3526666666666667,0.9386666666666666,0.8184517237955833
fixed_k2,42,155,0.36133333333333334,0.94,0.8156534848499879
fixed_k2,42,156,0.36433333333333334,0.941,0.8149787610981666
fixed_k2,42,157,0.36833333333333335,0.9426666666666667,0.8134120140198919
fixed_k2,42,158,0.37266666666666665,0.9443333333333334,0.8123300006579528
fixed_k2,42,159,0.38,0.9456666666666667,0.8101841636774425
fixed_k2,42,160,0.383,0.9466666666666667,0.8093675106081901
fixed_k2,42,161,0.387,0.948,0.8083204347581073
fixed_k2,42,162,0.3993333333333333,0.9493333333333334,0.8048529004030409
fixed_k2,42,163,0.405,0.9506666666666667,0.8027728271041568
fixed_k2,42,164,0.4086666666666667,0.9526666666666667,0.8014040041936068
fixed_k2,42,165,0.4146666666666667,0.9546666666666667,0.7989119834287624
fixed_k2,42,166,0.4216666666666667,0.9566666666666667,0.7976833160775469
fixed_k2,42,167,0.42833333333333334,0.9576666666666667,0.7953508672669932
fixed_k2,42,168,0.43366666666666664,0.9586666666666667,0.7941987123461433
fixed_k2,42,169,0.441,0.9603333333333334,0.7922008940826397
fixed_k2,42,170,0.446,0.9623333333333334,0.7905193848486844
fixed_k2,42,171,0.4563333333333333,0.9633333333333334,0.788111277511194
fixed_k2,42,172,0.472,0.965,0.7844722697135633
fixed_k2,42,173,0.48633333333333334,0.966,0.7815013049082992
fixed_k2,42,174,0.49066666666666664,0.9673333333333334,0.7807070699150882
fixed_k2,42,175,0.5036666666666667,0.9686666666666667,0.777229337329034
fixed_k2,42,176,0.5143333333333333,0.97,0.7750387010693256
fixed_k2,42,177,0.5183333333333333,0.971,0.7740194267116417
fixed_k2,42,178,0.5313333333333333,0.972,0.7711765441417668
fixed_k2,42,179,0.5386666666666666,0.974,0.7701795116354048
fixed_k2,42,180,0.5556666666666666,0.9756666666666667,0.7659826187330888
fixed_k2,42,181,0.5616666666666666,0.977,0.7647909895522617
fixed_k2,42,182,0.5723333333333334,0.9783333333333334,0.7621715738004831
fixed_k2,42,183,0.5896666666666667,0.9803333333333333,0.7581827396432074
fixed_k2,42,184,0.5976666666666667,0.9813333333333333,0.7563628636290443
fixed_k2,42,185,0.6063333333333333,0.9823333333333333,0.7544384141798954
fixed_k2,42,186,0.622,0.9836666666666667,0.7508869656858778
fixed_k2,42,187,0.6286666666666667,0.9846666666666667,0.7495019258322407
fixed_k2,42,188,0.6366666666666667,0.986,0.7475553225971516
fixed_k2,42,189,0.6566666666666666,0.987,0.7432494839291559
fixed_k2,42,190,0.662,0.9883333333333333,0.7418457511633932
fixed_k2,42,191,0.6703333333333333,0.9893333333333333,0.7398503626765176
fixed_k2,42,192,0.6846666666666666,0.991,0.7368568092668849
fixed_k2,42,193,0.6996666666666667,0.992,0.7327961739339929
fixed_k2,42,194,0.7423333333333333,0.993,0.7236621439814315
fixed_k2,42,195,0.751,0.9943333333333333,0.7212210283542042
fixed_k2,42,196,0.7796666666666666,0.9953333333333333,0.7136249350062448
fixed_k2,42,197,0.7963333333333333,0.9966666666666667,0.7090055306093138
