known_recall,oos_recall,false_accept_rate,false_reject_rate,oos_f1,oos_precision,auroc,aupr_oos,f1_all,f1_k,accuracy,dataset,kir,seed,method,method_label,target_known_recall,diagnostic_threshold,source_prediction_path,diagnostic_only,threshold_source
0.85,0.7543103448275862,0.24568965517241378,0.15,0.8365200764818356,0.9388412017167382,,,,,,banking77,0.25,42,random_partition,Random partition,0.85,0.9983615223061072,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/random_partition/predictions.tsv,True,test_known_scores_posthoc
0.85,0.7383620689655173,0.26163793103448274,0.15,0.8261393778635158,0.9376026272577996,,,,,,banking77,0.25,42,single_centroid,Frozen single centroid,0.85,1.012043872720446,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/single_centroid/predictions.tsv,True,test_known_scores_posthoc
0.85,0.8719827586206896,0.12801724137931034,0.15,0.9077855059457034,0.9466541881141788,,,,,,banking77,0.25,42,trainable_k1,Trainable MiniLM K=1,0.85,1.03153138245322,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_42/predictions.jsonl,True,test_known_scores_posthoc
0.9,0.6693965517241379,0.3306034482758621,0.1,0.7865282349962016,0.9533456108041743,,,,,,banking77,0.25,42,fixed_k2,Frozen fixed K=2,0.9,1.0744462286214873,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/fixed_k2/predictions.tsv,True,test_known_scores_posthoc
0.9,0.5025862068965518,0.4974137931034483,0.1,0.6546883773161145,0.9388083735909822,,,,,,banking77,0.25,42,mogb_minilm,MOGB-MiniLM,0.9,1.5239945205794745,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/mogb_minilm/predictions.tsv,True,test_known_scores_posthoc
0.9,0.6202586206896552,0.37974137931034485,0.1,0.7504563233376793,0.9498349834983498,,,,,,banking77,0.25,42,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.9,1.2767684549177072,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/mogb_partition_ours_boundary/predictions.tsv,True,test_known_scores_posthoc
0.9,0.6663793103448276,0.3336206896551724,0.1,0.7843734145104008,0.9531442663378545,,,,,,banking77,0.25,42,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.9,1.2695583410413465,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/ours_partition_mogb_boundary/predictions.tsv,True,test_known_scores_posthoc
0.9,0.6258620689655172,0.3741379310344828,0.1,0.7546777546777547,0.9502617801047121,,,,,,banking77,0.25,42,random_partition,Random partition,0.9,1.0477993082051265,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/random_partition/predictions.tsv,True,test_known_scores_posthoc
0.9,0.6051724137931035,0.39482758620689656,0.1,0.7389473684210527,0.9486486486486486,,,,,,banking77,0.25,42,single_centroid,Frozen single centroid,0.9,1.060850040574966,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/single_centroid/predictions.tsv,True,test_known_scores_posthoc
0.9,0.7724137931034483,0.22758620689655173,0.1,0.8557784145176696,0.9593147751605996,,,,,,banking77,0.25,42,trainable_k1,Trainable MiniLM K=1,0.9,1.10613334126532,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_42/predictions.jsonl,True,test_known_scores_posthoc
0.95,0.4974137931034483,0.5025862068965518,0.05,0.6571753986332574,0.9681208053691275,,,,,,banking77,0.25,42,fixed_k2,Frozen fixed K=2,0.95,1.1673028724576338,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/fixed_k2/predictions.tsv,True,test_known_scores_posthoc
0.95,0.3560344827586207,0.6439655172413793,0.05,0.5188442211055276,0.9560185185185185,,,,,,banking77,0.25,42,mogb_minilm,MOGB-MiniLM,0.95,1.6188536691072055,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/mogb_minilm/predictions.tsv,True,test_known_scores_posthoc
0.95,0.44439655172413794,0.555603448275862,0.05,0.6084390675715551,0.9644527595884004,,,,,,banking77,0.25,42,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.95,1.3655176305936223,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/mogb_partition_ours_boundary/predictions.tsv,True,test_known_scores_posthoc
0.95,0.4581896551724138,0.5418103448275862,0.05,0.6214557147033031,0.9654859218891917,,,,,,banking77,0.25,42,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.95,1.4094061357122678,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/ours_partition_mogb_boundary/predictions.tsv,True,test_known_scores_posthoc
0.95,0.4107758620689655,0.5892241379310345,0.05,0.5756569012382966,0.9616548940464178,,,,,,banking77,0.25,42,random_partition,Random partition,0.95,1.1255559621511635,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/random_partition/predictions.tsv,True,test_known_scores_posthoc
0.95,0.3810344827586207,0.6189655172413793,0.05,0.5453423812461443,0.9587852494577006,,,,,,banking77,0.25,42,single_centroid,Frozen single centroid,0.95,1.141742344265657,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/single_centroid/predictions.tsv,True,test_known_scores_posthoc
0.95,0.6172413793103448,0.38275862068965516,0.05,0.7556728232189973,0.9741496598639455,,,,,,banking77,0.25,42,trainable_k1,Trainable MiniLM K=1,0.95,1.188645956213799,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_42/predictions.jsonl,True,test_known_scores_posthoc
0.75,0.8556034482758621,0.14439655172413793,0.25,0.8832035595105673,0.9126436781609195,,,,,,banking77,0.25,87,fixed_k2,Frozen fixed K=2,0.75,0.956348689939579,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/fixed_k2/predictions.tsv,True,test_known_scores_posthoc
0.75,0.9047413793103448,0.09525862068965517,0.25,0.9108266435235409,0.9169943206640454,,,,,,banking77,0.25,87,mogb_minilm,MOGB-MiniLM,0.75,1.2749880735496897,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/mogb_minilm/predictions.tsv,True,test_known_scores_posthoc
0.75,0.928448275862069,0.07155172413793104,0.25,0.9236706689536878,0.9189419795221843,,,,,,banking77,0.25,87,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.75,1.08369745354922,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/mogb_partition_ours_boundary/predictions.tsv,True,test_known_scores_posthoc
0.75,0.8176724137931034,0.18232758620689654,0.25,0.8609031086907193,0.9089602299952084,,,,,,banking77,0.25,87,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.75,1.1464908279364234,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/ours_partition_mogb_boundary/predictions.tsv,True,test_known_scores_posthoc
0.75,0.9025862068965518,0.09741379310344828,0.25,0.9096437880104257,0.9168126094570929,,,,,,banking77,0.25,87,random_partition,Random partition,0.75,0.9398721975481013,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/random_partition/predictions.tsv,True,test_known_scores_posthoc
0.75,0.9064655172413794,0.0935344827586207,0.25,0.9117710817255582,0.9171391190580026,,,,,,banking77,0.25,87,single_centroid,Frozen single centroid,0.75,0.9455397644856324,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/single_centroid/predictions.tsv,True,test_known_scores_posthoc
0.75,0.9517241379310345,0.04827586206896552,0.25,0.9359898261975413,0.920767306088407,,,,,,banking77,0.25,87,trainable_k1,Trainable MiniLM K=1,0.75,0.9429594330952591,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_87/predictions.jsonl,True,test_known_scores_posthoc
0.85,0.7439655172413793,0.2560344827586207,0.15,0.8298076923076924,0.9380434782608695,,,,,,banking77,0.25,87,fixed_k2,Frozen fixed K=2,0.85,1.0211312586573351,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/fixed_k2/predictions.tsv,True,test_known_scores_posthoc
0.85,0.784051724137931,0.21594827586206897,0.15,0.8553961909240536,0.9410243145369891,,,,,,banking77,0.25,87,mogb_minilm,MOGB-MiniLM,0.85,1.4109535043107753,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/mogb_minilm/predictions.tsv,True,test_known_scores_posthoc
0.85,0.8491379310344828,0.15086206896551724,0.15,0.8946412352406903,0.9452975047984645,,,,,,banking77,0.25,87,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.85,1.1981925337879569,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/mogb_partition_ours_boundary/predictions.tsv,True,test_known_scores_posthoc
0.85,0.7081896551724138,0.2918103448275862,0.15,0.8059847927397596,0.9351166761525327,,,,,,banking77,0.25,87,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.85,1.2211483619736874,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/ours_partition_mogb_boundary/predictions.tsv,True,test_known_scores_posthoc
0.85,0.7905172413793103,0.20948275862068966,0.15,0.85941893158388,0.9414784394250514,,,,,,banking77,0.25,87,random_partition,Random partition,0.85,1.0117437145203745,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/random_partition/predictions.tsv,True,test_known_scores_posthoc
0.85,0.7862068965517242,0.21379310344827587,0.15,0.8567402536402067,0.9411764705882353,,,,,,banking77,0.25,87,single_centroid,Frozen single centroid,0.85,1.020790383772766,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/single_centroid/predictions.tsv,True,test_known_scores_posthoc
0.85,0.8974137931034483,0.10258620689655172,0.15,0.9220549158547388,0.9480874316939891,,,,,,banking77,0.25,87,trainable_k1,Trainable MiniLM K=1,0.85,1.045369585618371,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.25/runs/banking77/seed_87/predictions.jsonl,True,test_known_scores_posthoc
0.9,0.6400862068965517,0.3599137931034483,0.1,0.76526668384437,0.9513132607303011,,,,,,banking77,0.25,87,fixed_k2,Frozen fixed K=2,0.9,1.074066180777614,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_87/fixed_k2/predictions.tsv,True,test_known_scores_posthoc
