dataset,kir,target_known_recall,method,method_label,known_recall_mean,known_recall_std,oos_f1_mean,oos_f1_std,false_accept_rate_mean,false_accept_rate_std,n_seeds
clinc150,0.25,0.85,trainable_k1,Trainable MiniLM K=1,0.85,0.0,0.9476958387259419,0.012989847018478521,0.06539473684210526,0.024497881517192656,5
clinc150,0.25,0.9,fixed_k2,Frozen fixed K=2,0.9,0.0,0.8995776023484439,0.022631535601477418,0.16144736842105262,0.038396423753169165,5
clinc150,0.25,0.9,mogb_minilm,MOGB-MiniLM,0.9,0.0,0.8050004617321257,0.04146027317944001,0.3078947368421053,0.05849572601076616,5
clinc150,0.25,0.9,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.9,0.0,0.8727527728893099,0.05682481538074717,0.20280701754385966,0.08937828161114508,5
clinc150,0.25,0.9,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.9,0.0,0.7893984520993115,0.04494568778938547,0.329780701754386,0.06216581168540619,5
clinc150,0.25,0.9,random_partition,Random partition,0.9,0.0,0.9127219456249573,0.024029193257165488,0.1388157894736842,0.041969983246248344,5
clinc150,0.25,0.9,single_centroid,Frozen single centroid,0.9,0.0,0.9113229084165704,0.02198693911581254,0.14135964912280702,0.03844186280532418,5
clinc150,0.25,0.9,trainable_k1,Trainable MiniLM K=1,0.9,0.0,0.9341667067218383,0.018802249207899822,0.10114035087719297,0.03415051810796093,5
clinc150,0.25,0.95,fixed_k2,Frozen fixed K=2,0.95,0.0,0.7688650705097488,0.046403701775393026,0.36578947368421055,0.06257766796187711,5
clinc150,0.25,0.95,mogb_minilm,MOGB-MiniLM,0.95,0.0,0.580669049600117,0.06682514178288057,0.5832017543859649,0.06823816509882259,5
clinc150,0.25,0.95,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.95,0.0,0.7122070731519596,0.12172789043283806,0.42938596491228076,0.14121061717917793,5
clinc150,0.25,0.95,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.95,0.0,0.5886785025989779,0.0709766799073155,0.574780701754386,0.07195038083461996,5
clinc150,0.25,0.95,random_partition,Random partition,0.95,0.0,0.8233695140092842,0.05265384511462628,0.28872807017543856,0.07700063880529505,5
clinc150,0.25,0.95,single_centroid,Frozen single centroid,0.95,0.0,0.8265517105039834,0.05471328165192326,0.28381578947368424,0.08049491394572442,5
clinc150,0.25,0.95,trainable_k1,Trainable MiniLM K=1,0.95,0.0,0.8791510647865592,0.042057014533485405,0.2038157894736842,0.06724479530902494,5
clinc150,0.5,0.75,fixed_k2,Frozen fixed K=2,0.7502222222222222,0.0,0.8926548599378565,0.002911177954510705,0.06255072463768116,0.005520198347166565,5
clinc150,0.5,0.75,mogb_minilm,MOGB-MiniLM,0.7502222222222222,0.0,0.8638794156059089,0.009194537281753613,0.11565217391304347,0.01653825769704458,5
clinc150,0.5,0.75,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.7502222222222222,0.0,0.8804203111404316,0.007007969915782117,0.08544927536231883,0.013005419515647614,5
clinc150,0.5,0.75,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.7502222222222222,0.0,0.8730901955420265,0.007357522920924309,0.09895652173913043,0.013490877685248526,5
clinc150,0.5,0.75,random_partition,Random partition,0.7502222222222222,0.0,0.8888157197381277,0.004020898026106053,0.06979710144927537,0.007562384943689852,5
clinc150,0.5,0.75,single_centroid,Frozen single centroid,0.7502222222222222,0.0,0.8893013917490344,0.005026274757065783,0.06886956521739131,0.009445006593349431,5
clinc150,0.5,0.75,trainable_k1,Trainable MiniLM K=1,0.7502222222222222,0.0,0.9054249492129248,0.004553889386939301,0.03802898550724638,0.008814168197657287,5
clinc150,0.5,0.85,fixed_k2,Frozen fixed K=2,0.8502222222222222,0.0,0.8883193666591221,0.004564761511365386,0.12284057971014492,0.008135070625450986,5
clinc150,0.5,0.85,mogb_minilm,MOGB-MiniLM,0.8502222222222222,0.0,0.7934789108222268,0.025604664012145565,0.27744927536231884,0.03837017763056311,5
clinc150,0.5,0.85,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.8502222222222222,0.0,0.8491179634160837,0.022341483616110526,0.18956521739130433,0.03659872263665414,5
clinc150,0.5,0.85,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.8502222222222222,0.0,0.8278017638246734,0.014939029648211906,0.22457971014492753,0.023756094520882603,5
clinc150,0.5,0.85,random_partition,Random partition,0.8502222222222222,0.0,0.8879526589825446,0.005616381082576184,0.12347826086956522,0.00996317521292592,5
clinc150,0.5,0.85,single_centroid,Frozen single centroid,0.8502222222222222,0.0,0.8875868003763852,0.0063787368979223635,0.1241159420289855,0.011303232943907993,5
clinc150,0.5,0.85,trainable_k1,Trainable MiniLM K=1,0.8502222222222222,0.0,0.9164466589003648,0.00705093592568169,0.07153623188405797,0.013081105148620382,5
clinc150,0.5,0.9,fixed_k2,Frozen fixed K=2,0.9,0.0,0.8593967956839098,0.010557095689015257,0.19727536231884057,0.01727327095598886,5
clinc150,0.5,0.9,mogb_minilm,MOGB-MiniLM,0.9,0.0,0.6852164582737645,0.024329563434667665,0.4444057971014493,0.029887698508905134,5
clinc150,0.5,0.9,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.9,0.0,0.7879508937553157,0.036067762049379413,0.3062608695652174,0.05223088676684673,5
clinc150,0.5,0.9,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.9,0.0,0.7456298017413368,0.022557067755073896,0.3663768115942029,0.029937272515282266,5
clinc150,0.5,0.9,random_partition,Random partition,0.9,0.0,0.8695991005359834,0.00833912126244413,0.18046376811594203,0.013851918869770764,5
clinc150,0.5,0.9,single_centroid,Frozen single centroid,0.9,0.0,0.867231113177375,0.010820361537222932,0.18434782608695652,0.017992040061262017,5
clinc150,0.5,0.9,trainable_k1,Trainable MiniLM K=1,0.9,0.0,0.9061897151359659,0.009090870915065588,0.1173913043478261,0.016146254466325168,5
clinc150,0.5,0.95,fixed_k2,Frozen fixed K=2,0.9502222222222223,0.0,0.7323979096104147,0.02018375626703753,0.4031304347826087,0.025937899436522693,5
clinc150,0.5,0.95,mogb_minilm,MOGB-MiniLM,0.9502222222222223,0.0,0.4718186881654042,0.020208799676837013,0.6810434782608695,0.01779672378393604,5
clinc150,0.5,0.95,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.9502222222222223,0.0,0.6299526548536278,0.05886880183763796,0.523072463768116,0.06396596448484437,5
clinc150,0.5,0.95,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.9502222222222223,0.0,0.5348701523657793,0.033742572953174836,0.6224927536231883,0.03197785938525694,5
clinc150,0.5,0.95,random_partition,Random partition,0.9502222222222223,0.0,0.7921397652566398,0.03338954872318486,0.3218550724637681,0.04675821428171244,5
clinc150,0.5,0.95,single_centroid,Frozen single centroid,0.9502222222222223,0.0,0.7810533476174011,0.03577518530612847,0.3372753623188406,0.0495171391534617,5
clinc150,0.5,0.95,trainable_k1,Trainable MiniLM K=1,0.9502222222222223,0.0,0.8453204305096549,0.024066932429205882,0.24353623188405799,0.03690812403560721,5
clinc150,0.75,0.75,fixed_k2,Frozen fixed K=2,0.75,0.0,0.8134627581748806,0.0046171741076214854,0.06829059829059829,0.00889977144482005,5
clinc150,0.75,0.75,mogb_minilm,MOGB-MiniLM,0.75,0.0,0.7782242761032743,0.021412520919449486,0.13384615384615386,0.038467948183849694,5
clinc150,0.75,0.75,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.75,0.0,0.7984044849097666,0.009032693452751967,0.09692307692307692,0.016877366393604126,5
clinc150,0.75,0.75,ours_partition_mogb_boundary,Ours partition + MOGB boundary,0.75,0.0,0.7882935301179088,0.008448187958302546,0.11581196581196582,0.015634836008484383,5
clinc150,0.75,0.75,random_partition,Random partition,0.75,0.0,0.8096890202759344,0.004403172912440929,0.07555555555555556,0.008447065235719501,5
clinc150,0.75,0.75,single_centroid,Frozen single centroid,0.75,0.0,0.8079930882969517,0.0044864190850305505,0.0788034188034188,0.008582192539335964,5
clinc150,0.75,0.75,trainable_k1,Trainable MiniLM K=1,0.75,0.0,0.8277313461055446,0.0026694433523335908,0.04042735042735043,0.005273926758623892,5
clinc150,0.75,0.85,fixed_k2,Frozen fixed K=2,0.85,0.0,0.828486450281541,0.0071062667336323415,0.1404273504273504,0.01254548303448822,5
clinc150,0.75,0.85,mogb_minilm,MOGB-MiniLM,0.85,0.0,0.7111732447461488,0.0299196320123237,0.3285470085470085,0.04334964038488685,5
clinc150,0.75,0.85,mogb_partition_ours_boundary,MOGB partition + ours boundary,0.85,0.0,0.7803804639661513,0.03145055871617397,0.2212820512820513,0.05077059769664035,5
