dataset,kir,seed,method,method_label,intent,known_count,known_false_reject,known_false_reject_rate,oos_false_accept,oos_false_accept_rate_of_all_oos,mean_known_score,mean_oos_accepted_score
stackoverflow,0.5,87,trainable_k1,Trainable K=1,osx,300,48,0.16,213,0.071,0.8238182768769714,0.9002618829131616
stackoverflow,0.5,87,trainable_k1,Trainable K=1,scala,300,56,0.18666666666666668,2,0.0006666666666666666,0.7625433904582563,0.9409603363647391
stackoverflow,0.5,87,trainable_k1,Trainable K=1,svn,300,47,0.15666666666666668,2,0.0006666666666666666,0.7791926497851587,0.6715847518366911
stackoverflow,0.5,87,single_centroid,Frozen K=1,apache,300,39,0.13,53,0.017666666666666667,0.9154223927864852,0.9594715370823262
stackoverflow,0.5,87,single_centroid,Frozen K=1,bash,300,36,0.12,15,0.005,0.9143138240739926,0.9716496930254244
stackoverflow,0.5,87,single_centroid,Frozen K=1,drupal,300,56,0.18666666666666668,553,0.18433333333333332,0.9717926934025081,0.9771852185022407
stackoverflow,0.5,87,single_centroid,Frozen K=1,excel,300,42,0.14,10,0.0033333333333333335,0.9272992198078372,0.9419497147889044
stackoverflow,0.5,87,single_centroid,Frozen K=1,hibernate,300,30,0.1,27,0.009,0.8784127135967447,0.8989291233963432
stackoverflow,0.5,87,single_centroid,Frozen K=1,linq,300,39,0.13,0,0.0,0.8519761193690301,
stackoverflow,0.5,87,single_centroid,Frozen K=1,oracle,300,43,0.14333333333333334,8,0.0026666666666666666,0.915862634205043,0.9809042190528816
stackoverflow,0.5,87,single_centroid,Frozen K=1,osx,300,42,0.14,199,0.06633333333333333,0.926200033994018,0.9492494088434674
stackoverflow,0.5,87,single_centroid,Frozen K=1,scala,300,54,0.18,10,0.0033333333333333335,0.8681697889702494,0.9934574118077819
stackoverflow,0.5,87,single_centroid,Frozen K=1,svn,300,38,0.12666666666666668,2,0.0006666666666666666,0.8745243959844693,0.8119789274762318
stackoverflow,0.5,87,fixed_k2,Frozen K=2,apache,300,41,0.13666666666666666,39,0.013,0.9074575334546737,0.9576993566939561
stackoverflow,0.5,87,fixed_k2,Frozen K=2,bash,300,37,0.12333333333333334,23,0.007666666666666666,0.9183398510407301,0.9718475880118463
stackoverflow,0.5,87,fixed_k2,Frozen K=2,drupal,300,51,0.17,503,0.16766666666666666,0.9650175164128101,0.972021370474568
stackoverflow,0.5,87,fixed_k2,Frozen K=2,excel,300,38,0.12666666666666668,9,0.003,0.9234669055265712,0.9443954758660487
stackoverflow,0.5,87,fixed_k2,Frozen K=2,hibernate,300,30,0.1,29,0.009666666666666667,0.8731347046383019,0.8839569447895685
stackoverflow,0.5,87,fixed_k2,Frozen K=2,linq,300,22,0.07333333333333333,0,0.0,0.8594489464087929,
stackoverflow,0.5,87,fixed_k2,Frozen K=2,oracle,300,37,0.12333333333333334,6,0.002,0.909974910172178,0.9480561411628082
stackoverflow,0.5,87,fixed_k2,Frozen K=2,osx,300,43,0.14333333333333334,358,0.11933333333333333,0.9396543329526356,0.9606676641448005
stackoverflow,0.5,87,fixed_k2,Frozen K=2,scala,300,47,0.15666666666666668,380,0.12666666666666668,0.9329424253489236,0.9567629772203444
stackoverflow,0.5,87,fixed_k2,Frozen K=2,svn,300,41,0.13666666666666666,3,0.001,0.8843781202234453,0.8336442459595861
stackoverflow,0.5,87,random_partition,Random K=2,apache,300,39,0.13,53,0.017666666666666667,0.9147649371317295,0.9578316133363821
stackoverflow,0.5,87,random_partition,Random K=2,bash,300,35,0.11666666666666667,16,0.005333333333333333,0.9120014480193023,0.9715550795793143
stackoverflow,0.5,87,random_partition,Random K=2,drupal,300,52,0.17333333333333334,571,0.19033333333333333,0.9702849164856167,0.9764247527235796
stackoverflow,0.5,87,random_partition,Random K=2,excel,300,41,0.13666666666666666,9,0.003,0.9254133981310964,0.9342638901106702
stackoverflow,0.5,87,random_partition,Random K=2,hibernate,300,28,0.09333333333333334,30,0.01,0.8770391301580617,0.9029962767855332
stackoverflow,0.5,87,random_partition,Random K=2,linq,300,38,0.12666666666666668,0,0.0,0.8494977598164974,
stackoverflow,0.5,87,random_partition,Random K=2,oracle,300,43,0.14333333333333334,7,0.0023333333333333335,0.9135339822991169,0.9752432303414282
stackoverflow,0.5,87,random_partition,Random K=2,osx,300,42,0.14,209,0.06966666666666667,0.9252938964183758,0.94848882972404
stackoverflow,0.5,87,random_partition,Random K=2,scala,300,52,0.17333333333333334,9,0.003,0.8665945683708963,0.9920619031485942
stackoverflow,0.5,87,random_partition,Random K=2,svn,300,38,0.12666666666666668,2,0.0006666666666666666,0.8725054776429882,0.8115842964502313
stackoverflow,0.5,87,mogb_minilm,MOGB-MiniLM,apache,300,229,0.7633333333333333,1,0.0003333333333333333,1.0836322914565641,0.8919330100169721
stackoverflow,0.5,87,mogb_minilm,MOGB-MiniLM,bash,300,245,0.8166666666666667,0,0.0,1.1100065355993376,
stackoverflow,0.5,87,mogb_minilm,MOGB-MiniLM,drupal,300,276,0.92,1,0.0003333333333333333,1.1402400006314894,0.9920660184698308
stackoverflow,0.5,87,mogb_minilm,MOGB-MiniLM,excel,300,227,0.7566666666666667,0,0.0,1.06926789744316,
stackoverflow,0.5,87,mogb_minilm,MOGB-MiniLM,hibernate,300,177,0.59,7,0.0023333333333333335,1.029585501992176,0.9402291452854126
stackoverflow,0.5,87,mogb_minilm,MOGB-MiniLM,linq,300,180,0.6,0,0.0,1.0493985232191747,
stackoverflow,0.5,87,mogb_minilm,MOGB-MiniLM,oracle,300,214,0.7133333333333334,1,0.0003333333333333333,1.0622615800289885,0.9610913907541604
stackoverflow,0.5,87,mogb_minilm,MOGB-MiniLM,osx,300,244,0.8133333333333334,13,0.004333333333333333,1.0761209825722056,0.964072587819254
stackoverflow,0.5,87,mogb_minilm,MOGB-MiniLM,scala,300,184,0.6133333333333333,0,0.0,1.0456249341560768,
stackoverflow,0.5,87,mogb_minilm,MOGB-MiniLM,svn,300,186,0.62,2,0.0006666666666666666,1.0515040567992608,0.919184366595851
stackoverflow,0.5,87,mogb_partition_ours_boundary,MOGB partition + ours,apache,300,176,0.5866666666666667,5,0.0016666666666666668,1.016990322339563,0.9345687182117629
stackoverflow,0.5,87,mogb_partition_ours_boundary,MOGB partition + ours,bash,300,176,0.5866666666666667,0,0.0,1.021609021796603,
stackoverflow,0.5,87,mogb_partition_ours_boundary,MOGB partition + ours,drupal,300,277,0.9233333333333333,0,0.0,1.1355148789195268,
stackoverflow,0.5,87,mogb_partition_ours_boundary,MOGB partition + ours,excel,300,118,0.3933333333333333,6,0.002,0.9896915039329671,0.976496816923444
stackoverflow,0.5,87,mogb_partition_ours_boundary,MOGB partition + ours,hibernate,300,81,0.27,16,0.005333333333333333,0.9588701782735272,0.924066250339356
stackoverflow,0.5,87,mogb_partition_ours_boundary,MOGB partition + ours,linq,300,77,0.25666666666666665,0,0.0,0.9352532762533553,
stackoverflow,0.5,87,mogb_partition_ours_boundary,MOGB partition + ours,oracle,300,156,0.52,1,0.0003333333333333333,1.0141753691826492,0.8928316563876705
stackoverflow,0.5,87,mogb_partition_ours_boundary,MOGB partition + ours,osx,300,182,0.6066666666666667,38,0.012666666666666666,1.0283830104541274,0.9626594167687138
