dataset,kir,baseline,metric,n_seeds,mean_delta,median_delta,ci95_low,ci95_high,wins,ties,losses,effect_size_d
stackoverflow,0.25,fixed_k2,id_recall,5,-0.009200000000000009,-0.021333333333333315,-0.022933333333333316,0.0074666666666666215,2,0,3,-0.4776545066494572
stackoverflow,0.25,fixed_k2,false_accept_rate,5,-0.1562222222222222,-0.128,-0.2199111111111111,-0.10035555555555556,0,0,5,-2.040443048211577
stackoverflow,0.25,fixed_k2,accuracy,5,0.11969999999999988,0.09816666666666651,0.0774999999999999,0.16616666666666652,5,0,0,2.104221167703562
stackoverflow,0.25,fixed_k2,auroc,5,0.050167674074074145,0.050443111111110994,0.037056740740740814,0.06377416296296308,5,0,0,2.8698295066371426
stackoverflow,0.5,fixed_k2,oos_f1,5,0.24141215790063958,0.23785965820697796,0.21624001811829477,0.2665842976829844,5,0,0,7.637160153723406
stackoverflow,0.5,fixed_k2,f1_all,5,0.1379194718579801,0.12652548309289846,0.1152772078182643,0.16530609654979606,5,0,0,4.394166618967655
stackoverflow,0.5,fixed_k2,id_recall,5,-0.029933333333333347,-0.033333333333333326,-0.03640000000000003,-0.020733333333333315,0,0,5,-2.917030004954485
stackoverflow,0.5,fixed_k2,false_accept_rate,5,-0.37826666666666664,-0.3776666666666667,-0.4068666666666667,-0.3496666666666667,0,0,5,-10.473698699797337
stackoverflow,0.5,fixed_k2,accuracy,5,0.1988666666666667,0.1971666666666667,0.1813791666666667,0.21946666666666664,5,0,0,8.345647764224454
stackoverflow,0.5,fixed_k2,auroc,5,0.09752508888888886,0.10308166666666663,0.08546606666666665,0.10958411111111108,5,0,0,6.2541121719738735
stackoverflow,0.75,fixed_k2,oos_f1,5,0.3266908681220603,0.3384698248693119,0.24787129433420327,0.39514345155159525,5,0,0,3.679128854244148
stackoverflow,0.75,fixed_k2,f1_all,5,0.12814158057714672,0.12262829859915847,0.11397738295185875,0.15050927839723677,5,0,0,5.118855449113763
stackoverflow,0.75,fixed_k2,id_recall,5,-0.03906666666666665,-0.04444444444444451,-0.047733333333333315,-0.029555555555555512,0,0,5,-3.369139357613223
stackoverflow,0.75,fixed_k2,false_accept_rate,5,-0.5286666666666667,-0.544,-0.6278666666666666,-0.42173333333333335,0,0,5,-4.060105328613778
stackoverflow,0.75,fixed_k2,accuracy,5,0.16336666666666666,0.15749999999999997,0.1408666666666667,0.19119999999999998,5,0,0,5.26163297847605
stackoverflow,0.75,fixed_k2,auroc,5,0.15325754074074074,0.1441542222222223,0.13819185185185182,0.1703734518518519,5,0,0,7.535049818078847
