dataset,configuration_type,k,radius_lambda,threshold,acceptance_mode,seed_count,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,known_macro_f1_mean,known_macro_f1_std,overall_accuracy_mean,overall_accuracy_std,known_recall_mean,known_recall_std,false_accept_rate_mean,false_accept_rate_std,false_reject_rate_mean,false_reject_rate_std,router_error_rate_mean,router_error_rate_std,expert_error_rate_mean,expert_error_rate_std,paper_oos_f1,delta_oos_f1_pp,beats_paper_oos_f1_mean
banking77_oos,all_test_candidates,2,1.25,0.8,normalized_union,3,0.958342514590449,0.001455023547859783,0.6079582796682602,0.013583342309680165,0.6296770124173753,0.0242101300681042,0.9223039215686274,0.0016380668019414998,0.5027777777777778,0.011326046132152824,0.01898148148148148,0.004214743213607793,0.49722222222222223,0.01132604613215282,0.0,0.0,0.041832580818935594,0.017912087709381314,93.99,1.844251459044898,True
banking77_oos,all_test_candidates,2,1.0,0.85,normalized_union,3,0.9583382868085611,0.0009050131850446948,0.6283598739857946,0.01816913136294582,0.6656634280329391,0.029875168964748382,0.922140522875817,0.001447716106754079,0.5472222222222222,0.023834725419070175,0.024444444444444446,0.004327156090943674,0.4527777777777778,0.02383472541907017,0.0,0.0,0.04742153294817248,0.011418027028247783,93.99,1.8438286808561202,True
banking77_oos,all_test_candidates,1,0.25,1.0,nearest_sphere,3,0.9583064719397202,0.005466929725986295,0.6837981948597237,0.013135844643499721,0.7564171080665623,0.020622730452321787,0.9227941176470588,0.00867476258067568,0.6590277777777778,0.0215389755823206,0.038148148148148146,0.012721966141150143,0.34097222222222223,0.02153897558232058,0.0,0.0,0.044500871722339824,0.0082074869540323,93.99,1.8406471939720177,True
banking77_oos,all_test_candidates,1,0.25,1.0,normalized_union,3,0.9583064719397202,0.005466929725986295,0.6837981948597237,0.013135844643499721,0.7564171080665623,0.020622730452321787,0.9227941176470588,0.00867476258067568,0.6590277777777778,0.0215389755823206,0.038148148148148146,0.012721966141150143,0.34097222222222223,0.02153897558232058,0.0,0.0,0.044500871722339824,0.0082074869540323,93.99,1.8406471939720177,True
banking77_oos,all_test_candidates,2,2.0,0.7,nearest_sphere,3,0.958294627634376,0.0015601900839996206,0.5833359902799847,0.019091010102256625,0.5897921642975995,0.027866550392597056,0.922140522875817,0.0022043688828810915,0.4597222222222222,0.01524617944451399,0.013796296296296298,0.003995453520442855,0.5402777777777779,0.01524617944451399,0.0,0.0,0.039787222539160526,0.0175625575118661,93.99,1.8394627634376093,True
banking77_oos,all_test_candidates,2,1.0,0.85,nearest_sphere,3,0.958254527189876,0.0011266183240464505,0.6267426091774059,0.018277284657214322,0.6636214089575945,0.02944773363999089,0.9219771241830066,0.001848645179572719,0.545138888888889,0.023219796524028467,0.02435185185185185,0.004457927080448416,0.4548611111111111,0.023219796524028464,0.0,0.0,0.04760596150338755,0.011441456828179144,93.99,1.8354527189876109,True
banking77_oos,all_test_candidates,2,0.75,0.9,nearest_sphere,3,0.9582541190829202,0.0013019031575063253,0.6430501694582292,0.016183915472883587,0.6912275697053368,0.026668504113496774,0.9218954248366013,0.0023875227444775677,0.579861111111111,0.025760051376376967,0.028611111111111115,0.004686685457349544,0.42013888888888884,0.025760051376376956,0.0,0.0,0.050541778221555166,0.0066766403978248835,93.99,1.8354119082920306,True
banking77_oos,all_test_candidates,2,2.0,0.7,normalized_union,3,0.9582435504298586,0.001569696033455233,0.5836434424286284,0.017914188915109444,0.590577798416567,0.02747812780143499,0.9220588235294117,0.0021084130556477424,0.4604166666666667,0.01473139127471974,0.013981481481481482,0.004184119825072224,0.5395833333333334,0.01473139127471974,0.0,0.0,0.03972262305595639,0.017555167664992193,93.99,1.8343550429858766,True
banking77_oos,all_test_candidates,2,1.25,0.8,nearest_sphere,3,0.9582124260202928,0.0015472618367791487,0.606202550673833,0.013257418546847076,0.6276969232269978,0.023367520029345643,0.9220588235294117,0.0018341457778304063,0.5006944444444444,0.010253349347384293,0.01898148148148148,0.004214743213607793,0.4993055555555556,0.01025334934738429,0.0,0.0,0.04197384776273552,0.017875256314810403,93.99,1.8312426020292776,True
banking77_oos,all_test_candidates,2,1.25,0.85,nearest_sphere,3,0.9582106163803346,0.002754546573207935,0.6615120547051768,0.015814072410904323,0.7269581005914786,0.02915099300804707,0.9220588235294117,0.004680452806340723,0.6291666666666668,0.02946278254943948,0.03472222222222222,0.0080539589733269,0.3708333333333333,0.02946278254943948,0.0,0.0,0.05000909256228405,0.008954212041542228,93.99,1.8310616380334608,True
banking77_oos,all_test_candidates,1,2.5,0.7,nearest_sphere,3,0.9581606710120862,0.0049703245860921496,0.6551630278599966,0.014234594651306989,0.7130104330983592,0.034877167919835285,0.9222222222222222,0.007910083295725267,0.6166666666666667,0.036601899869734555,0.03324074074074074,0.012774422533180958,0.38333333333333336,0.036601899869734535,0.0,0.0,0.046825724465634926,0.01128514740029044,93.99,1.8260671012086362,True
banking77_oos,all_test_candidates,2,2.0,0.75,normalized_union,3,0.9581414276502601,0.0034436941440659863,0.6469818976505479,0.023056848700507743,0.7015921565176083,0.0357285495581091,0.9219771241830066,0.005876676636717169,0.5979166666666667,0.03150360061726042,0.031018518518518518,0.008860874063163144,0.40208333333333335,0.031503600617260444,0.0,0.0,0.04825047113908803,0.012535943602297898,93.99,1.8241427650260107,True
banking77_oos,all_test_candidates,2,0.75,0.9,normalized_union,3,0.9581071213512214,0.0014125151391820145,0.6427838259521937,0.01640779315266781,0.6918200520686525,0.02695241503404529,0.9216503267973857,0.002580975326622805,0.5805555555555556,0.026150236644114914,0.028981481481481483,0.004887275266813573,0.41944444444444445,0.026150236644114904,0.0,0.0,0.05048043605494984,0.006657977689665637,93.99,1.8207121351221502,True
banking77_oos,all_test_candidates,2,1.5,0.75,nearest_sphere,3,0.95796513957085,0.00131989310134745,0.578122872022687,0.013725973233160754,0.5829864101940675,0.023022462754632905,0.9214869281045752,0.001447716106754079,0.4513888888888889,0.008561686115234704,0.013425925925925924,0.0035884856250140928,0.548611111111111,0.008561686115234708,0.0,0.0,0.04033514646722194,0.0177033228695647,93.99,1.8065139570850164,True
banking77_oos,all_test_candidates,2,1.5,0.75,normalized_union,3,0.9579611744093967,0.0013485501529932468,0.5786400279581879,0.013091495785915749,0.5837720443130349,0.022873133328269884,0.9214869281045751,0.001447716106754079,0.45208333333333334,0.008505172717997162,0.013518518518518518,0.003687464398470348,0.5479166666666666,0.008505172717997162,0.0,0.0,0.04027114237095978,0.017698739734192618,93.99,1.8061174409396727,True
banking77_oos,all_test_candidates,2,2.5,0.7,normalized_union,3,0.9578218856634577,0.004117245468888527,0.6402738814282222,0.02568255195124419,0.6946618576441822,0.036613219794595545,0.9214052287581699,0.006996632047714616,0.5944444444444444,0.031380898688041656,0.031203703703703706,0.009876639660022883,0.4055555555555555,0.031380898688041683,0.0,0.0,0.0485497989424394,0.012627932555629563,93.99,1.7921885663457715,True
banking77_oos,all_test_candidates,2,1.25,0.85,normalized_union,3,0.9578119741380903,0.003113372167078906,0.6603516563860145,0.016216882313682877,0.7278933062401635,0.029664427356125584,0.9213235294117648,0.005373556749152108,0.63125,0.03104096755364862,0.03574074074074074,0.008987683998051667,0.36874999999999997,0.03104096755364862,0.0,0.0,0.05090449345768495,0.009168479457731537,93.99,1.79119741380903,True
banking77_oos,all_test_candidates,1,2.5,0.7,normalized_union,3,0.9577710095450668,0.005355589890796945,0.6533156610967367,0.015364497034944894,0.7127117473158026,0.0345502887397505,0.9214869281045751,0.008608335676550241,0.6173611111111111,0.03747427100897789,0.03407407407407407,0.013289537124451224,0.3826388888888889,0.03747427100897789,0.0,0.0,0.04783451109576183,0.010232584874381917,93.99,1.787100954506684,True
banking77_oos,all_test_candidates,1,0.5,0.85,normalized_union,3,0.9576081824051546,0.0017054974734134949,0.572323367784101,0.012001554597673362,0.5727631476358153,0.027165695721136723,0.9212418300653594,0.0024042383937193453,0.4388888888888889,0.02321979652402845,0.012592592592592593,0.005920136060424363,0.561111111111111,0.023219796524028457,0.0,0.0,0.03194081903759323,0.0097391242503906,93.99,1.7708182405154531,True
