dataset,method,method_label,metric,metric_label,n_seeds,kir_025,kir_050,kir_075,endpoint_delta,endpoint_delta_pp,slope_per_kir,slope_pp_per_kir,worst_value,best_value
clinc150,fixed_k2,Frozen K=2,known_recall,Known Recall,5,0.7435087719298246,0.7513777777777777,0.7580357142857143,0.014526942355889694,1.4526942355889694,0.029053884711779387,2.9053884711779387,0.7435087719298246,0.7580357142857143
clinc150,fixed_k2,Frozen K=2,false_accept_rate,False acceptance,5,0.0472807017543859,0.0644057971014492,0.0732478632478632,0.025967161493477296,2.5967161493477295,0.05193432298695459,5.193432298695459,0.0472807017543859,0.0732478632478632
clinc150,fixed_k2,Frozen K=2,false_reject_rate,False rejection,5,0.2564912280701754,0.2486222222222222,0.2419642857142857,-0.014526942355889694,-1.4526942355889694,-0.029053884711779387,-2.9053884711779387,0.2419642857142857,0.2564912280701754
clinc150,mogb_minilm,MOGB MiniLM,oos_f1,OOS F1,5,0.9238361040438376,0.8131951016346013,0.6593154230507091,-0.26452068099312853,-26.452068099312854,-0.5290413619862571,-52.90413619862571,0.6593154230507091,0.9238361040438376
clinc150,mogb_minilm,MOGB MiniLM,f1_all,F1-All,5,0.5224035964713533,0.4495380038989019,0.4179709109786164,-0.10443268549273688,-10.443268549273688,-0.20886537098547375,-20.886537098547375,0.4179709109786164,0.5224035964713533
clinc150,mogb_minilm,MOGB MiniLM,f1_k,F1-K,5,0.5118395831141827,0.4446892425957592,0.415816049263687,-0.09602353385049567,-9.602353385049566,-0.19204706770099134,-19.204706770099133,0.415816049263687,0.5118395831141827
clinc150,mogb_minilm,MOGB MiniLM,known_recall,Known Recall,5,0.3710526315789473,0.3157333333333333,0.2919642857142857,-0.07908834586466162,-7.908834586466162,-0.15817669172932325,-15.817669172932325,0.2919642857142857,0.3710526315789473
clinc150,mogb_minilm,MOGB MiniLM,false_accept_rate,False acceptance,5,0.0065789473684209,0.0090434782608695,0.0082905982905982,0.0017116509221773001,0.17116509221773002,0.0034233018443546002,0.34233018443546004,0.0065789473684209,0.0090434782608695
clinc150,mogb_minilm,MOGB MiniLM,false_reject_rate,False rejection,5,0.6289473684210527,0.6842666666666666,0.7080357142857142,0.07908834586466151,7.908834586466151,0.15817669172932303,15.817669172932302,0.6289473684210527,0.7080357142857142
clinc150,mogb_partition_ours_boundary,MOGB partition + ours,oos_f1,OOS F1,5,0.9413139384002536,0.8555543863002324,0.7197434059711283,-0.22157053242912528,-22.15705324291253,-0.44314106485825056,-44.31410648582506,0.7197434059711283,0.9413139384002536
