dataset,kir,method,method_label,oos_f1,f1_all,f1_k,known_recall,false_accept_rate,false_reject_rate,accuracy,auroc,aupr_oos,oos_f1_std,f1_all_std,f1_k_std,known_recall_std,false_accept_rate_std,false_reject_rate_std,accuracy_std,auroc_std,aupr_oos_std,n_seeds
clinc150,0.25,mogb_partition_ours_boundary,MOGB partition + s2c boundary,0.9413139384002536,0.7016229766010627,0.6953153197116103,0.6017543859649124,0.0223684210526315,0.3982456140350877,0.901719298245614,0.9274617189904586,0.9735223875851312,0.0049827390436359,0.034783684884718,0.0355777106832116,0.0440478418658378,0.0061383925448589,0.0440478418658378,0.0085869979805664,0.0172200970674791,0.0066079340328773,5
clinc150,0.25,ours_partition_mogb_boundary,s2c partition + MOGB boundary,0.9263775447547196,0.5666949810733997,0.557229650450207,0.4189473684210526,0.011798245614035,0.5810526315789474,0.8740350877192983,0.9017829332102184,0.9630424548868696,0.0034878261475231,0.018075093608092,0.0184765360736023,0.0131958516850118,0.0057925463669579,0.0131958516850117,0.0058173174145926,0.0131891085462566,0.0054608759198262,5
clinc150,0.25,random_partition,Random K=2,0.9423997495237098,0.7878036270153732,0.7837353080019959,0.7884210526315789,0.0617105263157894,0.211578947368421,0.9067017543859648,0.94371837488458,0.9825638454444808,0.0094484933717178,0.025447662176897,0.0258734002667356,0.0157699684591187,0.0150228101931808,0.0157699684591187,0.0144858534699919,0.0118019566441925,0.0034526331400473,5
clinc150,0.25,single_centroid,Frozen K=1,0.9420722511346672,0.7843899282129962,0.7802403933992681,0.7794736842105263,0.0603508771929824,0.2205263157894736,0.9060350877192984,0.9434849953831947,0.9825040382245194,0.0074094488417197,0.0187781396027039,0.019084397230511,0.0105555150571869,0.0132029564644777,0.0105555150571869,0.0113823014677876,0.0106728804614081,0.0033960507649191,5
clinc150,0.25,trainable_k1,Trainable K=1,0.9516427437131568,0.7968993956538231,0.7928272022838406,0.7363157894736843,0.0323684210526315,0.2636842105263158,0.920842105263158,0.9588536088027084,0.9876229578269168,0.0064938312442989,0.0194597107460005,0.0198013532244106,0.0083586871926818,0.011023527540387,0.0083586871926818,0.0103340630606424,0.0120657915867423,0.0044161408209342,5
clinc150,0.5,fixed_k2,Frozen K=2,0.892005798496586,0.8009431390043901,0.7997289702111607,0.7513777777777777,0.0644057971014492,0.2486222222222222,0.856561403508772,0.924975458937198,0.9370482791886308,0.0026452264822166,0.0099865931048649,0.0100984080398306,0.0131190183312361,0.0059310609271787,0.013119018331236,0.0044531693369707,0.0027687500462942,0.0035668588920184,5
clinc150,0.5,mogb_minilm,MOGB-MiniLM,0.8131951016346013,0.4495380038989019,0.4446892425957592,0.3157333333333333,0.0090434782608695,0.6842666666666666,0.7237894736842105,0.8764096876006441,0.8832486853189302,0.0029937394053626,0.017795263450771,0.0179936853620809,0.0136936499656854,0.0015255301295003,0.0136936499656854,0.0057689695389555,0.0076631744470653,0.0081901260266588,5
clinc150,0.5,mogb_partition_ours_boundary,MOGB partition + s2c boundary,0.8555543863002324,0.645981713026754,0.6431874107164409,0.5334222222222222,0.0249855072463767,0.4665777777777777,0.7985263157894738,0.9052768824476652,0.9196825244395654,0.0041913194834265,0.0217267434825714,0.0219645803509541,0.0189773093879226,0.0032497394592867,0.0189773093879226,0.0072818642065027,0.0086433133537901,0.0096881534689542,5
clinc150,0.5,ours_partition_mogb_boundary,s2c partition + MOGB boundary,0.8332324302971947,0.5640931010016157,0.5605045766110079,0.4223999999999999,0.0168695652173912,0.5776,0.7591578947368421,0.8898238711755233,0.9015743601911356,0.0029511509584679,0.0157105684486213,0.0158840742690441,0.0150607002280114,0.0026911291335501,0.0150607002280114,0.0054659752282135,0.0059101137872556,0.0042776143146253,5
clinc150,0.5,random_partition,Random K=2,0.8906911053121688,0.8075070935100765,0.8063979733527151,0.7947555555555555,0.089623188405797,0.2052444444444444,0.8555438596491228,0.9302566698872786,0.9465447968241728,0.0050278119459267,0.0093188733137041,0.0094277376365864,0.0142582876051824,0.0035464333725641,0.0142582876051824,0.0047507916756147,0.005012555387611,0.0069809278593605,5
clinc150,0.5,single_centroid,Frozen K=1,0.8894333056826393,0.8026933913946113,0.8015368592041044,0.7875555555555556,0.0881739130434782,0.2124444444444443,0.8531578947368421,0.9289202705314008,0.9453136430594408,0.0050275226580105,0.0108231848970633,0.0109396395655719,0.0137992663966755,0.0042173664026357,0.0137992663966755,0.0058830816270551,0.0051741366111416,0.00723553361943,5
clinc150,0.5,trainable_k1,Trainable K=1,0.9043941395821136,0.8181661694793956,0.8170164632113595,0.7444444444444445,0.036927536231884,0.2555555555555555,0.8734035087719298,0.953267375201288,0.9649131913639692,0.0044419633205515,0.0092034101426469,0.0092787776517131,0.0033847880470506,0.0075712675013764,0.0033847880470506,0.0064610488587048,0.005488248090117,0.0067695009838479,5
clinc150,0.75,fixed_k2,Frozen K=2,0.8150384507030115,0.8143458841089413,0.814339700478637,0.7580357142857143,0.0732478632478632,0.2419642857142857,0.8151929824561404,0.9182304385429386,0.8623213163626969,0.0063049409980155,0.006901508299221,0.0069167853788693,0.0094935344688908,0.0049524733695104,0.0094935344688908,0.0064443542303786,0.0034028459311515,0.0043821619027897,5
clinc150,0.75,mogb_minilm,MOGB-MiniLM,0.6593154230507091,0.4179709109786164,0.415816049263687,0.2919642857142857,0.0082905982905982,0.7080357142857142,0.5781754385964912,0.8643049450549449,0.7520503201772899,0.004187552090302,0.0155277839034988,0.0156301686859794,0.0121569275389881,0.0033595288900912,0.0121569275389881,0.0074758254077964,0.0118092606865723,0.0158842417049182,5
