dataset,kir,seed,structure,workpoint,threshold,calibration_known_recall,selected_using_test_known,selected_using_test_oos,selection_split,registered_known_classes,missing_class_count,missing_classes,original_ball_count,fallback_ball_count,final_ball_count,elapsed_seconds,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95,false_accept_rate,false_reject_rate,accuracy,f1_all,f1_k,f1_u
clinc150,0.5,87,selected_balls,calibration_coverage_0.80,1.2977289977576592,0.8,False,False,calibration_known,75,0,,138,0,138,1.7860405609826555,0.8632209265679168,0.7939130434782609,0.8271176204137098,0.8071111111111111,0.7939130434782609,0.8735846698872786,0.8785612625227123,0.3795555555555555,0.2060869565217391,0.1928888888888889,0.7845614035087719,0.7581031860063053,0.7571829935475399,0.8271176204137098
clinc150,0.5,87,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.2977289977576592,0.8,False,False,calibration_known,75,0,,138,0,138,1.806759623985272,0.8632209265679168,0.7939130434782609,0.8271176204137098,0.8071111111111111,0.7939130434782609,0.8735846698872786,0.8785612625227123,0.3795555555555555,0.2060869565217391,0.1928888888888889,0.7845614035087719,0.7581031860063053,0.7571829935475399,0.8271176204137098
clinc150,0.5,100,selected_balls,default_radius,1.0,0.3186666666666666,False,False,paper_default_radius,75,0,,150,0,150,1.882884822960477,0.6920113544201135,0.9892753623188406,0.814364113576712,0.3248888888888889,0.9892753623188406,0.8646879227053139,0.8739335266061747,0.3924444444444444,0.0107246376811594,0.6751111111111111,0.7266666666666667,0.4621121291551101,0.4574154360294886,0.814364113576712
clinc150,0.5,100,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.3186666666666666,False,False,paper_default_radius,75,0,,150,0,150,1.90373322495725,0.6920113544201135,0.9892753623188406,0.814364113576712,0.3248888888888889,0.9892753623188406,0.8646879227053139,0.8739335266061747,0.3924444444444444,0.0107246376811594,0.6751111111111111,0.7266666666666667,0.4621121291551101,0.4574154360294886,0.814364113576712
clinc150,0.5,100,selected_balls,calibration_coverage_0.80,1.2973433548780593,0.8,False,False,calibration_known,75,0,,150,0,150,1.926091199973598,0.8617195161817588,0.7640579710144928,0.809955446305116,0.812,0.7640579710144928,0.8646879227053139,0.8739335266061747,0.3924444444444444,0.2359420289855072,0.188,0.775438596491228,0.7706575569255252,0.7701335850671306,0.809955446305116
clinc150,0.5,100,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.2973433548780593,0.8,False,False,calibration_known,75,0,,150,0,150,1.9467443139874376,0.8617195161817588,0.7640579710144928,0.809955446305116,0.812,0.7640579710144928,0.8646879227053139,0.8739335266061747,0.3924444444444444,0.2359420289855072,0.188,0.775438596491228,0.7706575569255252,0.7701335850671306,0.809955446305116
clinc150,0.5,123,selected_balls,default_radius,1.0,0.2873333333333333,False,False,paper_default_radius,75,1,change_user_name,133,1,133,1.6462901220074857,0.6861723446893787,0.992463768115942,0.8113744075829384,0.304,0.992463768115942,0.8777375845410629,0.8801827937512003,0.3662222222222222,0.0075362318840579,0.696,0.7198245614035088,0.4374949818853867,0.4325099228760861,0.8113744075829384
clinc150,0.5,123,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.2953333333333333,False,False,paper_default_radius,75,1,change_user_name,133,1,134,1.6658356480184011,0.6875753920386007,0.991304347826087,0.811965811965812,0.3093333333333333,0.991304347826087,0.8793346215780998,0.8809385392353482,0.3564444444444444,0.008695652173913,0.6906666666666667,0.7208771929824561,0.4432235873206305,0.4383070243253614,0.811965811965812
clinc150,0.5,123,selected_balls,calibration_coverage_0.80,1.28010319967542,0.8,False,False,calibration_known,75,1,change_user_name,133,1,133,1.687342596007511,0.8640986132511557,0.8127536231884058,0.8376400298730395,0.804,0.8127536231884058,0.8777375845410629,0.8801827937512003,0.3662222222222222,0.1872463768115942,0.196,0.7933333333333333,0.7461989229830851,0.7449797082245524,0.8376400298730395
clinc150,0.5,123,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.27015052761404,0.8,False,False,calibration_known,75,1,change_user_name,133,1,134,1.70807438401971,0.8661417322834646,0.8289855072463768,0.8471563981042654,0.8035555555555556,0.8289855072463768,0.8793346215780998,0.8809385392353482,0.3564444444444444,0.1710144927536231,0.1964444444444444,0.8043859649122806,0.7576254795170333,0.7564317339358702,0.8471563981042654
clinc150,0.75,13,selected_balls,default_radius,1.0,0.2892857142857143,False,False,paper_default_radius,112,1,what_is_your_name,214,1,214,2.962109643034637,0.4893572181243414,0.9923076923076924,0.655469301340861,0.2788690476190476,0.9923076923076924,0.8736878052503052,0.7563153321585463,0.3431547619047619,0.0076923076923076,0.7211309523809524,0.5703508771929825,0.4044135320379743,0.4021719626691986,0.655469301340861
clinc150,0.75,13,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.2986607142857143,False,False,paper_default_radius,112,1,what_is_your_name,214,1,215,2.983702613040805,0.4926767140734451,0.991880341880342,0.6583463338533542,0.2886904761904761,0.991880341880342,0.8758277370777371,0.7602938317261305,0.3410714285714286,0.0081196581196581,0.7113095238095238,0.5729824561403509,0.4088637712637487,0.4066362483834843,0.6583463338533542
clinc150,0.75,13,selected_balls,calibration_coverage_0.80,1.3190465979224852,0.8,False,False,calibration_known,112,1,what_is_your_name,214,1,214,3.007335852016695,0.7530332681017613,0.8222222222222222,0.7861082737487232,0.812202380952381,0.8222222222222222,0.8736878052503052,0.7563153321585463,0.3431547619047619,0.1777777777777777,0.187797619047619,0.7896491228070175,0.781917100423099,0.7818796792326916,0.7861082737487232
clinc150,0.75,13,selected_balls_plus_missing_class_fallback,calibration_coverage_0.80,1.312777639369669,0.8,False,False,calibration_known,112,1,what_is_your_name,214,1,215,3.028957852046005,0.7574334898278561,0.8273504273504273,0.7908496732026143,0.8154761904761905,0.8273504273504273,0.8758277370777371,0.7602938317261305,0.3410714285714286,0.1726495726495726,0.1845238095238095,0.7945614035087719,0.7894936551567893,0.7894815478528087,0.7908496732026143
clinc150,0.75,42,selected_balls,default_radius,1.0,0.2691964285714285,False,False,paper_default_radius,112,2,make_call|what_is_your_name,201,2,201,2.816216860024724,0.4893482387681924,0.9914529914529916,0.6552746787176953,0.2794642857142857,0.9914529914529916,0.8730611518111517,0.7662877682881035,0.3580357142857143,0.0085470085470085,0.7205357142857143,0.5710526315789474,0.4001079859395502,0.3978297118968882,0.6552746787176953
clinc150,0.75,42,selected_balls_plus_missing_class_fallback,default_radius,1.0,0.2857142857142857,False,False,paper_default_radius,112,2,make_call|what_is_your_name,201,2,203,2.8368612750200555,0.4948717948717949,0.9897435897435898,0.6598290598290598,0.2964285714285714,0.9897435897435898,0.8697138278388277,0.7719137905060829,0.3991071428571429,0.0102564102564102,0.7035714285714286,0.5759649122807018,0.4096559169246045,0.4074222281486719,0.6598290598290598
