method,dataset,kir,seed,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall
mogb_minilm_fair,banking77,0.25,13,2.0721839603483003,0.13333333333333333,0.9763157894736842,0.9280172413793103,0.023684210526315752,0.9027027027027027,0.07198275862068966
mogb_minilm_fair,banking77,0.25,13,2.1155918353751124,0.11156022635408246,0.9789473684210527,0.9405172413793104,0.021052631578947323,0.8961038961038961,0.059482758620689656
mogb_minilm_fair,banking77,0.25,13,2.1699205561659123,0.09247135842880523,0.9855263157894737,0.9512931034482759,0.014473684210526305,0.9112903225806451,0.04870689655172414
mogb_minilm_fair,banking77,0.25,13,2.232267186654929,0.07210940737670948,0.9921052631578947,0.9625,0.007894736842105288,0.9354838709677419,0.0375
mogb_minilm_fair,banking77,0.25,13,2.3101114187977116,0.04953820319059614,0.9960526315789474,0.9745689655172414,0.003947368421052588,0.9516129032258065,0.02543103448275862
mogb_minilm_fair,banking77,0.25,13,2.4022769276685842,0.02552105487026797,0.9986842105263158,0.9870689655172413,0.001315789473684159,0.967741935483871,0.01293103448275862
mogb_minilm_fair,banking77,0.25,13,3.184158678075935,0.0,1.0,1.0,0.0,0.0,0.0
s2c_trainable_k1,banking77,0.25,13,0.47150732027290065,0.8594184108168179,0.0013157894736842105,0.0,0.9986842105263158,0.7534913933095161,1.0
s2c_trainable_k1,banking77,0.25,13,0.5937118900769854,0.8642205252374744,0.04078947368421053,0.0,0.9592105263157895,0.7609052148245327,1.0
s2c_trainable_k1,banking77,0.25,13,0.6393110862924403,0.8684900711877107,0.07894736842105263,0.0008620689655172414,0.9210526315789473,0.7680583167660703,0.9991379310344828
s2c_trainable_k1,banking77,0.25,13,0.6670755799564343,0.8716789146410401,0.11315789473684211,0.003017241379310345,0.8868421052631579,0.7743555406762638,0.9969827586206896
s2c_trainable_k1,banking77,0.25,13,0.6861784185319559,0.8764215314632298,0.15263157894736842,0.0034482758620689655,0.8473684210526315,0.7821380243572396,0.996551724137931
s2c_trainable_k1,banking77,0.25,13,0.704250932533303,0.8806709874189859,0.18947368421052632,0.004310344827586207,0.8105263157894737,0.7894736842105263,0.9956896551724138
s2c_trainable_k1,banking77,0.25,13,0.7211250257309069,0.8843720038350911,0.225,0.00603448275862069,0.775,0.796545768566494,0.9939655172413793
s2c_trainable_k1,banking77,0.25,13,0.7322848560873935,0.8881172839506173,0.26052631578947366,0.007758620689655172,0.7394736842105263,0.8037709497206704,0.9922413793103448
s2c_trainable_k1,banking77,0.25,13,0.7486295880691979,0.8911313797787697,0.29342105263157897,0.010344827586206896,0.706578947368421,0.8104482880338864,0.9896551724137931
s2c_trainable_k1,banking77,0.25,13,0.7622716636361179,0.8953533775868802,0.33026315789473687,0.01163793103448276,0.6697368421052632,0.818344039971449,0.9883620689655173
s2c_trainable_k1,banking77,0.25,13,0.7749928644145454,0.8994501178318932,0.36578947368421055,0.01293103448275862,0.6342105263157894,0.8261183261183261,0.9870689655172413
s2c_trainable_k1,banking77,0.25,13,0.7862261841563684,0.9033787788974511,0.40131578947368424,0.014655172413793103,0.5986842105263157,0.8340021889821233,0.9853448275862069
s2c_trainable_k1,banking77,0.25,13,0.8006637087754727,0.9073558648111332,0.4368421052631579,0.016379310344827588,0.5631578947368421,0.8420664206642067,0.9836206896551725
s2c_trainable_k1,banking77,0.25,13,0.8169404766398796,0.9117823564712942,0.47368421052631576,0.01767241379310345,0.5263157894736843,0.8506905561776782,0.9823275862068965
s2c_trainable_k1,banking77,0.25,13,0.8320146913608646,0.9162640901771336,0.5105263157894737,0.01896551724137931,0.4894736842105263,0.8595166163141994,0.9810344827586207
s2c_trainable_k1,banking77,0.25,13,0.8477103775401467,0.9189955447549615,0.5407894736842105,0.021982758620689654,0.4592105263157895,0.8666921313980137,0.9780172413793103
s2c_trainable_k1,banking77,0.25,13,0.8613711082327261,0.9211330751986957,0.5697368421052632,0.02586206896551724,0.4302631578947368,0.8735987630459993,0.9741379310344828
s2c_trainable_k1,banking77,0.25,13,0.8763913773582249,0.9232977850697293,0.5986842105263158,0.029741379310344828,0.4013157894736842,0.8806729264475743,0.9702586206896552
s2c_trainable_k1,banking77,0.25,13,0.8944043265989413,0.9238390092879257,0.6223684210526316,0.0353448275862069,0.37763157894736843,0.8863366336633663,0.9646551724137931
s2c_trainable_k1,banking77,0.25,13,0.9074389381885937,0.9252181138346489,0.6486842105263158,0.04008620689655172,0.35131578947368425,0.8929430633520449,0.9599137931034483
s2c_trainable_k1,banking77,0.25,13,0.9194532116151035,0.927257525083612,0.6763157894736842,0.04396551724137931,0.3236842105263158,0.9001623376623377,0.9560344827586207
s2c_trainable_k1,banking77,0.25,13,0.9330467255525695,0.9278350515463918,0.7,0.04956896551724138,0.30000000000000004,0.906288532675709,0.9504310344827587
s2c_trainable_k1,banking77,0.25,13,0.9419760782282002,0.927149512918255,0.7197368421052631,0.05646551724137931,0.2802631578947369,0.9113238967527061,0.9435344827586207
s2c_trainable_k1,banking77,0.25,13,0.9537832720767769,0.9264549136644639,0.7394736842105263,0.06336206896551724,0.2605263157894737,0.916490932096162,0.9366379310344828
s2c_trainable_k1,banking77,0.25,13,0.9632818398063826,0.9259815490238147,0.7592105263157894,0.06982758620689655,0.24078947368421055,0.9218282785134558,0.9301724137931034
s2c_trainable_k1,banking77,0.25,13,0.9701669862421236,0.9252699784017279,0.7789473684210526,0.07672413793103448,0.2210526315789474,0.9272727272727272,0.9232758620689655
s2c_trainable_k1,banking77,0.25,13,0.9789078952174288,0.9232441835181561,0.7947368421052632,0.08491379310344828,0.20526315789473681,0.9315489249670909,0.9150862068965517
s2c_trainable_k1,banking77,0.25,13,0.9868070547683279,0.9211908931698775,0.8105263157894737,0.09310344827586207,0.18947368421052635,0.9359430604982206,0.906896551724138
s2c_trainable_k1,banking77,0.25,13,0.9949665088392744,0.9186687238263169,0.825,0.10172413793103448,0.17500000000000004,0.9400090211998195,0.8982758620689655
s2c_trainable_k1,banking77,0.25,13,1.00408193700661,0.9132460616818283,0.8302631578947368,0.11293103448275862,0.16973684210526319,0.9410150891632373,0.8870689655172413
s2c_trainable_k1,banking77,0.25,13,1.009559384510941,0.9079535299374442,0.8368421052631579,0.12413793103448276,0.16315789473684206,0.9424860853432282,0.8758620689655172
s2c_trainable_k1,banking77,0.25,13,1.0189873085617478,0.9034870641169854,0.8460526315789474,0.13448275862068965,0.1539473684210526,0.9449411764705883,0.8655172413793103
s2c_trainable_k1,banking77,0.25,13,1.0278048161581224,0.8989578613502492,0.8552631578947368,0.14482758620689656,0.14473684210526316,0.9474689589302769,0.8551724137931035
s2c_trainable_k1,banking77,0.25,13,1.035404372475211,0.8934519735341091,0.8618421052631579,0.1560344827586207,0.13815789473684215,0.9491032476975279,0.8439655172413794
s2c_trainable_k1,banking77,0.25,13,1.0424639160985825,0.888582586721801,0.8697368421052631,0.16637931034482759,0.13026315789473686,0.9513034923757994,0.8336206896551724
s2c_trainable_k1,banking77,0.25,13,1.0483986498522346,0.8833873206848681,0.8776315789473684,0.1771551724137931,0.12236842105263157,0.9535464535464535,0.8228448275862069
s2c_trainable_k1,banking77,0.25,13,1.054195085938063,0.8776508972267537,0.8842105263157894,0.18836206896551724,0.11578947368421055,0.9553526128868595,0.8116379310344828
s2c_trainable_k1,banking77,0.25,13,1.0597842075844839,0.8713615023474178,0.8894736842105263,0.2,0.1105263157894737,0.9567010309278351,0.8
s2c_trainable_k1,banking77,0.25,13,1.0673661912522467,0.8659257507685032,0.8973684210526316,0.2107758620689655,0.10263157894736841,0.9591409114719749,0.7892241379310345
s2c_trainable_k1,banking77,0.25,13,1.0726578198554892,0.8597285067873304,0.9026315789473685,0.22198275862068967,0.09736842105263155,0.9606173496540713,0.7780172413793104
s2c_trainable_k1,banking77,0.25,13,1.0780901155176414,0.8531669865642995,0.9078947368421053,0.2336206896551724,0.09210526315789469,0.9621212121212122,0.7663793103448275
