method,dataset,kir,seed,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall,auroc,aupr_oos,oracle_oos_f1,oracle_threshold,default_to_oracle_gap,score_separation_d,known_score_median,oos_score_median,median_score_gap,n_known,n_oos
mogb_minilm_fair,clinc150,0.5,87,1.0,0.8176716417910448,0.3328888888888889,0.007536231884057971,0.6671111111111111,0.6952284263959391,0.9924637681159421,0.8735846698872786,0.8785612625227123,0.8668941979522184,1.1551739329995552,0.04922255616117366,1.5133902828574843,1.0813384428169992,1.446309763705848,0.36497132088884876,2250,3450
s2c_trainable_k1,clinc150,0.5,87,1.0,0.9086720867208672,0.7435555555555555,0.028115942028985506,0.2564444444444445,0.8531806615776082,0.9718840579710145,0.9497262479871176,0.9565369353120585,0.921748974104995,1.068198594384375,0.013076887384127822,2.5200772784900054,0.8661299781727394,1.3043909194659398,0.43826094129320037,2250,3450
mogb_minilm_fair,clinc150,0.5,100,1.0,0.814364113576712,0.3248888888888889,0.010724637681159421,0.6751111111111111,0.6920113544201135,0.9892753623188406,0.8646879227053139,0.8739335266061747,0.8644698745346753,1.2055205564615816,0.05010576095796326,1.4244343652097384,1.0851749443310454,1.4138170081134387,0.32864206378239325,2250,3450
s2c_trainable_k1,clinc150,0.5,100,1.0,0.9051512673753066,0.748,0.03739130434782609,0.252,0.8541666666666666,0.9626086956521739,0.959203607085346,0.9727051957009589,0.9188414109549756,1.0794317848315145,0.013690143579669023,2.6392091840030365,0.8811653474072298,1.3496359199722865,0.46847057256505664,2250,3450
mogb_minilm_fair,clinc150,0.5,123,1.0,0.8113744075829384,0.304,0.007536231884057971,0.696,0.6861723446893787,0.9924637681159421,0.8777375845410629,0.8801827937512003,0.8730573511208911,1.205262934870676,0.06168294353795267,1.510224772442706,1.093964492611088,1.4232358135518792,0.32927132094079115,2250,3450
s2c_trainable_k1,clinc150,0.5,123,1.0,0.9039116805233747,0.7462222222222222,0.03884057971014493,0.25377777777777777,0.8531000771803448,0.9611594202898551,0.9531961352657006,0.9661621473228265,0.9190271816881258,1.0597742611043919,0.015115501164751133,2.5148999075176173,0.893814908231694,1.2745648746562865,0.3807499664245926,2250,3450
mogb_minilm_fair,clinc150,0.75,13,1.0,0.655469301340861,0.2788690476190476,0.007692307692307693,0.7211309523809524,0.4893572181243414,0.9923076923076923,0.8736878052503052,0.7563153321585463,0.8001527008971178,1.2726288807775905,0.14468339955625675,1.452367213485507,1.1095295514194228,1.4403984190804247,0.3308688676610019,3360,2340
s2c_trainable_k1,clinc150,0.75,13,1.0,0.8230088495575221,0.7464285714285714,0.046153846153846156,0.25357142857142856,0.7237354085603113,0.9538461538461539,0.9450418447293447,0.9211589379942506,0.8609958506224066,1.08444211789218,0.03798700106488451,2.375472092092397,0.8887292213135266,1.2614189206620174,0.37268969934849083,3360,2340
mogb_minilm_fair,clinc150,0.75,42,1.0,0.6552746787176953,0.2794642857142857,0.008547008547008548,0.7205357142857143,0.4893482387681924,0.9914529914529915,0.8730611518111517,0.7662877682881035,0.7872703163477933,1.286524642399084,0.13199563763009803,1.514601143552798,1.1260742537470771,1.485024102385468,0.35894984863839086,3360,2340
s2c_trainable_k1,clinc150,0.75,42,1.0,0.823141706334676,0.7398809523809524,0.039316239316239315,0.2601190476190476,0.7200512491992312,0.9606837606837607,0.9525565984940986,0.9308015936582519,0.8643175374645605,1.0966756067133443,0.041175831129884544,2.5362176290334495,0.8723435472667709,1.3400797961000335,0.4677362488332626,3360,2340
mogb_minilm_fair,clinc150,0.75,87,1.0,0.6600256154831364,0.29523809523809524,0.008974358974358974,0.7047619047619047,0.49477277576274803,0.9910256410256411,0.8467474308099309,0.7363958796168435,0.7600827300930714,1.1932979190494792,0.10005711460993494,1.3691488920101669,1.1201996523452173,1.428969005649755,0.3087693533045377,3360,2340
