method,dataset,kir,seed,target_known_recall,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall
s2c_trainable_k1,banking77,0.5,42,0.7,0.9170688357991228,0.8399539435808866,0.7006578947368421,0.06474358974358975,0.29934210526315785,0.7622779519331243,0.9352564102564103
s2c_trainable_k1,banking77,0.5,42,0.8,0.9884202956271345,0.8421379738968303,0.8006578947368421,0.13141025641025642,0.19934210526315788,0.8172496984318456,0.8685897435897436
s2c_trainable_k1,banking77,0.5,42,0.9,1.0883495554462088,0.772596843615495,0.9006578947368421,0.3096153846153846,0.0993421052631579,0.8770358306188925,0.6903846153846154
s2c_trainable_k1,banking77,0.5,42,0.95,1.1735129673273093,0.605543710021322,0.9506578947368421,0.5448717948717948,0.049342105263157854,0.9044585987261147,0.4551282051282051
mogb_minilm_fair,banking77,0.5,87,0.5,1.1276773249739012,0.7975110189266269,0.5006578947368421,0.014102564102564103,0.4993421052631579,0.6695690030474531,0.985897435897436
mogb_minilm_fair,banking77,0.5,87,0.6,1.22559171425386,0.8164937192790824,0.6006578947368421,0.041666666666666664,0.39934210526315794,0.7112274024738344,0.9583333333333334
mogb_minilm_fair,banking77,0.5,87,0.7,1.312078376043887,0.8199121522693997,0.7006578947368421,0.10256410256410256,0.29934210526315785,0.7547169811320755,0.8974358974358975
mogb_minilm_fair,banking77,0.5,87,0.8,1.4660002534390748,0.725718194254446,0.8006578947368421,0.31987179487179485,0.19934210526315788,0.7778592375366569,0.6801282051282052
mogb_minilm_fair,banking77,0.5,87,0.9,1.6478718915477035,0.5198961937716263,0.9006578947368421,0.6147435897435898,0.0993421052631579,0.7992021276595744,0.3852564102564103
mogb_minilm_fair,banking77,0.5,87,0.95,1.850103614682297,0.27985270910047344,0.9506578947368421,0.8294871794871795,0.049342105263157854,0.7800586510263929,0.17051282051282052
s2c_trainable_k1,banking77,0.5,87,0.5,0.8200291265041678,0.7971991701244814,0.5006578947368421,0.014743589743589743,0.4993421052631579,0.669425087108014,0.9852564102564103
s2c_trainable_k1,banking77,0.5,87,0.6,0.8639155617919105,0.8267460747157552,0.6006578947368421,0.021153846153846155,0.39934210526315794,0.7155576382380506,0.9788461538461538
s2c_trainable_k1,banking77,0.5,87,0.7,0.9163154483509324,0.8492290119931468,0.7006578947368421,0.046794871794871795,0.29934210526315785,0.7657054582904222,0.9532051282051283
s2c_trainable_k1,banking77,0.5,87,0.8,0.9860630228530652,0.856353591160221,0.8006578947368421,0.10576923076923077,0.19934210526315788,0.8215547703180212,0.8942307692307693
s2c_trainable_k1,banking77,0.5,87,0.9,1.1084491508320633,0.783072546230441,0.9006578947368421,0.29423076923076924,0.0993421052631579,0.8793929712460063,0.7057692307692308
s2c_trainable_k1,banking77,0.5,87,0.95,1.2047473255007053,0.6225779275484414,0.9506578947368421,0.5262820512820513,0.049342105263157854,0.9078624078624079,0.4737179487179487
mogb_minilm_fair,banking77,0.5,100,0.5,1.1451149660156372,0.78107752956636,0.5006578947368421,0.047435897435897434,0.4993421052631579,0.6619153674832963,0.9525641025641025
mogb_minilm_fair,banking77,0.5,100,0.6,1.2254717648439692,0.7914110429447853,0.6006578947368421,0.09038461538461538,0.39934210526315794,0.7003948667324777,0.9096153846153846
mogb_minilm_fair,banking77,0.5,100,0.7,1.3518694342980189,0.7588543270711426,0.7006578947368421,0.21025641025641026,0.29934210526315785,0.7302904564315352,0.7897435897435897
mogb_minilm_fair,banking77,0.5,100,0.8,1.4730195662243972,0.6857142857142857,0.8006578947368421,0.3769230769230769,0.19934210526315788,0.7623529411764706,0.6230769230769231
mogb_minilm_fair,banking77,0.5,100,0.9,1.6571129827263094,0.5262704565030146,0.9006578947368421,0.6083333333333333,0.0993421052631579,0.8018372703412073,0.39166666666666666
mogb_minilm_fair,banking77,0.5,100,0.95,1.8439062744692143,0.33418237391747324,0.9506578947368421,0.7897435897435897,0.049342105263157854,0.8138957816377171,0.21025641025641026
s2c_trainable_k1,banking77,0.5,100,0.5,0.8389407947652937,0.7893500391542678,0.5006578947368421,0.03076923076923077,0.4993421052631579,0.665785997357992,0.9692307692307692
s2c_trainable_k1,banking77,0.5,100,0.6,0.879105520629656,0.8103211638759265,0.6006578947368421,0.05384615384615385,0.39934210526315794,0.7085933749399904,0.9461538461538461
s2c_trainable_k1,banking77,0.5,100,0.7,0.922473185803882,0.829849012775842,0.7006578947368421,0.08397435897435897,0.29934210526315785,0.7584925690021231,0.916025641025641
s2c_trainable_k1,banking77,0.5,100,0.8,0.9837505242817767,0.8286702294875825,0.8006578947368421,0.15512820512820513,0.19934210526315788,0.8130783466995681,0.8448717948717949
s2c_trainable_k1,banking77,0.5,100,0.9,1.071603596971898,0.7804704205274412,0.9006578947368421,0.2980769230769231,0.0993421052631579,0.8788121990369181,0.7019230769230769
s2c_trainable_k1,banking77,0.5,100,0.95,1.1484640873625962,0.6397670549084858,0.9506578947368421,0.507051282051282,0.049342105263157854,0.9111374407582938,0.492948717948718
mogb_minilm_fair,banking77,0.5,123,0.5,1.1241159988474012,0.7785093494864367,0.5006578947368421,0.052564102564102565,0.4993421052631579,0.6607063030844882,0.9474358974358974
mogb_minilm_fair,banking77,0.5,123,0.6,1.2083061589026038,0.7954419121734296,0.6006578947368421,0.08269230769230769,0.39934210526315794,0.7021589793915604,0.9173076923076923
mogb_minilm_fair,banking77,0.5,123,0.7,1.2995540550702067,0.7995233839737861,0.7006578947368421,0.13974358974358975,0.29934210526315785,0.7468002225932109,0.8602564102564103
mogb_minilm_fair,banking77,0.5,123,0.8,1.441866822433614,0.7373771602846493,0.8006578947368421,0.30256410256410254,0.19934210526315788,0.7821710999281093,0.6974358974358974
mogb_minilm_fair,banking77,0.5,123,0.9,1.6018705151728798,0.5888659793814432,0.9006578947368421,0.5423076923076923,0.0993421052631579,0.8254335260115607,0.4576923076923077
mogb_minilm_fair,banking77,0.5,123,0.95,1.772807379343725,0.3867784903798717,0.9506578947368421,0.7487179487179487,0.049342105263157854,0.8394004282655246,0.2512820512820513
s2c_trainable_k1,banking77,0.5,123,0.5,0.8237700035790536,0.7861816278461136,0.5006578947368421,0.03717948717948718,0.4993421052631579,0.6643078283945157,0.9628205128205128
