dataset,kir,seed,method,method_label,n_samples,n_known,n_oos,oos_f1,known_recall,false_accept_rate,false_reject_rate,source_oos_f1,source_known_recall,metric_recompute_delta,source_prediction_path,oos_false_accept_count,known_false_reject_count,oos_true_reject_count,oos_recall,oos_precision,oos_f1_reconstructed
clinc150,0.25,123,mogb_minilm,MOGB MiniLM,5700,1140,4560,0.9244281045751634,0.3807017543859649,0.0074561403508771,0.6192982456140351,0.9244281045751634,0.3807017543859649,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_123/mogb_minilm/predictions.tsv,33.999999999999574,706.0,4526.0,0.9925438596491228,0.8650611620795107,0.9244281045751634
clinc150,0.25,123,mogb_partition_ours_boundary,MOGB partition + ours,5700,1140,4560,0.941851812480068,0.6342105263157894,0.0285087719298245,0.3657894736842105,0.941851812480068,0.6342105263157894,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_123/mogb_partition_ours_boundary/predictions.tsv,129.99999999999972,416.99999999999994,4430.0,0.9714912280701754,0.9139674025170208,0.9418518124800681
clinc150,0.25,123,ours_partition_mogb_boundary,Ours partition + MOGB,5700,1140,4560,0.9224607168532404,0.3982456140350877,0.0151315789473684,0.6017543859649123,0.9224607168532404,0.3982456140350877,-1.1102230246251563e-16,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.25/seed_123/ours_partition_mogb_boundary/predictions.tsv,68.9999999999999,686.0,4491.0,0.9848684210526316,0.8674908248020089,0.9224607168532402
clinc150,0.5,13,trainable_k1,Trainable K=1,5700,2250,3450,0.9070904645476772,0.7453333333333333,0.0321739130434782,0.2546666666666666,0.9070904645476772,0.7453333333333334,1.1102230246251563e-16,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.50/runs/clinc150/seed_13/predictions.jsonl,110.99999999999979,572.9999999999999,3339.0,0.9678260869565217,0.8535276073619632,0.9070904645476773
clinc150,0.5,13,single_centroid,Frozen K=1,5700,2250,3450,0.8932504942106749,0.7915555555555556,0.0831884057971014,0.2084444444444444,0.8932504942106749,0.7915555555555556,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_13/single_centroid/predictions.tsv,286.99999999999983,468.9999999999999,3163.0,0.9168115942028986,0.8708700440528634,0.8932504942106748
clinc150,0.5,13,fixed_k2,Frozen K=2,5700,2250,3450,0.8935519733185103,0.764,0.0681159420289855,0.236,0.8935519733185103,0.764,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_13/fixed_k2/predictions.tsv,234.99999999999994,531.0,3215.0,0.9318840579710145,0.8582487987186332,0.8935519733185103
clinc150,0.5,13,random_partition,Random K=2,5700,2250,3450,0.8901816118047673,0.7951111111111111,0.0907246376811594,0.2048888888888889,0.8901816118047673,0.7951111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_13/random_partition/predictions.tsv,312.99999999999994,461.0,3137.0,0.9092753623188405,0.8718732629238466,0.8901816118047673
clinc150,0.5,13,mogb_minilm,MOGB MiniLM,5700,2250,3450,0.8126636515115448,0.3164444444444444,0.0104347826086956,0.6835555555555556,0.8126636515115448,0.3164444444444444,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_13/mogb_minilm/predictions.tsv,35.999999999999815,1538.0,3414.0,0.9895652173913043,0.6894184168012925,0.8126636515115448
clinc150,0.5,13,mogb_partition_ours_boundary,MOGB partition + ours,5700,2250,3450,0.8596266939401688,0.5511111111111111,0.0255072463768115,0.4488888888888889,0.8596266939401688,0.5511111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_13/mogb_partition_ours_boundary/predictions.tsv,87.99999999999967,1010.0,3362.0000000000005,0.9744927536231885,0.7689844464775847,0.8596266939401688
clinc150,0.5,13,ours_partition_mogb_boundary,Ours partition + MOGB,5700,2250,3450,0.833394902105652,0.428,0.0191304347826086,0.572,0.833394902105652,0.428,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_13/ours_partition_mogb_boundary/predictions.tsv,65.99999999999967,1287.0,3384.0000000000005,0.9808695652173914,0.7244701348747592,0.8333949021056521
clinc150,0.5,42,trainable_k1,Trainable K=1,5700,2250,3450,0.8971451987433411,0.7391111111111112,0.0481159420289855,0.2608888888888889,0.8971451987433411,0.739111111111111,0.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.50/runs/clinc150/seed_42/predictions.jsonl,166.0,587.0,3284.0,0.9518840579710145,0.8483595970033583,0.8971451987433411
clinc150,0.5,42,single_centroid,Frozen K=1,5700,2250,3450,0.8814846056516238,0.7653333333333333,0.0913043478260869,0.2346666666666666,0.8814846056516238,0.7653333333333333,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_42/single_centroid/predictions.tsv,314.99999999999983,527.9999999999999,3135.0,0.908695652173913,0.8558558558558559,0.8814846056516238
clinc150,0.5,42,fixed_k2,Frozen K=2,5700,2250,3450,0.8911676237353021,0.7311111111111112,0.0553623188405797,0.2688888888888889,0.8911676237353021,0.731111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_42/fixed_k2/predictions.tsv,190.99999999999994,605.0,3259.0,0.9446376811594203,0.8434265010351967,0.8911676237353021
clinc150,0.5,42,random_partition,Random K=2,5700,2250,3450,0.8829412593323003,0.7711111111111111,0.0915942028985507,0.2288888888888889,0.8829412593323003,0.7711111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_42/random_partition/predictions.tsv,315.99999999999994,515.0,3134.0,0.9084057971014493,0.8588654425870101,0.8829412593323004
clinc150,0.5,42,mogb_minilm,MOGB MiniLM,5700,2250,3450,0.8099016937107664,0.3004444444444444,0.0089855072463768,0.6995555555555556,0.8099016937107664,0.3004444444444444,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_42/mogb_minilm/predictions.tsv,30.999999999999957,1574.0,3419.0,0.9910144927536232,0.6847586621269778,0.8099016937107664
clinc150,0.5,42,mogb_partition_ours_boundary,MOGB partition + ours,5700,2250,3450,0.8500063075564527,0.5075555555555555,0.0234782608695652,0.4924444444444444,0.8500063075564527,0.5075555555555555,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_42/mogb_partition_ours_boundary/predictions.tsv,80.99999999999993,1108.0,3369.0,0.9765217391304348,0.7525128434219344,0.8500063075564526
clinc150,0.5,42,ours_partition_mogb_boundary,Ours partition + MOGB,5700,2250,3450,0.8313400048816207,0.4053333333333333,0.0127536231884057,0.5946666666666667,0.8313400048816207,0.4053333333333333,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_42/ours_partition_mogb_boundary/predictions.tsv,43.999999999999666,1338.0,3406.0000000000005,0.9872463768115943,0.7179595278246207,0.8313400048816209
clinc150,0.5,87,trainable_k1,Trainable K=1,5700,2250,3450,0.9086720867208672,0.7435555555555555,0.0281159420289855,0.2564444444444444,0.9086720867208672,0.7435555555555555,0.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_v1/kir_0.50/runs/clinc150/seed_87/predictions.jsonl,96.99999999999997,577.0,3353.0,0.9718840579710145,0.8531806615776082,0.9086720867208673
clinc150,0.5,87,single_centroid,Frozen K=1,5700,2250,3450,0.8935625976978826,0.8031111111111111,0.088695652173913,0.1968888888888889,0.8935625976978826,0.8031111111111111,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_87/single_centroid/predictions.tsv,305.99999999999983,443.0,3144.0,0.9113043478260869,0.8764984666852523,0.8935625976978826
clinc150,0.5,87,fixed_k2,Frozen K=2,5700,2250,3450,0.8958073889580739,0.76,0.0617391304347826,0.24,0.8958073889580739,0.76,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_87/fixed_k2/predictions.tsv,212.99999999999997,540.0,3237.0,0.9382608695652174,0.8570293884034949,0.8958073889580739
clinc150,0.5,87,random_partition,Random K=2,5700,2250,3450,0.8959726768179878,0.8093333333333333,0.0875362318840579,0.1906666666666666,0.8959726768179878,0.8093333333333333,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_87/random_partition/predictions.tsv,301.9999999999998,428.99999999999983,3148.0,0.912463768115942,0.8800670953312832,0.8959726768179878
clinc150,0.5,87,mogb_minilm,MOGB MiniLM,5700,2250,3450,0.8176716417910448,0.3328888888888889,0.0075362318840579,0.6671111111111111,0.8176716417910448,0.3328888888888889,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_87/mogb_minilm/predictions.tsv,25.999999999999755,1501.0,3424.0000000000005,0.9924637681159422,0.6952284263959392,0.8176716417910448
clinc150,0.5,87,mogb_partition_ours_boundary,MOGB partition + ours,5700,2250,3450,0.8596558317399617,0.5453333333333333,0.0226086956521739,0.4546666666666666,0.8596558317399617,0.5453333333333333,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_87/mogb_partition_ours_boundary/predictions.tsv,77.99999999999996,1022.9999999999999,3372.0,0.9773913043478261,0.7672354948805461,0.8596558317399619
clinc150,0.5,87,ours_partition_mogb_boundary,Ours partition + MOGB,5700,2250,3450,0.8382552823427654,0.444,0.0168115942028985,0.556,0.8382552823427654,0.4439999999999999,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_87/ours_partition_mogb_boundary/predictions.tsv,57.99999999999982,1251.0,3392.0,0.9831884057971014,0.7305621365496446,0.8382552823427654
clinc150,0.5,100,trainable_k1,Trainable K=1,5700,2250,3450,0.9051512673753066,0.748,0.037391304347826,0.252,0.9051512673753066,0.748,0.0,/home/bo/bo01/llmpy311/artifacts/s2c/runs/protocol_v2_textoir_v1/minilm_trainable_kir_sweep_extension_v1/kir_0.50/runs/clinc150/seed_100/predictions.jsonl,128.9999999999997,567.0,3321.0000000000005,0.962608695652174,0.8541666666666666,0.9051512673753067
clinc150,0.5,100,single_centroid,Frozen K=1,5700,2250,3450,0.8876595744680851,0.7906666666666666,0.0930434782608695,0.2093333333333333,0.8876595744680851,0.7906666666666666,0.0,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/clinc150/kir_0.50/seed_100/single_centroid/predictions.tsv,320.9999999999998,470.9999999999999,3129.0,0.9069565217391304,0.8691666666666666,0.8876595744680851
