dataset,kir,method,layer,representation,partition,distance,oos_f1,oos_f1_std,known_macro_f1,known_recall,f1_all,accuracy,scope
stackoverflow,0.25,Trainable MiniLM K=1,current_protocol,last2_minilm_plus_projection,single_centroid,mahalanobis_diag,0.9504615702473552,0.0139952738871062,0.8489278705007358,0.8417777777777777,0.8658501537918392,0.9237222222222222,protocol_v2_textoir_v1 / 3 seeds / Known-only
stackoverflow,0.25,s2c partition + MOGB boundary,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.9063585472441907,0.015088858282761509,0.6473648719473064,0.5414666666666667,0.6905304844967872,0.8501,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.5,Frozen MiniLM K=1,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.790219571500888,0.0462901246049689,,0.8322375535749171,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
stackoverflow,0.5,Frozen MiniLM K=2,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.727983150467729,0.0701578367038165,,0.8725344762740771,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
stackoverflow,0.5,Frozen fixed K=2,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.6352945072329976,0.04301876563041502,0.7368176827920545,0.8688666666666667,0.7275883031957765,0.6692666666666667,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.5,Frozen random partition K=2,current_protocol,frozen_minilm,random_balanced,mixed_by_method,0.7587996754762378,0.0549134144241642,0.8019650787978282,0.8764,0.7980409512231381,0.7609999999999999,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.5,Frozen single centroid,current_protocol,frozen_minilm,single,mixed_by_method,0.7654959559609912,0.05344876974549661,0.8032265131087414,0.8714666666666666,0.7997964624589458,0.7657666666666667,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.5,MOGB partition + s2c boundary,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.7924706249591658,0.014867493644347045,0.6175389389540615,0.5038666666666667,0.63344181949998,0.7407333333333334,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.5,MOGB-MiniLM,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.729199427573284,0.006249432392941407,0.4033584904109001,0.2709333333333333,0.43298039378929865,0.6305666666666667,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.5,Trainable MiniLM K=1,current_protocol,last2_minilm_plus_projection,single_centroid,mahalanobis_diag,0.8670909818700716,0.0096289935108805,0.8554844072613187,0.8392222222222222,0.856539550407569,0.8582222222222221,protocol_v2_textoir_v1 / 3 seeds / Known-only
stackoverflow,0.5,s2c partition + MOGB boundary,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.7335218198140271,0.013012175796140623,0.6261042894682859,0.5449333333333334,0.6358695194997168,0.6835333333333333,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.5,ADB,external_compatibility,end-to-end-BERT,method_specific,method_specific,0.894712,,0.874428,,0.876272,0.8853,modernized_textoir_compatibility_single_cell
stackoverflow,0.5,BRAK,external_compatibility,frozen-embedding,method_specific,method_specific,0.81341,,0.799727,0.833333,0.800971,0.789,brak_pilot_mean_over_3_seeds
stackoverflow,0.5,DA-ADB,external_compatibility,end-to-end-BERT,method_specific,method_specific,0.908978,,0.890584,,0.892256,0.9007,modernized_textoir_compatibility_single_cell
stackoverflow,0.5,MOGB-official (strict single-cell),external_compatibility,end-to-end-BERT,method_specific,method_specific,,,0.671884,0.515333,0.683502,0.751667,official_stackoverflow_kir50_seed0
stackoverflow,0.75,Frozen MiniLM K=1,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.6313391913113686,0.0538678123502962,,0.8359178314918864,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
stackoverflow,0.75,Frozen MiniLM K=2,current_protocol,frozen_minilm,fixed_kmeans,mahalanobis_diag,0.5256101545630185,0.1189644050477432,,0.8905390307616082,,,protocol_v2_textoir_v1 / 3 seeds / Gate-only
stackoverflow,0.75,Frozen fixed K=2,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.43634697678645706,0.07858109845039463,0.7652127459281596,0.8802222222222221,0.7446586353568032,0.6810333333333334,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.75,Frozen random partition K=2,current_protocol,frozen_minilm,random_balanced,mixed_by_method,0.6500992335498492,0.05461173977739191,0.8215045299613642,0.8819555555555556,0.8107916989356445,0.77,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.75,Frozen single centroid,current_protocol,frozen_minilm,single,mixed_by_method,0.6560530143222347,0.05338730220621315,0.8228014931374397,0.8762222222222222,0.8123797132114893,0.7722333333333333,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.75,MOGB partition + s2c boundary,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.5156718868278516,0.009972097867131961,0.49451768490323067,0.3906666666666666,0.4958398225235195,0.5346666666666666,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.75,MOGB-MiniLM,current_protocol,frozen_minilm,mogb_adaptive,mixed_by_method,0.4558840331344417,0.004201451885150502,0.3226022091169876,0.21173333333333327,0.33093232311807846,0.40553333333333336,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
stackoverflow,0.75,Trainable MiniLM K=1,current_protocol,last2_minilm_plus_projection,single_centroid,mahalanobis_diag,0.7667789806300779,0.015940381169081,0.877597674777792,0.8426666666666667,0.8706715063935598,0.8441111111111111,protocol_v2_textoir_v1 / 3 seeds / Known-only
stackoverflow,0.75,s2c partition + MOGB boundary,current_protocol,frozen_minilm,fixed_kmeans,mixed_by_method,0.48479416104025363,0.012615074300219385,0.6206919251288187,0.5349777777777778,0.6121983148732834,0.5649666666666666,protocol_v2_textoir_v1 / frozen MiniLM / 5 seeds
