dataset,seed,method,method_label,representation,oos_f1,full_macro_f1,known_macro_f1,overall_accuracy,known_recall,false_accept_rate,false_reject_rate,router_error_rate,expert_error_rate,gate_oos_f1,source,source_path
stackoverflow,87,frozen_selected_k,Frozen selected-K,frozen MiniLM,0.7608426270136307,0.7541914379356623,0.8550691114852593,0.7502504173622705,0.8316633266533067,0.2827102803738318,0.1683366733466934,0.0,0.0582329317269076,0.7608426270136307,cached_cascade_full,/home/bo/bo01/llmpy311/artifacts/s2c/outputs/experiments/cascade_full/gpu_kir50/evaluations/stackoverflow/kir50_seed87/frozen_selected_k/eval_results.json
clinc150,13,trainable_k1_current_h1,Trainable H1 K=1,last2 MiniLM + projection,0.8862948551664505,0.75760181642195,0.7855460340734434,0.8389090909090909,0.7271111111111112,0.0538461538461538,0.2728888888888889,0.0232273838630806,0.0360635696821515,0.8862948551664505,current_h1_trainable_full_pipeline,/home/bo/bo01/llmpy311/s2c/results/analysis/historical_trainable_full_pipeline/per_seed.csv
clinc150,42,trainable_k1_current_h1,Trainable H1 K=1,last2 MiniLM + projection,0.8956248212753789,0.7721345173539353,0.7913519067845204,0.8514545454545455,0.728,0.0363076923076923,0.272,0.0244200244200244,0.0286935286935286,0.8956248212753789,current_h1_trainable_full_pipeline,/home/bo/bo01/llmpy311/s2c/results/analysis/historical_trainable_full_pipeline/per_seed.csv
clinc150,87,trainable_k1_current_h1,Trainable H1 K=1,last2 MiniLM + projection,0.903003305072568,0.779787583491114,0.7967603897950561,0.8583636363636363,0.748,0.0332307692307692,0.252,0.0231729055258467,0.0386215092097445,0.9030033050725679,current_h1_trainable_full_pipeline,/home/bo/bo01/llmpy311/s2c/results/analysis/historical_trainable_full_pipeline/per_seed.csv
stackoverflow,13,trainable_k1_current_h1,Trainable H1 K=1,last2 MiniLM + projection,0.8877534727766246,0.8153929262714701,0.8386622057602693,0.8497495826377296,0.8367823765020027,0.0714762859051436,0.1632176234979973,0.0,0.0785799760670123,0.8877534727766248,current_h1_trainable_full_pipeline,/home/bo/bo01/llmpy311/s2c/results/analysis/historical_trainable_full_pipeline/per_seed.csv
stackoverflow,42,trainable_k1_current_h1,Trainable H1 K=1,last2 MiniLM + projection,0.9149367878882472,0.8544093410053502,0.8579140108027247,0.8841402337228714,0.8399599064483796,0.022022022022022,0.1600400935516204,0.0,0.0592680986475735,0.9149367878882472,current_h1_trainable_full_pipeline,/home/bo/bo01/llmpy311/s2c/results/analysis/historical_trainable_full_pipeline/per_seed.csv
stackoverflow,87,trainable_k1_current_h1,Trainable H1 K=1,last2 MiniLM + projection,0.8608255832925437,0.8316696046274771,0.8769592699829459,0.8429048414023372,0.8346693386773547,0.1194926568758344,0.1653306613226453,0.0,0.0352140856342537,0.8608255832925437,current_h1_trainable_full_pipeline,/home/bo/bo01/llmpy311/s2c/results/analysis/historical_trainable_full_pipeline/per_seed.csv
banking77_oos,13,trainable_k1_current_h1,Trainable H1 K=1,last2 MiniLM + projection,0.8840529247910863,0.6759994317327536,0.8345501849428552,0.8142156862745098,0.875,0.1756493506493506,0.125,0.0,0.1051428571428571,0.8840529247910863,current_h1_trainable_full_pipeline,/home/bo/bo01/llmpy311/s2c/results/analysis/historical_trainable_full_pipeline/per_seed.csv
banking77_oos,42,trainable_k1_current_h1,Trainable H1 K=1,last2 MiniLM + projection,0.8768404642300364,0.645027845446809,0.8097102263477582,0.8029411764705883,0.838,0.1782467532467532,0.162,0.0,0.1109785202863961,0.8768404642300365,current_h1_trainable_full_pipeline,/home/bo/bo01/llmpy311/s2c/results/analysis/historical_trainable_full_pipeline/per_seed.csv
banking77_oos,87,trainable_k1_current_h1,Trainable H1 K=1,last2 MiniLM + projection,0.8932305055698372,0.6555444230867931,0.7993947365665908,0.8203431372549019,0.851,0.1538961038961039,0.149,0.0,0.1292596944770857,0.8932305055698372,current_h1_trainable_full_pipeline,/home/bo/bo01/llmpy311/s2c/results/analysis/historical_trainable_full_pipeline/per_seed.csv
