method,dataset,kir,seed,target_known_recall,threshold,oos_f1,known_recall,false_accept_rate,false_reject_rate,oos_precision,oos_recall,method_label,kir_label
mogb_minilm_fair,banking77,0.25,100,0.9,1.5321454868014237,0.7216439818521484,0.9013157894736842,0.4172413793103448,0.0986842105263158,0.9474421864050456,0.5827586206896552,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,100,0.9,1.1143587843441816,0.882929104477612,0.9013157894736842,0.184051724137931,0.0986842105263158,0.961890243902439,0.815948275862069,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,100,0.95,1.6778020462303789,0.5544311560870898,0.9513157894736842,0.6103448275862069,0.0486842105263157,0.9606801275239109,0.3896551724137931,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,100,0.95,1.2356283968784922,0.7355150214592274,0.9513157894736842,0.409051724137931,0.0486842105263157,0.9737215909090908,0.590948275862069,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,123,0.8,1.335828769623325,0.8931690929451288,0.8013157894736842,0.1405172413793103,0.1986842105263158,0.9296037296037296,0.8594827586206897,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,123,0.8,0.975127125767418,0.9029966703662596,0.8013157894736842,0.1232758620689655,0.1986842105263158,0.9308924485125858,0.8767241379310344,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,123,0.9,1.5138538757780788,0.7473849372384938,0.9013157894736842,0.384051724137931,0.0986842105263158,0.9501329787234044,0.615948275862069,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,123,0.9,1.074210052793661,0.8096421471172962,0.9013157894736842,0.2978448275862069,0.0986842105263158,0.9559859154929576,0.7021551724137931,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.25,123,0.95,1.6847269518690344,0.4749272080232934,0.9513157894736842,0.6836206896551724,0.0486842105263157,0.9520103761348896,0.3163793103448276,MOGB-MiniLM-Fair,0.25
s2c_trainable_k1,banking77,0.25,123,0.95,1.1586044459698,0.6391454965357968,0.9513157894736842,0.5228448275862069,0.0486842105263157,0.9676573426573428,0.4771551724137931,S2C Trainable K=1,0.25
mogb_minilm_fair,banking77,0.5,13,0.8,1.456907941278479,0.7584138620459847,0.8006578947368421,0.2705128205128205,0.1993421052631578,0.7897293546148508,0.7294871794871794,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,13,0.8,0.9861485140625016,0.8514180024660912,0.8006578947368421,0.1147435897435897,0.1993421052631578,0.8200712589073634,0.8852564102564102,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,13,0.9,1.6422137358656248,0.6162555600485241,0.9006578947368421,0.5115384615384615,0.0993421052631579,0.8346111719605696,0.4884615384615384,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,13,0.9,1.0713715908766244,0.8109798471160529,0.9006578947368421,0.2519230769230769,0.0993421052631579,0.8854324734446131,0.7480769230769231,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,13,0.95,1.8055189898372888,0.4421152929966651,0.950657894736842,0.7025641025641025,0.0493421052631578,0.8608534322820037,0.2974358974358974,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,13,0.95,1.1600246981272222,0.6803874092009685,0.950657894736842,0.4596153846153846,0.0493421052631578,0.9183006535947712,0.5403846153846154,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,42,0.8,1.5029710356436696,0.7261538461538461,0.8006578947368421,0.3192307692307692,0.1993421052631578,0.778021978021978,0.6807692307692308,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,42,0.8,0.9884202956271344,0.8421379738968303,0.8006578947368421,0.1314102564102564,0.1993421052631578,0.8172496984318456,0.8685897435897436,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,42,0.9,1.6919846697372989,0.5469214437367304,0.9006578947368421,0.5871794871794872,0.0993421052631579,0.810062893081761,0.4128205128205128,MOGB-MiniLM-Fair,0.50
s2c_trainable_k1,banking77,0.5,42,0.9,1.0883495554462088,0.772596843615495,0.9006578947368421,0.3096153846153846,0.0993421052631579,0.8770358306188925,0.6903846153846154,S2C Trainable K=1,0.50
mogb_minilm_fair,banking77,0.5,42,0.95,1.870260643862248,0.3039419087136929,0.950657894736842,0.8121794871794872,0.0493421052631578,0.7961956521739131,0.1878205128205128,MOGB-MiniLM-Fair,0.50
