dataset,kir,seed,oos_f1_trainable,f1_all_trainable,f1_k_trainable,accuracy_trainable,known_recall_trainable,false_accept_rate_trainable,false_reject_rate_trainable,auroc_trainable,aupr_oos_trainable,oos_f1_frozen,f1_all_frozen,f1_k_frozen,accuracy_frozen,known_recall_frozen,false_accept_rate_frozen,false_reject_rate_frozen,auroc_frozen,aupr_oos_frozen,oos_f1_delta,f1_all_delta,f1_k_delta,accuracy_delta,known_recall_delta,false_accept_rate_delta,false_reject_rate_delta,auroc_delta,aupr_oos_delta,method,oos_f1_delta_pp,known_recall_delta_pp,false_accept_delta_pp
clinc150,0.75,42,0.823141706334676,0.824382257045602,0.8243933333912352,0.8259649122807018,0.7398809523809524,0.039316239316239315,0.26011904761904764,0.9525565984940986,0.9308015936582519,0.8068605518269948,,,,0.7440476190476191,0.07521367521367521,0.25595238095238093,0.9132769892144892,0.8521280358513693,0.016281154507681195,,,,-0.004166666666666652,-0.035897435897435895,0.004166666666666707,0.039279609279609384,0.07867355780688257,frozen_k1,1.6281154507681195,-0.4166666666666652,-3.5897435897435894
clinc150,0.75,87,0.8302650957290133,0.827797940585045,0.8277759124141166,0.8312280701754386,0.7508928571428571,0.03632478632478633,0.24910714285714286,0.9461285358160358,0.9096249572475938,0.8188828286627797,,,,0.7619047619047619,0.06965811965811966,0.23809523809523808,0.9096610449735449,0.8501816196690191,0.011382267066233576,,,,-0.011011904761904723,-0.03333333333333333,0.011011904761904778,0.0364674908424909,0.059443337578574784,frozen_k1,1.1382267066233576,-1.1011904761904723,-3.3333333333333335
clinc150,0.75,100,0.8333023601561048,0.840427967758085,0.8404915892545313,0.8385964912280702,0.762202380952381,0.04188034188034188,0.23779761904761904,0.9543171296296297,0.9349668659863393,0.8236857088631618,,,,0.7741071428571429,0.07264957264957266,0.22589285714285715,0.9292960164835166,0.8839986898176564,0.00961665129294298,,,,-0.011904761904761862,-0.030769230769230778,0.01190476190476189,0.025021113146113105,0.05096817616868288,frozen_k1,0.9616651292942979,-1.1904761904761862,-3.076923076923078
clinc150,0.75,123,0.8327481057105895,0.8324034603041841,0.8324003831130555,0.8343859649122807,0.756547619047619,0.03717948717948718,0.24345238095238095,0.9521731277981278,0.9255911521635527,0.815858699736941,,,,0.7586309523809524,0.07222222222222222,0.24136904761904762,0.9119024725274726,0.8481640189656191,0.01688940597364852,,,,-0.002083333333333326,-0.035042735042735036,0.002083333333333326,0.04027065527065521,0.0774271331979336,frozen_k1,1.688940597364852,-0.2083333333333326,-3.504273504273504
stackoverflow,0.25,13,0.9348581679560489,0.8376694373285117,0.8182316912030043,0.9015,0.8333333333333334,0.07355555555555555,0.16666666666666666,0.9283866666666668,0.9625178109218019,0.9337532336070183,,,,0.84,0.07755555555555556,0.16,0.9266305185185186,0.9605652845486137,0.001104934349030584,,,,-0.006666666666666599,-0.0040000000000000036,0.006666666666666654,0.0017561481481481733,0.0019525263731882125,frozen_k1,0.11049343490305841,-0.6666666666666599,-0.40000000000000036
stackoverflow,0.25,42,0.9546207353428288,0.8737185899712864,0.857538160896978,0.9298333333333333,0.844,0.03933333333333333,0.156,0.9535537777777778,0.9790898154769205,0.8654145232683336,,,,0.8386666666666667,0.19622222222222221,0.16133333333333333,0.9127004444444445,0.9620396436704233,0.0892062120744952,,,,0.005333333333333301,-0.15688888888888888,-0.005333333333333329,0.0408533333333333,0.01705017180649726,frozen_k1,8.92062120744952,0.5333333333333301,-15.688888888888888
stackoverflow,0.25,87,0.9619058074431881,0.886162434075719,0.8710137594022251,0.9398333333333333,0.848,0.026444444444444444,0.152,0.963934962962963,0.983611668321172,0.8998380754105945,,,,0.8293333333333334,0.13555555555555557,0.17066666666666666,0.92288,0.9657379183393192,0.06206773203259364,,,,0.01866666666666661,-0.10911111111111113,-0.018666666666666665,0.04105496296296296,0.01787374998185276,frozen_k1,6.206773203259363,1.866666666666661,-10.911111111111113
stackoverflow,0.25,100,0.9664517539066768,0.9008138022892632,0.8876862119657805,0.9478333333333333,0.8473333333333333,0.017333333333333333,0.15266666666666667,0.9700856296296297,0.9856112004540502,0.9364811691961776,,,,0.8466666666666667,0.07444444444444444,0.15333333333333332,0.9399536296296296,0.9726697816818377,0.029970584710499182,,,,0.0006666666666665932,-0.057111111111111106,-0.0006666666666666488,0.03013200000000016,0.012941418772212443,frozen_k1,2.997058471049918,0.06666666666665932,-5.71111111111111
stackoverflow,0.25,123,0.9561480828558836,0.8834991622766871,0.8689693781608477,0.9333333333333333,0.842,0.035777777777777776,0.158,0.9488235555555556,0.9756586320026046,0.8854604955586722,,,,0.8213333333333334,0.1582222222222222,0.17866666666666667,0.8994108148148149,0.9423903995292702,0.07068758729721136,,,,0.02066666666666661,-0.12244444444444444,-0.020666666666666667,0.04941274074074076,0.033268232473334436,frozen_k1,7.068758729721136,2.066666666666661,-12.244444444444444
stackoverflow,0.5,13,0.8565782973818541,0.8523954175911279,0.8519771296120553,0.8496666666666667,0.8426666666666667,0.133,0.15733333333333333,0.9058574444444444,0.8624639062641226,0.7185035760132037,,,,0.8353333333333334,0.347,0.16466666666666666,0.8612272222222221,0.8156840094880962,0.1380747213686504,,,,0.007333333333333303,-0.21399999999999997,-0.007333333333333331,0.04463022222222224,0.04677989677602645,frozen_k1,13.80747213686504,0.7333333333333303,-21.4
