dataset,kir,method,method_label,metric,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,wins,ties,losses,reference,seed
clinc150,0.75,mogb_minilm,MOGB-MiniLM,oos_f1,5,-0.15815025817043107,-0.15674089958649606,-0.16344649030453118,-0.15285402603633097,0,0,5,single_centroid,paired same split/seed
clinc150,0.75,mogb_minilm,MOGB-MiniLM,f1_all,5,-0.3994386695479412,-0.4019916990148807,-0.4093064823285095,-0.3874065160984347,0,0,5,single_centroid,paired same split/seed
clinc150,0.75,mogb_minilm,MOGB-MiniLM,id_recall,5,-0.49874999999999997,-0.5011904761904762,-0.5023809523809524,-0.4925,0,0,5,single_centroid,paired same split/seed
clinc150,0.75,mogb_minilm,MOGB-MiniLM,false_accept_rate,5,-0.09273504273504277,-0.0940170940170941,-0.09863247863247865,-0.08683760683760686,5,0,0,single_centroid,paired same split/seed
stackoverflow,0.25,mogb_minilm,MOGB-MiniLM,oos_f1,5,-0.00042069605738603855,-8.168469162295189e-05,-0.031838213608014906,0.030996821493242833,2,0,3,single_centroid,paired same split/seed
stackoverflow,0.25,mogb_minilm,MOGB-MiniLM,f1_all,5,-0.26941208923057564,-0.2850977642185588,-0.29427656474522984,-0.23000930259930494,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.25,mogb_minilm,MOGB-MiniLM,id_recall,5,-0.53,-0.5246666666666666,-0.576,-0.48200000000000004,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.25,mogb_minilm,MOGB-MiniLM,false_accept_rate,5,-0.1401777777777778,-0.15377777777777782,-0.19493333333333335,-0.08542222222222225,5,0,0,single_centroid,paired same split/seed
stackoverflow,0.5,mogb_minilm,MOGB-MiniLM,oos_f1,5,-0.03629652838770716,-0.034921679341245127,-0.07496818561127445,0.005911816458218655,1,0,4,single_centroid,paired same split/seed
stackoverflow,0.5,mogb_minilm,MOGB-MiniLM,f1_all,5,-0.36681606866964717,-0.36060959686261806,-0.38383349634084574,-0.3503572180313198,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.5,mogb_minilm,MOGB-MiniLM,id_recall,5,-0.6005333333333335,-0.5923333333333334,-0.6240666666666668,-0.5839333333333334,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.5,mogb_minilm,MOGB-MiniLM,false_accept_rate,5,-0.28913333333333335,-0.284,-0.34940000000000004,-0.2254666666666667,5,0,0,single_centroid,paired same split/seed
stackoverflow,0.75,mogb_minilm,MOGB-MiniLM,oos_f1,5,-0.2001689811877932,-0.1879296224949824,-0.24463419101121353,-0.16322464254545305,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.75,mogb_minilm,MOGB-MiniLM,f1_all,5,-0.4814473900934109,-0.48356547098300373,-0.49318645086260104,-0.47005830097694573,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.75,mogb_minilm,MOGB-MiniLM,id_recall,5,-0.6644888888888889,-0.6735555555555555,-0.6842222222222223,-0.6437333333333334,0,0,5,single_centroid,paired same split/seed
stackoverflow,0.75,mogb_minilm,MOGB-MiniLM,false_accept_rate,5,-0.32160000000000005,-0.352,-0.3784,-0.26360000000000006,5,0,0,single_centroid,paired same split/seed
