dataset,gate,stage,seed_count,count_mean,count_std,rate_mean,rate_std,count_total
stackoverflow,best_controlled_baseline,known_wrong_domain,3,0.0,0.0,0.0,0.0,0
stackoverflow,best_controlled_baseline,known_wrong_expert,3,176.33333333333334,49.166384179979445,0.0294379521424596,0.008208077492484,529
stackoverflow,best_controlled_baseline,oos_accepted_by_gate,3,544.0,232.71656580484336,0.0908180300500834,0.0388508457103244,1632
stackoverflow,ce_recon_selected_k,correct_known_prediction,3,2418.0,47.46577714522327,0.4036727879799666,0.0079241698072159,7254
stackoverflow,ce_recon_selected_k,correct_oos_rejection,3,2664.333333333333,240.0756825114392,0.4447968836950473,0.0400794127731951,7993
stackoverflow,ce_recon_selected_k,known_rejected_by_gate,3,414.6666666666667,136.20695038555607,0.0692264885920979,0.0227390568256354,1244
stackoverflow,ce_recon_selected_k,known_wrong_domain,3,0.0,0.0,0.0,0.0,0
stackoverflow,ce_recon_selected_k,known_wrong_expert,3,161.66666666666666,95.82449234581593,0.0269894268224819,0.0159974110760961,485
stackoverflow,ce_recon_selected_k,oos_accepted_by_gate,3,331.3333333333333,238.5483878237984,0.0553144129104062,0.0398244387018027,994
stackoverflow,frozen_k1,correct_known_prediction,3,2305.0,36.66060555964672,0.3848080133555926,0.0061203014289894,6915
stackoverflow,frozen_k1,correct_oos_rejection,3,2291.0,232.2326419778236,0.3824707846410684,0.0387700570914563,6873
stackoverflow,frozen_k1,known_rejected_by_gate,3,502.3333333333333,9.60902353693305,0.0838619922092376,0.0016041775520756,1507
stackoverflow,frozen_k1,known_wrong_domain,3,0.0,0.0,0.0,0.0,0
stackoverflow,frozen_k1,known_wrong_expert,3,187.0,43.034869582700026,0.0312186978297161,0.007184452351035,561
stackoverflow,frozen_k1,oos_accepted_by_gate,3,704.6666666666666,231.1154112847807,0.117640511964385,0.0385835411159901,2114
stackoverflow,frozen_selected_k,correct_known_prediction,3,2325.6666666666665,25.32455988429677,0.3882582081246521,0.0042278063245904,6977
stackoverflow,frozen_selected_k,correct_oos_rejection,3,2221.0,308.3699077406873,0.3707846410684474,0.0514807859333367,6663
stackoverflow,frozen_selected_k,known_rejected_by_gate,3,460.6666666666667,81.19318526411766,0.0769059543683917,0.0135547888587842,1382
